id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,0,1,0.75,1.0,0,1,1.0,1.0,0,1,1.0,1.0,1,1,1.0,1.0
handbook-002,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,0.75,0,0,0.25,0.25
handbook-003,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75
handbook-004,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-005,0,1,0.25,0.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-007,1,0,0.75,0.75,1,1,1.0,1.0,1,0,1.0,1.0,1,0,1.0,0.75
handbook-008,1,0,1.0,1.0,1,0,0.75,1.0,1,0,0.5,0.75,1,0,0.75,1.0
handbook-009,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.75,0.75,1,0,1.0,1.0
handbook-010,1,1,0.75,0.5,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-011,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-012,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.25,0.25
handbook-013,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-014,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.25,0.0
handbook-015,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-016,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.75,0.75
handbook-017,1,1,0.5,0.5,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-018,1,0,1.0,1.0,0,0,0.0,0.0,1,0,1.0,0.75,1,0,1.0,1.0
handbook-019,1,0,1.0,0.75,1,1,0.75,1.0,1,0,0.75,1.0,0,0,0.5,0.25
