id	source_japanese	llama_english	llama_chinese	llama_vietnamese	
handbook-001	私は、○○地方裁判所の裁判官です。	I am a judge of the ○○ District Court.	我是○○地方法院的法官。	Tôi là thẩm phán tại tòa án địa phương ○○.	
handbook-002	検察官から勾留請求といって、引き続いてあなたを留置してほしいという請求がありました。	"The prosecutor made a request for detention, which is a request to continue to detain you."	检察官提出羁押请求，即希望继续拘留你。	"Viện kiểm sát đã có một yêu cầu để tiếp tục giữ bạn, đó gọi là yêu cầu tạm giam."	
handbook-003	そこで、これからあなたを勾留するかどうかを決めるために、あなたに対して被疑事実を告げ、それに関するあなたの陳述を聴くことにします。	"Therefore, in order to decide whether to detain you, we will inform you of the suspected facts against you and hear your statement regarding them."	因此，现决定就是否继续拘留你这一问题，对你进行被告知犯罪事实的告知，并听取你对此事的陈述。	"Vì vậy, bây giờ chúng tôi sẽ quyết định liệu có tạm giữ bạn hay không, vì vậy chúng tôi sẽ thông báo cho bạn về các tình tiết bị nghi ngờ và nghe lời khai của bạn về vấn đề đó."	
handbook-004	その前にいくつかの注意及び説明をします。	There are several remarks and explanations before that.	在此之前做一些说明和解释。	Trước đó tôi muốn đưa ra một số lưu ý và giải thích.	
handbook-005	まず第一に、あなたには黙秘権があります。	You have a right to remain silent.	首先，你拥有沉默的权利。	"Trước hết, bạn có quyền giữ im lặng."	
handbook-006	私の質問に対し、始めから終わりまで黙っていてもいいし、個々の質問に対して答えを拒むこともできます。	"You may remain silent from start to finish of my questioning, or you may refuse to answer any particular question."	对我的提问，你可以从始至终保持沉默，也可以对个别提问拒绝回答。	"Bạn có thể im lặng từ đầu đến cuối khi trả lời câu hỏi của tôi, hoặc từ chối trả lời từng câu hỏi một."	
handbook-007	答えないからといって、それだけで不利益な扱いを受けることはありません。	"Just because you do not answer, it does not mean you will be treated unfavorably."	不回答并不意味着您将受到不利的对待。	Không trả lời không có nghĩa là bạn sẽ bị đối xử bất lợi chỉ vì điều đó.	
handbook-008	第二に、あなたは自分の費用で弁護人を選任する権利があります。	"Secondly, you have the right to appoint a defense attorney at your own expense."	第二，你有权利用自己的费用来聘请辩护人。	"Thứ hai, bạn có quyền thuê luật sư theo chi phí của mình."	
handbook-009	弁護人を選任したいけれども、弁護人の心当たりがないという場合には、弁護士会を通じて選任する方法があります。	"In the case that one wishes to appoint a defense attorney but does not have any particular defense attorney in mind, there is a method of appointment through the bar association."	希望选择辩护人但没有心仪的辩护人的时候，可以通过律师协会来选择辩护人的方式。	Tôi muốn bổ nhiệm luật sư nhưng không biết luật sư nào nên có thể thông qua hội luật sư để bổ nhiệm.	
handbook-010	そのような申出があれば、裁判所から弁護士会に通知しますから、希望する場合は遠慮なく言ってください。	"If there is such an offer, the court will notify the bar association, so if you wish, please do not hesitate to say so."	如果您提出此类申请，法院将会通知律师协会，因此如果您愿意，可以不用犹豫告诉我们。	"Nếu có yêu cầu như vậy, tòa án sẽ thông báo cho hội luật sư, vì vậy nếu muốn, hãy nói mà không cần ngần ngại."	
