id	source	translation_A	translation_B	translation_C	mapping
question-01	あなたがその場にいなかったのは事実ですよね？	Sự thật là bạn không có mặt tại đó đúng không?	Đúng là bạn đã không có mặt ở đó, phải không?	Đúng là bạn không có ở đó, phải không?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-02	あなたの証言は矛盾していないのですか？	Lời khai của bạn không phải là mâu thuẫn sao?	Bản kê khai của bạn có mâu thuẫn không?	Chứng ngôn của bạn không mâu thuẫn sao?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-03	この行動が事前に計画されたものではないですか？	Hành động này không phải đã được lên kế hoạch trước sao?	Đây có phải là hành động được lên kế hoạch từ trước không?	Hành động này chẳng phải đã được lên kế hoạch từ trước sao?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-04	この裁判の手続きを知っていますよね？	Bạn có biết thủ tục xét xử của phiên tòa này không?	Bạn biết các thủ tục của phiên toà này phải không?	Bạn biết quá trình tố tụng của phiên tòa này, phải không?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-05	この事件の重要性は理解されていますよね？	Tầm quan trọng của vụ này đã được hiểu rõ, phải không?	Tầm quan trọng của trường hợp này đã được hiểu rõ, phải không?	Vụ việc này có tầm quan trọng đã được hiểu rõ chứ?	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-06	この事実は重要であるということに異論はないですよね？	Không có gì phải bàn cãi rằng thực tế này là quan trọng, phải không?	Sự thật này là quan trọng, không có ai phủ nhận điều này, đúng không?	Không có ý kiến phản đối rằng sự thật này quan trọng, đúng không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-07	この事実を無視することはできませんよね？	Bạn không thể bỏ qua thực tế này, phải không?	Không thể phớt lờ sự thật này được chứ?	Chúng ta không thể phớt lờ sự thật này, phải không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-08	この書類には無効な部分が含まれていないのでしょうか？	Tài liệu này có chứa bất kỳ phần không hợp lệ nào không?	Tài liệu này có chứa đựng phần nào không hợp lệ không?	Tài liệu này không bao gồm phần nào không hợp lệ phải không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-09	この証拠は確実ではないんですよね？	Bằng chứng này không chắc chắn, phải không?	Bằng chứng cho điều này không chắc chắn, phải không?	Bằng chứng này chắc chắn không phải là như vậy chứ?	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-10	この証拠は本件と関係がないのではないですか？	Chứng cứ này có không liên quan đến vụ việc này không?	Bằng chứng này không liên quan đến trường hợp này sao?	Bằng chứng này không phải là không liên quan đến vụ án này sao?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-11	この調査は十分に行われていなかったのではありませんか？	Nghiên cứu này chưa được thực hiện đủ sao?	Cuộc điều tra này đã không được tiến hành đủ sao?	Cuộc điều tra này đã được tiến hành đầy đủ chứ không phải là không được tiến hành chứ ạ？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	Với những bằng chứng như vậy, thì có thể nói là còn sự ngờ vực hợp lý hay không?	Với tất cả những bằng chứng này, chúng ta có thể nói rằng vẫn còn một sự nghi ngờ hợp lý không?	Mặc dù có nhiều bằng chứng như vậy, liệu có thể nói rằng vẫn còn nghi ngờ hợp lý không?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-13	その点については異論の余地がないですよね？	Về điểm đó thì không có ý kiến phản đối nào, đúng không?	Về điểm đó thì không có gì phải tranh cãi nữa, đúng không?	Không có gì phải bàn cãi về điều đó, phải không?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-14	その日に誰も彼を見かけなかったのではありませんか？	Ngày đó có lẽ không ai thấy anh ấy cả, đúng không?	Không ai nhìn thấy anh ấy vào ngày hôm đó sao?	Vào ngày đó, không phải là không ai nhìn thấy anh ấy sao?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Chi tiết về sự kiện ngày hôm đó không rõ ràng quá đúng không？	Chi tiết về các sự kiện trong ngày không quá rõ ràng sao?	Chi tiết về sự kiện của ngày hôm đó chẳng phải là quá mơ hồ sao?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	Đó có thể là một lời giải thích hợp lý tại sao không đủ nghiên cứu được thực hiện?	Tại sao cuộc điều tra đầy đủ lại không được thực hiện, điều đó có thể giải thích một cách hợp lý không?	Tại sao một cuộc điều tra đầy đủ đã không được tiến hành, liệu điều đó có thể được giải thích một cách hợp lý không？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	Nếu bị cáo thực sự có tội, tại sao lại còn nhiều câu hỏi như vậy?	Nếu bị cáo thật sự có tội thì tại sao lại còn nhiều điểm đáng ngờ như vậy?	Nếu thật sự bị cáo có tội, vậy tại sao lại có nhiều điểm nghi vấn như vậy?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	Nếu vô tội thì tại sao lại cố gắng giấu chứng cứ đến mức này?	Nếu vô tội thì sao lại muốn che giấu bằng chứng đến vậy?	Nếu họ vô tội, tại sao họ lại cố gắng che giấu bằng chứng?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	Có căn cứ khác để phủ định sự tồn tại của đồng phạm không？	Có lý do nào khác để phủ nhận sự tồn tại của đồng phạm không?	Có những cơ sở nào khác để phủ nhận sự tồn tại của đồng phạm?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-20	証拠が正当に収集されたことを確認していますか？	Bạn có xác nhận rằng bằng chứng đã được thu thập một cách hợp pháp không?	Bạn có chắc chắn rằng bằng chứng đã được thu thập hợp lệ không?	Bạn có xác nhận rằng bằng chứng đã được thu thập hợp pháp không?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-21	証拠を見れば、明らかに一致しますよね？	Nếu bạn nhìn vào bằng chứng, nó rõ ràng phù hợp, phải không?	Khi xem bằng chứng, thì rõ ràng là phù hợp đúng không?	Nếu nhìn vào bằng chứng, rõ ràng là phù hợp, đúng không?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-22	証拠資料は全て揃っているのですよね？	Chứng cứ đã được thu thập đầy đủ cả rồi phải không?	Tất cả các tài liệu chứng cứ đã đầy đủ phải không?	Bạn có tất cả các bằng chứng, phải không?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-23	証拠品があなたのものであると確認したのではないですか？	Anh/chị có xác nhận rằng vật chứng là của anh/chị không?	Có phải bạn đã xác nhận rằng tang vật là của bạn không?	Bạn không xác nhận rằng bằng chứng thuộc về bạn sao?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-24	証人の供述には矛盾がありますよね？	Phát biểu của nhân chứng có mâu thuẫn đấy không？	Có mâu thuẫn trong lời khai của nhân chứng, phải không?	Có những mâu thuẫn trong lời khai của các nhân chứng, phải không?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-25	証人は以前にも同様の証言をしましたよね？	Nhân chứng đã làm chứng tương tự trước đây rồi, phải không?	Người chứng kiến đã từng khai như vậy trước đây rồi chứ?	Các nhân chứng đã đưa ra lời khai tương tự trước đây, phải không?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-26	証人は当日の出来事を全て覚えているのですね？	Nhân chứng nhớ hết tất cả các sự kiện của ngày hôm đó phải không?	Nhân chứng nhớ tất cả những gì đã xảy ra ngày hôm đó, phải không?	Chứng nhân có nhớ tất cả sự việc trong ngày hôm đó đúng không？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
