ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-001	0.85	0.82	0.83	0.84	0.81	0.83	0.85	0.79	0.82
handbook-002	0.8	0.81	0.81	0.8	0.83	0.81	0.87	0.82	0.85
handbook-003	0.79	0.76	0.77	0.77	0.76	0.77	0.79	0.76	0.77
handbook-004	0.81	0.77	0.79	0.8	0.77	0.79	0.83	0.76	0.8
handbook-005	0.9	0.87	0.89	0.9	0.87	0.89	0.9	0.87	0.89
handbook-006	0.93	0.91	0.92	0.89	0.86	0.87	0.84	0.84	0.84
handbook-007	0.75	0.75	0.75	0.74	0.73	0.73	0.75	0.74	0.74
handbook-008	0.88	0.87	0.88	0.85	0.83	0.84	0.87	0.86	0.87
handbook-009	0.8	0.79	0.8	0.8	0.79	0.8	0.81	0.82	0.82
handbook-010	0.85	0.82	0.84	0.84	0.82	0.83	0.82	0.78	0.8
handbook-011	0.84	0.83	0.83	0.83	0.84	0.83	0.83	0.84	0.83
handbook-012	0.81	0.8	0.8	0.82	0.81	0.81	0.75	0.75	0.75
handbook-013	0.77	0.74	0.75	0.81	0.76	0.78	0.78	0.75	0.76
handbook-014	0.8	0.79	0.79	0.8	0.79	0.79	0.75	0.75	0.75
handbook-015	0.92	0.93	0.93	0.9	0.84	0.87	0.94	0.94	0.94
handbook-016	0.88	0.87	0.88	0.86	0.85	0.85	0.84	0.83	0.84
handbook-017	0.74	0.74	0.74	0.74	0.75	0.74	0.73	0.74	0.73
handbook-018	0.78	0.79	0.79	0.78	0.79	0.78	0.73	0.74	0.73
handbook-019	0.78	0.76	0.77	0.78	0.77	0.77	0.75	0.72	0.74
handbook-021	0.94	0.9	0.92	0.88	0.87	0.87	0.88	0.83	0.85
handbook-022	0.75	0.73	0.74	0.79	0.8	0.8	0.72	0.7	0.71
handbook-023	0.88	0.86	0.87	0.83	0.85	0.84	0.88	0.84	0.86
handbook-024	0.83	0.82	0.82	0.77	0.81	0.79	0.8	0.81	0.8
handbook-025	0.8	0.77	0.79	0.84	0.78	0.81	0.78	0.76	0.77
handbook-026	0.82	0.84	0.83	0.8	0.83	0.81	0.82	0.84	0.83
handbook-027	0.87	0.88	0.87	0.84	0.84	0.84	0.83	0.83	0.83
handbook-030	0.82	0.85	0.83	0.82	0.86	0.84	0.84	0.87	0.85
handbook-031	0.79	0.7	0.75	0.77	0.68	0.73	0.78	0.7	0.74
handbook-032	0.78	0.72	0.75	0.78	0.73	0.76	0.77	0.72	0.74
handbook-033	0.8	0.8	0.8	0.77	0.76	0.77	0.83	0.84	0.84
handbook-034	0.81	0.82	0.81	0.81	0.83	0.82	0.81	0.79	0.8
handbook-035	0.79	0.82	0.81	0.85	0.86	0.85	0.79	0.81	0.8
handbook-037	0.82	0.82	0.82	0.85	0.84	0.85	0.78	0.77	0.78
handbook-038	0.8	0.83	0.81	0.79	0.82	0.8	0.75	0.74	0.74
handbook-039	0.81	0.86	0.83	0.77	0.78	0.78	0.9	0.9	0.9
handbook-045	0.75	0.74	0.75	0.78	0.77	0.77	0.75	0.74	0.74
handbook-046	0.84	0.83	0.84	0.8	0.77	0.78	0.85	0.8	0.82
handbook-047	0.85	0.86	0.86	0.82	0.81	0.81	0.83	0.83	0.83
handbook-048	0.78	0.79	0.78	0.76	0.77	0.77	0.78	0.77	0.78
handbook-049	0.78	0.77	0.78	0.79	0.78	0.78	0.73	0.73	0.73
handbook-051	0.88	0.89	0.88	0.88	0.9	0.89	0.86	0.89	0.87
handbook-052	0.9	0.88	0.89	0.84	0.82	0.83	0.84	0.82	0.83
