ID	gpt	llama	azure	target_len	gpt_len	llama_len	azure_len
handbook-001	35.08	24.81	39.28	9	11	11	10
handbook-002	9.31	5.62	6.69	14	23	22	10
handbook-003	9.86	5.59	9.96	42	34	45	33
handbook-004	6.1	5.62	6.67	18	16	14	11
handbook-005	58.14	58.14	58.14	10	10	10	10
handbook-006	61.42	54.42	32.09	30	30	27	31
handbook-007	6.76	6.91	6.92	20	21	19	18
handbook-008	33.81	12.17	22.25	18	18	15	18
handbook-009	5.79	5.79	4.53	25	23	24	33
handbook-010	16.34	14.76	13.83	32	30	30	29
handbook-011	12.28	22.75	12.37	32	29	35	40
handbook-012	10.7	10.67	5.35	19	18	16	18
handbook-013	3.1	8.83	3.23	43	39	40	39
handbook-014	19.18	6.59	4.94	48	51	49	53
handbook-015	29.42	23.8	32.0	12	14	10	13
handbook-016	29.52	27.25	14.61	37	35	37	35
handbook-017	5.12	4.34	3.96	24	24	28	25
handbook-018	10.99	10.99	9.51	18	16	16	18
handbook-019	16.22	11.14	15.94	103	88	92	84
handbook-021	32.16	15.62	15.85	7	6	7	5
handbook-022	4.52	14.32	4.54	11	10	12	9
handbook-023	21.52	27.74	20.79	20	21	22	17
handbook-024	26.74	18.77	21.04	39	36	52	43
handbook-025	18.95	21.32	16.27	44	35	33	42
handbook-026	18.11	14.96	10.08	16	19	21	20
handbook-027	41.72	18.36	15.13	11	11	11	13
handbook-030	6.27	16.78	19.07	7	9	10	9
handbook-031	14.46	7.34	13.84	69	43	43	56
handbook-032	6.05	6.56	2.37	24	11	12	9
handbook-033	9.85	5.98	20.66	22	23	22	27
handbook-034	9.85	16.33	10.66	17	23	25	19
handbook-035	15.73	29.15	6.46	20	21	20	21
handbook-037	7.96	8.82	5.78	17	16	15	16
handbook-038	22.09	8.64	6.87	7	8	7	6
handbook-039	13.89	15.21	27.78	7	8	6	7
handbook-045	6.77	15.87	9.59	21	18	20	23
handbook-046	15.23	3.94	7.43	13	10	7	8
handbook-047	25.28	12.96	12.11	16	18	14	19
handbook-048	9.98	9.98	5.93	10	10	10	10
handbook-049	3.11	3.71	2.88	37	32	34	31
handbook-051	53.41	60.3	50.23	30	32	31	36
handbook-052	45.22	23.05	23.6	62	57	54	51
handbook-053	22.62	7.22	30.67	20	18	15	16
handbook-054	16.78	4.99	5.67	9	10	10	9
handbook-055	8.91	7.5	15.21	7	11	12	6
handbook-056	15.91	20.91	15.86	13	11	10	12
handbook-057	21.14	37.2	21.4	11	14	10	13
handbook-058	40.33	30.28	24.04	13	16	17	21
handbook-060	12.07	16.59	13.01	17	14	20	15
handbook-061	5.64	15.09	5.47	22	20	21	16
handbook-062	20.47	22.82	5.54	18	21	23	23
handbook-064	19.38	9.23	13.63	22	23	25	24
handbook-068	24.62	9.24	39.57	14	18	14	17
handbook-069	10.41	7.49	8.28	15	14	13	10
handbook-071	32.04	36.1	21.45	23	23	20	24
handbook-072	16.03	7.95	8.36	45	49	52	48
handbook-074	6.95	7.43	4.27	26	34	33	33
handbook-075	16.59	16.59	8.05	8	12	12	12
handbook-076	14.54	14.54	14.54	7	7	7	7
handbook-077	17.51	22.39	12.2	50	32	35	30
handbook-078	3.7	3.72	3.64	13	10	11	9
handbook-079	0.06	0.1	0.12	49	9	10	10
handbook-080	17.04	6.69	7.96	47	42	36	39
handbook-081	11.61	4.86	6.84	24	37	35	40
handbook-082	8.64	3.41	9.25	14	32	34	28
handbook-083	5.96	5.78	4.42	22	18	18	16
handbook-084	6.97	6.14	4.97	19	20	22	21
handbook-085	10.33	6.96	9.59	19	22	24	23
handbook-086	24.12	20.73	19.34	102	84	87	74
handbook-087	23.82	30.2	12.64	35	36	38	39
handbook-088	18.47	14.55	26.74	30	34	41	32
handbook-089	27.54	31.1	40.4	36	42	43	37
handbook-090	16.29	6.24	22.24	24	44	37	36
handbook-091	11.85	8.22	9.22	47	25	25	27
handbook-092	9.38	11.06	8.54	26	30	27	30
handbook-093	29.45	32.88	18.63	42	29	32	32
handbook-094	17.51	31.79	19.52	19	21	16	19
handbook-095	5.65	5.99	9.93	18	18	20	16
handbook-096	13.74	15.88	8.35	18	11	9	10
handbook-098	5.82	5.88	5.2	8	6	4	3
handbook-099	4.47	28.03	28.09	14	11	13	12
handbook-100	11.27	30.8	20.01	33	32	31	33
handbook-101	27.05	27.05	15.85	7	8	8	5
handbook-102	36.93	39.81	23.51	25	23	23	28
handbook-104	9.04	13.34	3.15	32	13	17	15
handbook-105	1.21	1.73	1.85	45	18	23	25
handbook-106	3.44	1.49	0.99	10	47	54	44
handbook-107	5.2	5.04	5.86	16	26	20	24
handbook-108	27.41	13.38	14.87	31	33	33	33
handbook-109	28.64	27.48	26.65	7	5	6	5
handbook-110	4.83	4.85	4.83	16	8	9	8
handbook-112	2.78	2.72	9.6	40	25	23	20
handbook-113	2.97	2.27	2.97	61	44	38	44
handbook-114	8.49	5.82	24.81	5	14	15	11
handbook-115	7.5	5.06	7.5	8	12	17	12
handbook-116	19.27	17.39	15.98	61	56	56	66
