id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-002,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,1.0,1,1,1.0,1.0
handbook-003,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-004,0,1,1.0,1.0,1,1,1.0,1.0,0,0,0.5,0.5,1,1,1.0,1.0
handbook-005,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-007,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-008,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-009,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-010,1,1,0.75,1.0,1,0,0.5,0.75,1,1,0.75,1.0,1,1,1.0,1.0
handbook-011,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.75,0.75,1,1,1.0,1.0
handbook-012,1,1,0.75,1.0,1,1,0.75,0.75,1,1,0.5,0.75,1,1,0.5,0.75
handbook-013,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.5,0.75,1,1,0.5,0.75
handbook-014,1,1,1.0,1.0,1,0,0.25,0.75,1,1,1.0,1.0,1,0,0.25,0.75
handbook-015,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-016,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.25,0.75
handbook-017,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75,0,0,0.25,0.75
handbook-018,1,1,1.0,1.0,1,0,0.75,0.75,1,1,0.5,0.75,1,1,1.0,1.0
handbook-019,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,0.75,0,1,0.5,0.25
handbook-021,1,1,0.5,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-022,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-023,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.25,0.5
handbook-024,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-025,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-026,1,0,0.5,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75
handbook-027,1,1,0.75,1.0,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.25,0.5
handbook-030,1,1,1.0,1.0,1,0,0.5,0.75,1,0,0.5,0.75,1,0,0.5,0.75
handbook-031,1,1,1.0,1.0,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-032,1,1,1.0,1.0,1,0,0.25,0.5,1,1,1.0,1.0,1,1,0.5,0.75
handbook-033,0,1,0.25,0.75,0,1,0.25,0.75,0,1,0.5,0.75,0,1,0.25,0.75
handbook-034,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,0,1.0,1.0
handbook-035,1,1,1.0,1.0,1,0,0.5,0.75,1,1,0.5,0.75,1,1,1.0,1.0
handbook-037,1,1,0.5,0.75,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.75
handbook-038,1,1,1.0,1.0,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-039,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-045,1,1,1.0,1.0,1,1,0.25,0.5,1,1,0.5,0.5,1,1,1.0,0.75
handbook-046,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,1.0
