id	source_japanese	gpt_english	gpt_chinese	gpt_vietnamese
question-01	あなたがその場にいなかったのは事実ですよね？	It is a fact that you were not present at the scene, correct?	您不在现场是事实，对吗？	Sự thật là bạn đã không có mặt tại đó, đúng không?
question-02	あなたの証言は矛盾していないのですか？	Isn't your testimony inconsistent?	你的证词没有矛盾吗？	Lời khai của bạn có mâu thuẫn không?
question-03	この行動が事前に計画されたものではないですか？	Was this action not planned in advance?	这个行为不是事先计划好的吗？	Hành động này không phải đã được lên kế hoạch trước sao?
question-04	この裁判の手続きを知っていますよね？	You are familiar with the proceedings of this trial, aren't you?	你知道这个审判的程序吧？	Bạn có biết thủ tục của phiên tòa này đúng không?
question-05	この事件の重要性は理解されていますよね？	You understand the importance of this case, don't you?	你明白这个案件的重要性吗？	Tầm quan trọng của vụ án này đã được hiểu đúng không?
question-06	この事実は重要であるということに異論はないですよね？	There is no dispute that this fact is important, right?	对此事实的重要性没有异议，对吧？	Không có tranh cãi nào về việc thực tế này là quan trọng, đúng không?
question-07	この事実を無視することはできませんよね？	You can't ignore this fact, can you?	我们不能忽视这个事实，对吧？	Chúng ta không thể phớt lờ sự thật này, đúng không?
question-08	この書類には無効な部分が含まれていないのでしょうか？	Does this document not contain any invalid parts?	这份文件中是否包含无效的部分？	Tài liệu này liệu có phần nào không hợp lệ không?
question-09	この証拠は確実ではないんですよね？	This evidence is not certain, is it?	这个证据并不确定，对吗？	Bằng chứng này không chắc chắn, đúng không?
question-10	この証拠は本件と関係がないのではないですか？	Isn't this evidence unrelated to the case?	这个证据和本案没有关系，是吗？	Bằng chứng này có phải là không liên quan đến vụ án này không?
question-11	この調査は十分に行われていなかったのではありませんか？	Wasn't this investigation conducted thoroughly?	这个调查是否没有充分进行？	Cuộc điều tra này có phải đã không được thực hiện đầy đủ không?
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	Can it be said that reasonable doubt remains despite all this evidence?	在有这么多证据的情况下，还能说存在合理的怀疑吗？	Với chừng này bằng chứng, liệu có thể nói rằng vẫn còn nghi ngờ hợp lý không?
question-13	その点については異論の余地がないですよね？	There's no room for disagreement on that point, is there?	在这一点上没有争议，对吧？	Về điểm đó thì không có gì phải bàn cãi đúng không?
question-14	その日に誰も彼を見かけなかったのではありませんか？	Isn't it true that no one saw him that day?	那天没有人看到他，不是吗？	Ngày hôm đó không phải không ai nhìn thấy anh ấy đúng không?
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Aren't the details of the events of that day much too unclear?	那天发生的事情的细节不太模糊吗？	Chi tiết về sự kiện của ngày hôm đó không phải là quá không rõ ràng sao?
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	Is it reasonably possible to explain why a thorough investigation was not conducted?	为什么没有进行充分的调查，那能够合理地解释吗？	Tại sao cuộc điều tra không được thực hiện đầy đủ, liệu điều đó có thể giải thích một cách hợp lý không?
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	If the defendant is truly guilty, then why do so many doubts remain?	如果被告真的有罪，那为什么还会有这么多疑点呢？	Nếu bị cáo thực sự có tội, tại sao lại có nhiều điểm nghi vấn như vậy?
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	If you are innocent, why would you try to hide the evidence to this extent?	如果你是无辜的，为什么要如此努力地隐藏证据呢？	Nếu anh vô tội thì tại sao lại cố tình che giấu bằng chứng đến mức này?
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	Is there any other basis for denying the existence of accomplices?	是否还有其他证据可以否定共犯者的存在？	Có cơ sở nào khác cho việc phủ nhận sự tồn tại của đồng phạm không?
question-20	証拠が正当に収集されたことを確認していますか？	Are you confirming that the evidence was collected lawfully?	您是否确认证据是合法收集的？	Bạn đã xác nhận rằng bằng chứng đã được thu thập hợp pháp chưa?
question-21	証拠を見れば、明らかに一致しますよね？	Looking at the evidence, it clearly matches, doesn't it?	看了证据后，显然是一致的，对吧？	Nếu nhìn vào chứng cứ, rõ ràng là trùng khớp đúng không?
question-22	証拠資料は全て揃っているのですよね？	Do we have all the evidence documents ready?	证据材料都已经齐全了吧？	Tất cả các tài liệu chứng cứ đã được thu thập đầy đủ phải không?
question-23	証拠品があなたのものであると確認したのではないですか？	Didn't you confirm that the evidence belongs to you?	你是否确认过证物是你的？	Bạn có xác nhận rằng bằng chứng là của bạn không?
