ID	gpt	llama	azure	sys_len	ref_len
handbook-001	23.9	9.66	39.94	9	11
handbook-002	5.56	10.12	6.75	14	23
handbook-003	17.1	4.73	10.18	42	40
handbook-004	4.01	11.31	7.22	18	26
handbook-005	58.14	22.96	58.14	10	10
handbook-006	46.35	40.79	32.13	30	29
handbook-007	10.08	4.33	6.89	20	18
handbook-008	33.81	12.15	22.25	18	18
handbook-009	8.2	4.27	4.41	25	29
handbook-010	16.07	21.37	13.82	32	32
handbook-011	20.87	18.55	12.16	32	36
handbook-012	6.59	5.09	5.33	19	16
handbook-013	3.65	6.97	3.24	43	33
handbook-014	12.99	10.41	4.93	48	56
handbook-015	34.17	14.32	32.28	12	11
handbook-016	16.15	10.04	14.6	37	38
handbook-017	3.49	4.92	3.97	24	27
handbook-018	1.27	10.93	9.51	18	44
handbook-019	20.54	11.11	16.25	103	91
handbook-021	14.54	13.13	14.54	7	7
handbook-022	24.81	8.91	4.46	11	9
handbook-023	33.95	10.66	20.76	20	22
handbook-024	27.9	32.33	21.02	39	39
handbook-025	20.61	23.28	16.26	44	39
handbook-026	35.59	18.85	10.03	16	18
handbook-027	57.67	24.13	15.31	11	12
handbook-030	7.49	6.5	19.74	7	8
handbook-031	15.7	9.07	14.1	69	51
handbook-032	15.17	8.53	4.14	24	13
handbook-033	10.11	4.2	20.49	22	23
handbook-034	17.42	26.03	10.7	17	23
handbook-035	17.05	45.31	6.48	20	21
handbook-037	7.69	7.92	5.75	17	15
handbook-038	22.77	6.77	6.57	7	8
handbook-039	14.54	13.13	27.78	7	6
handbook-045	6.76	5.68	9.62	21	18
handbook-046	16.26	7.77	7.77	13	12
handbook-047	15.25	10.93	12.13	16	19
handbook-048	9.03	9.29	5.93	10	11
handbook-049	12.76	7.44	2.9	37	37
handbook-051	45.34	53.48	49.8	30	33
handbook-052	35.42	25.18	23.96	62	67
handbook-053	19.32	14.25	30.83	20	21
handbook-054	3.64	5.67	5.67	9	13
handbook-055	5.63	4.28	14.54	7	10
handbook-056	15.13	8.13	15.73	13	10
handbook-057	34.85	16.76	21.65	11	12
handbook-058	84.24	39.77	22.1	13	13
handbook-060	13.68	9.39	12.94	17	16
handbook-061	5.81	7.65	5.62	22	19
handbook-062	16.1	30.05	5.47	18	22
handbook-064	16.95	9.19	13.66	22	27
handbook-068	22.78	14.46	39.66	14	19
handbook-069	10.34	9.1	8.55	15	14
handbook-071	40.29	19.94	21.5	23	23
handbook-072	16.89	19.6	8.36	45	50
handbook-074	3.87	3.87	4.19	26	34
handbook-075	16.41	57.79	7.97	8	12
handbook-076	14.54	32.67	14.54	7	7
handbook-077	9.53	13.96	13.96	50	34
handbook-078	3.67	3.67	3.67	13	9
handbook-079	1.05	1.05	1.05	49	13
handbook-080	8.51	7.02	8.05	47	46
handbook-081	6.29	5.14	6.01	24	42
handbook-082	2.56	1.38	7.24	14	29
handbook-083	9.85	4.55	4.55	22	22
handbook-084	2.81	18.54	4.98	19	22
handbook-085	20.89	12.06	9.56	19	21
handbook-086	23.44	23.71	20.37	102	88
handbook-087	13.65	21.48	12.62	35	39
handbook-088	16.42	4.3	26.77	30	33
handbook-089	26.81	34.83	40.43	36	38
handbook-090	11.36	4.75	20.69	24	43
handbook-091	10.23	2.76	10.83	47	24
handbook-092	19.46	40.19	8.52	26	32
handbook-093	31.63	26.89	19.17	42	33
handbook-094	8.89	35.87	19.52	19	23
handbook-095	18.0	17.69	9.88	18	21
handbook-096	14.88	21.67	9.51	18	11
handbook-098	5.52	5.52	5.52	8	3
handbook-099	28.92	8.49	27.82	14	13
handbook-100	25.51	21.99	20.01	33	32
handbook-101	14.76	27.89	14.54	7	9
handbook-102	22.07	36.24	23.51	25	24
handbook-104	7.68	12.21	4.32	32	13
handbook-105	2.04	1.07	2.22	45	21
handbook-106	0.28	0.32	0.17	10	53
handbook-107	16.7	7.66	5.52	16	19
handbook-108	14.87	4.98	14.89	31	32
handbook-109	30.74	26.27	24.45	7	7
handbook-110	5.82	5.41	5.82	16	8
handbook-112	4.15	4.15	12.53	40	33
handbook-113	2.67	2.63	3.12	61	46
handbook-114	3.54	11.69	21.3	5	16
handbook-115	6.2	7.41	7.41	8	14
handbook-116	21.83	16.81	15.96	61	60
handbook-117	12.4	12.11	30.51	20	17
handbook-118	15.46	10.17	10.83	16	17
handbook-121	4.61	6.05	4.06	10	17
handbook-122	6.34	12.4	21.34	17	22
handbook-123	20.07	6.58	4.62	13	20
handbook-124	46.83	53.36	36.05	14	14
handbook-125	19.51	20.39	16.96	27	30
handbook-126	37.2	26.27	17.49	10	11
handbook-129	4.44	3.08	1.78	35	29
handbook-132	20.9	19.07	31.56	9	10
handbook-133	29.85	6.65	7.36	24	24
handbook-134	7.04	30.92	18.19	38	48
handbook-135	4.02	6.27	5.02	9	13
handbook-136	13.38	3.13	7.19	15	14
handbook-137	2.61	7.25	1.64	28	48
handbook-139	3.65	6.01	2.87	6	16
handbook-140	3.41	6.9	4.03	12	14
handbook-141	7.92	10.05	4.42	16	21
handbook-142	4.51	17.2	3.35	8	11
handbook-143	6.86	3.49	1.53	34	37
handbook-144	21.46	21.75	25.31	69	78
handbook-145	10.97	6.09	6.79	36	46
handbook-146	2.88	3.06	0.0	9	16
handbook-147	9.64	7.98	33.4	17	22
handbook-148	21.5	4.99	11.89	24	26
handbook-149	8.32	18.96	35.45	14	24
handbook-150	9.66	11.73	4.12	20	25
handbook-151	4.81	4.11	5.5	14	32
handbook-152	2.28	2.28	2.28	20	12
handbook-153	10.01	17.0	7.6	26	10
handbook-155	23.46	4.46	19.51	12	12
handbook-156	33.64	6.44	20.29	43	45
handbook-157	9.53	17.04	8.44	72	91
handbook-158	42.57	34.49	41.17	29	22
handbook-159	21.04	24.97	8.39	51	42
handbook-160	13.84	16.16	11.75	55	43
handbook-161	21.66	6.88	3.59	38	49
handbook-162	31.01	16.79	28.69	24	27
handbook-163	11.07	13.87	8.38	13	18
handbook-164	13.3	12.29	10.33	22	17
handbook-165	3.75	2.71	4.81	20	25
handbook-166	5.22	9.01	7.86	11	18
handbook-167	100.0	59.46	23.36	8	8
handbook-168	79.56	26.45	6.7	9	10
handbook-169	0.0	26.38	14.39	25	12
handbook-170	31.17	14.96	27.97	24	26
handbook-171	20.22	6.54	8.5	21	12
handbook-172	6.28	3.76	1.78	35	31
handbook-173	8.99	2.83	4.21	18	19
handbook-174	7.54	6.13	9.85	23	14
handbook-175	14.87	31.54	14.87	15	14
handbook-176	31.12	27.41	25.68	26	21
handbook-177	29.11	25.2	23.52	27	31
handbook-178	2.0	3.51	1.89	28	22
handbook-179	4.16	4.26	5.1	16	23
handbook-180	5.65	6.99	5.11	18	15
handbook-181	10.18	6.3	9.01	38	38
handbook-182	17.63	14.68	5.82	44	35
handbook-183	33.99	20.33	6.73	31	30
handbook-184	4.21	2.26	2.26	26	21
handbook-185	8.48	6.04	10.16	39	50
handbook-186	23.09	26.6	33.6	36	38
handbook-187	4.97	3.47	2.82	33	30
handbook-188	7.29	3.15	2.31	23	43
handbook-189	3.19	5.19	2.88	55	40
handbook-190	11.46	24.49	14.31	18	25
handbook-191	27.01	27.3	24.11	37	43
handbook-192	5.24	6.23	5.04	20	10
handbook-194	11.04	10.55	41.11	10	8
handbook-195	7.78	7.78	3.65	28	13
handbook-196	16.47	6.26	10.22	18	15
handbook-197	19.21	3.66	8.3	35	26
handbook-200	4.26	4.67	3.93	35	26
handbook-201	13.5	4.39	6.31	23	25
handbook-202	6.59	9.06	14.41	31	34
handbook-203	4.98	7.61	4.3	40	34
handbook-205	19.38	6.34	14.07	24	23
handbook-206	16.27	11.64	7.44	17	19
handbook-208	7.16	6.37	3.96	25	17
handbook-209	3.78	2.82	1.81	37	25
handbook-210	7.52	6.08	2.15	30	29
handbook-211	0.85	7.5	1.55	43	13
handbook-212	59.0	4.93	5.3	11	11
handbook-216	13.6	20.78	8.26	30	30
handbook-217	17.12	10.98	23.21	19	14
handbook-219	5.76	5.86	3.48	14	17
handbook-220	7.14	4.65	5.76	14	13
handbook-223	33.65	24.6	22.23	15	12
handbook-224	32.59	5.09	19.52	19	17
handbook-225	8.64	8.64	7.81	7	7
handbook-227	10.6	42.31	18.21	15	19
handbook-228	10.68	9.65	9.65	6	5
handbook-229	11.73	24.81	8.3	11	7
handbook-231	6.98	7.49	41.11	7	9
handbook-233	24.94	7.01	21.95	19	16
handbook-236	8.91	25.97	7.51	11	11
handbook-237	34.57	12.22	12.22	8	5
handbook-238	32.56	29.9	9.85	14	14
handbook-239	10.02	6.06	7.49	34	20
handbook-241	18.92	12.87	6.92	15	11
handbook-246	7.51	9.2	6.99	35	28
handbook-247	11.41	11.04	4.13	36	17
handbook-248	6.81	5.47	5.9	34	31
handbook-249	8.93	8.93	5.52	31	23
handbook-250	17.77	15.39	12.7	176	164
handbook-251	32.72	14.0	21.1	81	81
handbook-252	29.77	26.8	20.15	145	131
handbook-253	18.7	18.11	24.51	43	54
handbook-254	22.24	18.33	17.64	103	105
handbook-255	19.89	14.21	14.76	228	217
handbook-256	12.5	14.24	20.92	63	74
handbook-257	14.77	19.47	9.58	36	36
handbook-258	4.89	9.28	5.53	98	57
handbook-259	13.64	24.58	4.17	52	88
handbook-260	10.14	8.64	6.87	35	25
handbook-261	23.9	14.97	14.02	110	107
handbook-262	10.77	14.08	11.64	24	32
handbook-263	20.52	18.02	14.93	231	206
handbook-264	21.17	11.33	11.17	208	198
handbook-265	16.2	13.32	15.64	260	263
handbook-266	30.23	11.23	28.81	80	73
handbook-267	24.98	19.28	24.17	151	158
handbook-268	12.79	6.97	10.95	87	79
handbook-269	18.68	9.19	19.58	114	125
handbook-270	22.42	20.34	15.71	151	141
handbook-271	22.17	15.33	21.44	84	83
handbook-276	25.97	3.75	8.3	11	10
handbook-277	12.04	53.13	11.64	17	14
handbook-278	28.47	30.51	12.22	8	10
handbook-283	13.22	3.28	5.52	32	32
handbook-290	29.2	17.63	25.6	68	63
handbook-291	15.66	19.7	16.04	76	65
handbook-292	6.65	8.78	4.86	210	157
handbook-293	15.95	16.16	15.53	34	37
handbook-294	31.49	26.82	26.24	34	30
handbook-295	10.37	7.54	8.61	77	95
handbook-296	5.62	5.12	2.56	24	25
handbook-297	16.19	9.09	3.71	80	78
handbook-299	5.1	4.23	9.14	79	72
handbook-300	13.65	11.93	3.97	108	108
handbook-301	12.3	13.08	11.29	205	191
handbook-302	3.71	2.55	3.52	47	50
handbook-303	13.13	4.41	3.82	36	33
handbook-304	9.44	11.06	11.6	110	120
handbook-305	12.91	4.13	11.56	149	145
handbook-306	12.91	3.98	6.37	94	102
handbook-307	4.39	5.82	13.95	42	53
handbook-308	10.58	4.09	14.38	168	133
handbook-309	4.46	1.99	2.24	72	76
ALL	17.44	14.09	13.79	9279	9081
