ID	gpt	llama	azure
question-01	0.97	0.98	0.95
question-02	0.98	0.9	0.86
question-03	0.88	0.87	0.87
question-04	0.98	0.97	0.99
question-05	0.97	0.99	0.94
question-06	0.96	0.97	0.99
question-07	0.99	0.97	0.97
question-08	0.94	0.96	0.84
question-09	0.98	0.98	0.97
question-10	0.97	0.91	0.97
question-11	0.86	0.86	0.95
question-12	0.91	0.83	0.88
question-13	0.99	1.0	0.99
question-14	0.99	0.88	0.92
question-15	0.9	0.96	1.0
question-16	0.95	0.96	0.9
question-17	0.99	0.97	0.9
question-18	0.97	0.99	1.0
question-19	0.97	0.89	0.96
question-20	0.96	0.88	0.96
question-21	0.88	0.89	0.86
question-22	1.0	0.99	0.99
question-23	0.92	0.78	0.98
question-24	0.96	0.99	1.0
question-25	0.98	0.97	0.97
question-26	0.97	0.99	1.0
question-27	0.94	0.9	0.82
question-28	1.0	0.97	0.99
question-29	1.0	0.97	1.0
question-30	0.94	0.98	0.56
question-31	0.94	0.85	0.88
question-32	1.0	1.0	0.85
question-33	0.98	0.95	0.96
question-34	0.86	0.92	0.92
question-35	0.98	0.94	0.84
question-36	0.86	0.91	0.96
question-37	0.96	0.98	0.99
question-38	0.93	0.72	0.88
question-39	0.7	0.86	0.66
question-40	0.98	0.59	0.99
question-41	0.99	1.0	0.98
question-42	0.99	0.96	0.98
question-43	0.97	0.89	0.87
question-44	0.84	0.96	0.85
question-45	0.82	0.79	0.78
question-46	0.95	0.94	0.87
question-47	0.84	0.92	0.98
question-48	0.96	0.98	0.95
question-49	0.97	0.87	0.87
question-50	0.87	0.92	0.98
ALL	0.94	0.92	0.92
