id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-002,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-003,1,0,0.5,0.75,1,0,0.75,1.0,1,0,0.75,1.0,1,0,0.75,0.75
handbook-004,1,0,0.5,0.5,1,0,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-005,1,0,0.5,0.75,1,0,0.75,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-007,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-008,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-009,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,0.75
handbook-010,1,0,0.5,0.75,1,0,0.75,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-011,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-012,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.25,1.0
handbook-013,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.75,0.75,1,0,0.5,0.75
handbook-014,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.0,0.75
handbook-015,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75,1,1,0.75,1.0
handbook-016,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75
handbook-017,1,1,0.5,0.5,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75
handbook-018,1,1,0.75,0.75,0,0,0.0,0.25,1,1,0.75,1.0,1,1,1.0,1.0
handbook-019,1,1,0.75,0.75,1,1,1.0,1.0,1,0,0.0,0.5,0,0,0.0,0.25
handbook-021,0,1,0.0,1.0,0,1,0.75,1.0,1,1,1.0,1.0,0,1,0.5,1.0
handbook-022,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.25,1,1,0.5,0.5
handbook-023,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-024,0,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.75,0.75
handbook-025,1,1,1.0,0.75,1,1,1.0,0.75,1,1,1.0,0.75,1,1,1.0,1.0
handbook-026,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,0,1,0.5,1.0
handbook-027,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-030,0,0,1.0,1.0,1,1,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0
handbook-031,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-032,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,0,0.25,0.5
handbook-033,1,0,0.5,0.75,1,0,1.0,1.0,1,0,0.5,0.75,1,0,0.75,1.0
handbook-034,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-035,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.75,1,0,0.75,0.75
handbook-037,1,1,0.75,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-038,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.5,0.75
handbook-039,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.5,0.75
handbook-045,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.25,0.75,1,0,0.5,0.75
handbook-046,1,0,1.0,1.0,1,0,1.0,1.0,1,1,1.0,1.0,1,0,1.0,1.0
handbook-047,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0
handbook-048,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,0,0.75,1.0
handbook-049,1,0,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75
handbook-051,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-052,1,1,1.0,0.75,1,1,1.0,1.0,0,1,0.0,0.25,1,1,1.0,1.0
handbook-053,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0
handbook-054,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-055,0,1,0.0,1.0,0,1,0.5,1.0,0,1,0.5,1.0,0,1,0.25,1.0
handbook-056,1,1,0.75,1.0,1,1,0.75,0.75,1,1,0.75,0.75,1,1,1.0,1.0
handbook-057,1,0,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,1.0
handbook-058,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.75
handbook-060,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.25,0.75
handbook-061,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.5,0.75
handbook-062,1,0,0.5,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.25,1.0
handbook-064,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.75,0.75
handbook-068,1,1,0.5,0.75,1,1,1.0,0.75,1,1,0.75,0.75,1,1,1.0,1.0
handbook-069,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,0,1,0.5,1.0
handbook-071,1,1,0.25,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.25,0.75
handbook-072,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75
handbook-074,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75
handbook-075,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-076,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-077,0,1,0.25,0.5,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-078,0,1,0.25,0.75,1,0,1.0,1.0,0,1,0.75,0.75,0,1,0.5,0.75
handbook-079,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75,1,1,1.0,1.0
handbook-080,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.25,0.5
handbook-081,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-082,1,1,1.0,1.0,1,1,1.0,0.75,1,1,1.0,1.0,0,0,0.0,0.5
handbook-083,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,0.75
handbook-084,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,0,0.0,0.25
handbook-085,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.5
handbook-086,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.5,0.75
handbook-087,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.0,0.5
handbook-088,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.5,0.75
handbook-089,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.25,0.75
handbook-090,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,0,0.25,0.5
handbook-091,0,1,1.0,1.0,0,1,1.0,1.0,0,1,0.75,1.0,0,1,1.0,1.0
handbook-092,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.25,1.0
handbook-093,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-094,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.5,0.75,1,1,1.0,1.0
handbook-095,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.25,0.75
handbook-096,1,0,0.75,1.0,1,1,1.0,1.0,1,0,0.5,0.75,0,1,0.5,0.75
handbook-098,0,1,0.0,1.0,0,1,0.75,1.0,0,1,0.5,1.0,0,1,0.0,1.0
handbook-099,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,0,0.75,0.75
handbook-100,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,0.75
handbook-101,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.25,0.75
handbook-102,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.5,0.75,1,0,0.75,0.75
handbook-104,1,1,0.75,1.0,1,1,0.5,1.0,1,1,1.0,0.75,1,1,0.0,0.25
handbook-105,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,0,0.5,1.0
handbook-106,1,1,1.0,0.75,1,1,0.75,0.75,1,1,1.0,0.75,1,1,1.0,1.0
handbook-107,1,1,0.25,0.75,1,1,1.0,0.75,1,1,1.0,0.75,1,1,0.5,0.75
handbook-108,1,0,0.25,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0
handbook-109,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.25,1,1,0.5,0.75
handbook-110,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-112,1,1,1.0,1.0,1,1,0.5,0.5,0,1,0.75,1.0,1,1,0.5,0.75
handbook-113,1,1,0.25,0.75,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0
handbook-114,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-115,1,1,1.0,1.0,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.5,0.75
handbook-116,1,1,1.0,0.75,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.75,1.0
handbook-117,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,0,1,0.5,1.0
handbook-118,1,0,0.75,1.0,1,0,1.0,1.0,1,0,0.75,1.0,1,0,1.0,1.0
handbook-121,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-122,1,1,1.0,0.75,1,1,1.0,1.0,1,0,0.5,0.5,0,0,0.75,0.75
handbook-123,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-124,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-125,1,1,1.0,1.0,1,1,1.0,0.75,1,1,1.0,0.75,1,1,0.75,0.75
handbook-126,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-129,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-132,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0
handbook-133,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.5,0.5,1,1,0.75,0.75
handbook-134,1,1,1.0,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-135,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,1.0,1,1,0.5,0.75
handbook-136,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-137,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.5,0.75
handbook-139,1,0,1.0,1.0,1,0,0.5,0.75,1,0,0.75,0.75,1,0,0.75,1.0
handbook-140,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0,1,1,0.5,1.0
handbook-141,1,1,0.75,0.75,1,1,1.0,0.75,1,1,1.0,1.0,1,0,0.75,0.75
handbook-142,1,1,0.0,0.75,1,1,0.5,0.75,1,1,0.25,0.75,1,1,0.75,0.75
handbook-143,1,1,0.5,0.5,1,1,1.0,1.0,1,1,0.75,0.75,0,1,0.5,0.75
handbook-144,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,0.75
handbook-145,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-146,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,1.0,1,1,0.5,0.75
handbook-147,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-148,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-149,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.5,0.75,1,1,1.0,1.0
handbook-150,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-151,1,0,0.75,0.75,1,0,0.75,0.75,1,0,0.75,0.75,1,0,0.75,1.0
handbook-152,1,0,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-153,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-155,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.25,0.75,1,1,1.0,1.0
handbook-156,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.5,0.75,1,1,0.75,0.75
handbook-157,1,1,0.75,0.75,0,1,0.5,0.5,1,1,0.5,0.75,1,1,1.0,1.0
handbook-158,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-159,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0,1,1,0.5,0.75
handbook-160,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75
handbook-161,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75,1,1,1.0,1.0
handbook-162,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-163,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,0.75,1,1,0.75,0.75
handbook-164,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-165,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-166,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.25,1.0,1,1,0.5,0.75
handbook-167,1,1,0.75,0.75,1,1,0.75,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-168,1,1,0.5,0.5,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-169,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-170,0,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.75,1.0
