ID	gpt	llama	azure
handbook-001	0.93	0.93	0.85
handbook-002	0.76	0.8	0.87
handbook-003	0.77	0.41	0.86
handbook-004	0.81	0.92	0.75
handbook-005	0.99	0.98	0.99
handbook-006	0.93	0.87	0.94
handbook-007	0.8	0.52	0.93
handbook-008	0.97	0.95	0.94
handbook-009	0.71	0.4	0.59
handbook-010	0.89	0.78	0.72
handbook-011	0.96	0.77	0.87
handbook-012	0.82	0.71	0.86
handbook-013	0.73	0.71	0.67
handbook-014	0.95	0.53	0.53
handbook-015	1.0	1.0	1.0
handbook-016	0.98	0.94	0.96
handbook-017	0.59	0.5	0.6
handbook-018	0.21	0.94	0.93
handbook-019	0.37	0.36	0.35
handbook-021	0.85	0.8	0.8
handbook-022	0.85	0.85	0.41
handbook-023	1.0	1.0	1.0
handbook-024	0.91	0.79	0.91
handbook-025	0.61	0.58	0.62
handbook-026	0.87	0.52	0.73
handbook-027	1.0	0.91	1.0
handbook-030	0.96	0.97	1.0
handbook-031	0.88	0.81	0.63
handbook-032	0.47	0.34	0.27
handbook-033	0.92	0.39	0.82
handbook-034	0.95	0.82	0.64
handbook-035	0.84	0.85	0.84
handbook-037	0.95	0.89	0.9
handbook-038	0.98	0.73	0.85
handbook-039	0.98	0.96	0.98
handbook-045	0.81	0.66	0.47
handbook-046	0.95	0.81	0.81
handbook-047	0.76	0.89	0.97
handbook-048	0.93	0.92	0.81
handbook-049	0.67	0.79	0.6
handbook-051	0.99	0.98	0.99
handbook-052	0.96	0.89	0.95
handbook-053	0.84	0.67	0.92
handbook-054	0.91	0.79	0.81
handbook-055	0.89	0.67	0.62
handbook-056	0.85	0.82	0.95
handbook-057	0.88	0.78	0.8
handbook-058	0.98	0.91	0.71
handbook-060	0.97	0.88	0.92
handbook-061	0.94	0.8	0.7
handbook-062	0.98	0.88	0.75
handbook-064	0.94	0.92	0.97
handbook-068	0.96	0.83	0.8
handbook-069	1.0	0.84	0.82
handbook-071	0.81	0.99	0.75
handbook-072	0.89	0.52	0.56
handbook-074	0.51	0.67	0.88
handbook-075	0.86	0.69	0.87
handbook-076	0.83	0.83	0.83
handbook-077	0.78	0.35	0.65
handbook-078	0.66	0.3	0.29
handbook-079	0.2	0.2	0.2
handbook-080	0.46	0.34	0.26
handbook-081	0.33	0.3	0.24
handbook-082	0.22	0.26	0.45
handbook-083	0.79	0.59	0.51
handbook-084	0.73	0.58	0.33
handbook-085	0.77	0.97	0.71
handbook-086	0.81	0.61	0.41
handbook-087	0.9	0.35	0.84
handbook-088	0.98	0.68	0.82
handbook-089	0.93	0.88	0.92
handbook-090	0.44	0.56	0.55
handbook-091	0.68	0.4	0.82
handbook-092	0.9	0.92	0.87
handbook-093	0.74	0.86	0.76
handbook-094	0.78	0.57	0.92
handbook-095	0.82	0.85	0.76
handbook-096	0.72	0.91	0.47
handbook-098	0.37	0.68	0.31
handbook-099	0.84	0.61	0.76
handbook-100	0.98	0.89	0.96
handbook-101	0.93	0.92	0.9
handbook-102	0.95	0.96	0.8
handbook-104	0.89	0.83	0.84
handbook-105	0.19	0.26	0.2
handbook-106	0.49	0.96	0.9
handbook-107	0.6	0.67	0.63
handbook-108	0.73	0.7	0.59
handbook-109	0.89	0.84	0.87
handbook-110	0.93	0.93	0.93
handbook-112	0.31	0.39	0.24
handbook-113	0.58	0.52	0.56
handbook-114	0.95	0.88	0.97
handbook-115	0.77	0.47	0.3
handbook-116	0.52	0.72	0.8
handbook-117	1.0	0.94	0.96
handbook-118	0.97	0.96	0.92
handbook-121	0.34	0.38	0.49
handbook-122	0.58	0.76	0.62
handbook-123	0.9	0.79	0.85
handbook-124	1.0	1.0	1.0
handbook-125	0.81	0.87	0.79
handbook-126	0.84	0.99	0.98
handbook-129	0.61	0.39	0.43
handbook-132	0.93	0.94	0.96
handbook-133	0.77	0.92	0.93
handbook-134	0.95	0.95	0.92
handbook-135	0.96	0.81	0.85
handbook-136	0.9	0.71	0.86
handbook-137	0.59	0.64	0.5
handbook-139	0.47	0.51	0.55
handbook-140	0.67	0.81	0.71
handbook-141	0.84	0.94	0.88
handbook-142	0.77	0.72	0.59
handbook-143	0.78	0.55	0.31
handbook-144	0.69	0.75	0.71
handbook-145	0.82	0.91	0.81
handbook-146	0.81	0.87	0.75
handbook-147	0.9	0.91	1.0
handbook-148	0.78	0.7	0.73
handbook-149	0.94	0.98	0.99
handbook-150	0.91	0.92	0.74
handbook-151	0.71	0.77	0.65
handbook-152	0.38	0.51	0.35
handbook-153	0.95	0.97	0.93
handbook-155	0.88	0.69	0.91
handbook-156	0.91	0.92	0.71
handbook-157	0.72	0.78	0.73
handbook-158	0.87	0.7	0.91
handbook-159	0.97	0.87	0.92
handbook-160	0.86	0.56	0.94
handbook-161	0.94	0.44	0.46
handbook-162	0.97	0.98	0.96
handbook-163	0.81	0.83	0.99
handbook-164	0.99	0.99	0.95
handbook-165	0.98	0.72	0.76
handbook-166	0.97	0.97	0.74
handbook-167	1.0	1.0	1.0
handbook-168	0.99	1.0	1.0
handbook-169	0.2	0.81	0.97
handbook-170	0.75	0.61	0.94
handbook-171	0.73	0.72	0.66
handbook-172	0.52	0.56	0.53
handbook-173	0.55	0.64	0.69
handbook-174	0.97	0.96	0.92
handbook-175	0.79	0.94	0.79
handbook-176	0.94	0.9	0.96
handbook-177	0.58	0.88	0.73
handbook-178	0.64	0.76	0.4
handbook-179	0.8	0.8	0.84
handbook-180	0.87	0.86	0.88
handbook-181	0.88	0.46	0.77
handbook-182	0.85	0.72	0.64
handbook-183	0.77	0.68	0.61
handbook-184	0.41	0.25	0.37
handbook-185	0.82	0.48	0.51
handbook-186	0.75	0.83	0.71
handbook-187	0.78	0.8	0.55
handbook-188	0.85	0.53	0.53
handbook-189	0.54	0.7	0.25
handbook-190	0.73	0.9	0.72
handbook-191	0.84	0.83	0.37
handbook-192	0.87	0.61	0.52
handbook-194	0.85	0.77	0.94
handbook-195	0.84	0.73	0.75
handbook-196	0.98	0.93	0.92
handbook-197	0.97	0.67	0.73
handbook-200	0.71	0.76	0.51
handbook-201	0.59	0.67	0.69
handbook-202	0.53	0.81	0.56
handbook-203	0.91	0.75	0.72
handbook-205	0.65	0.92	0.8
handbook-206	0.93	0.6	0.71
handbook-208	0.51	0.78	0.33
handbook-209	0.36	0.34	0.32
handbook-210	0.4	0.23	0.12
handbook-211	0.22	0.42	0.31
handbook-212	0.83	0.48	0.55
handbook-216	0.64	0.64	0.52
handbook-217	0.96	0.78	0.94
handbook-219	0.94	0.95	0.87
handbook-220	1.0	0.99	0.71
handbook-223	0.8	0.79	0.81
handbook-224	0.96	0.49	0.9
handbook-225	1.0	1.0	1.0
handbook-227	0.92	0.96	0.63
handbook-228	0.94	0.93	0.93
handbook-229	0.89	0.84	0.88
handbook-231	0.93	0.68	0.97
handbook-233	0.81	0.85	0.94
handbook-236	0.91	0.86	0.85
handbook-237	1.0	1.0	1.0
handbook-238	0.99	0.93	0.91
handbook-239	0.91	0.63	0.78
handbook-241	0.94	0.8	0.68
handbook-246	0.69	0.41	0.57
handbook-247	0.35	0.44	0.61
handbook-248	0.79	0.74	0.71
handbook-249	0.77	0.41	0.53
handbook-250	0.29	0.22	0.12
handbook-251	0.7	0.22	0.63
handbook-252	0.66	0.57	0.49
handbook-253	0.61	0.26	0.69
handbook-254	0.38	0.29	0.42
handbook-255	0.51	0.31	0.08
handbook-256	0.57	0.69	0.81
handbook-257	0.93	0.84	0.82
handbook-258	0.59	0.67	0.41
handbook-259	0.81	0.59	0.25
handbook-260	0.79	0.78	0.72
handbook-261	0.34	0.18	0.77
handbook-262	0.9	0.87	0.8
handbook-263	0.39	0.32	0.22
handbook-264	0.51	0.25	0.19
handbook-265	0.29	0.17	0.12
handbook-266	0.64	0.55	0.45
handbook-267	0.61	0.46	0.53
handbook-268	0.51	0.2	0.68
handbook-269	0.51	0.43	0.08
handbook-270	0.68	0.6	0.33
handbook-271	0.87	0.21	0.62
handbook-276	0.61	0.43	0.84
handbook-277	0.72	0.97	0.77
handbook-278	0.96	0.96	0.87
handbook-283	0.28	0.47	0.19
handbook-290	0.69	0.34	0.68
handbook-291	0.53	0.31	0.52
handbook-292	0.35	0.22	0.14
handbook-293	0.83	0.73	0.96
handbook-294	0.86	0.78	0.99
handbook-295	0.68	0.55	0.77
handbook-296	0.71	0.46	0.51
handbook-297	0.68	0.64	0.16
handbook-299	0.42	0.33	0.25
handbook-300	0.81	0.56	0.38
handbook-301	0.61	0.32	0.24
handbook-302	0.6	0.35	0.33
handbook-303	0.83	0.72	0.69
handbook-304	0.53	0.25	0.37
handbook-305	0.77	0.63	0.29
handbook-306	0.48	0.61	0.54
handbook-307	0.81	0.51	0.45
handbook-308	0.31	0.23	0.2
handbook-309	0.52	0.42	0.42
ALL	0.76	0.69	0.69
