id	source_japanese	target_english	target_chinese	target_vietnamese
handbook-001	私は、○○地方裁判所の裁判官です。	I am a judge of the ______ District Court. 	我是○○地方法院的审判官。	Tôi là thẩm phán của tòa sơ thẩm …………
handbook-002	検察官から勾留請求といって、引き続いてあなたを留置してほしいという請求がありました。	The public prosecutor has applied to this court for your detention.	检察官提出拘留申请，即希望继续拘留你的要求。	Kiểm sát viên đã đề nghị tòa tiếp tục tạm giam quí vị.
handbook-003	そこで、これからあなたを勾留するかどうかを決めるために、あなたに対して被疑事実を告げ、それに関するあなたの陳述を聴くことにします。	I will recite the alleged facts of the crime, after which you may make a statement about the allegations.	为了决定是否要拘留你，下面将告诉你嫌疑事实，并听取你的陈述。	Vì vậy, hôm nay tòa mở phiên tòa này để quyết định có tạm giam quí vị hay không. Đầu tiên, tòa sẽ đọc bản buộc tội rồi nghe quí vị phát biểu về bản buộc tội này.
handbook-004	その前にいくつかの注意及び説明をします。	First, however, I would like to give you some warnings and information. 	在这之前，首先解释几个注意和说明事项。	Nhưng trước hết, tòa sẽ giải thích và chú ý quí vị một vài điều sau.
handbook-005	まず第一に、あなたには黙秘権があります。	First, you have the right to remain silent.	首先第一，你有沉默权。	Trước hết quí vị có quyền giữ im lặng. 
handbook-006	私の質問に対し、始めから終わりまで黙っていてもいいし、個々の質問に対して答えを拒むこともできます。	You may remain silent throughout my questioning, or you may refuse to answer individual questions.	对于我的提问，你既可以自始至终保持沉默，也可以拒绝回答其中的个别问题。	Đối với những câu hỏi của tòa, quí vị có thể im lặng từ đầu đến cuối hoặc có thể từ chối trả lời từng câu hỏi một. 
handbook-007	答えないからといって、それだけで不利益な扱いを受けることはありません。	It shall not be to your disadvantage to remain silent or to refuse to answer any of my questions. 	但不会因为你没有回答问题，而对你有不利的待遇。	Việc từ chối trả lời các câu hỏi của tòa không có gì bất lợi cho quí vị cả. 
handbook-008	第二に、あなたは自分の費用で弁護人を選任する権利があります。	Second, you have the right to appoint your defense counsel at your own expense.	第二，你有用自己的费用选任辩护人的权利。	Thứ hai, quí vị có quyền tự bỏ tiền để tuyển chọn luật sư bào chữa. 
handbook-009	弁護人を選任したいけれども、弁護人の心当たりがないという場合には、弁護士会を通じて選任する方法があります。	If you wish to appoint counsel, but do not have any information about defense counsels, the court can help you find an attorney to represent you through a bar association.	如果你想选任辩护人，却又没有认识的辩护人时，也可以通过律师会来选任。	Trường hợp muốn tuyển chọn nhưng không có luật sư mình muốn, còn có cách tuyển chọn thông qua Hiệp Hội Luật Sư. 
handbook-010	そのような申出があれば、裁判所から弁護士会に通知しますから、希望する場合は遠慮なく言ってください。	Do not hesitate to apply to the court to find a counsel. If requested, the court will notify a bar association at your request.	如果你有这样的要求，将由法院来通知律师会。所以，假如你希望，请提出要求。	Nếu có yêu cầu, tòa sẽ thông báo với Hiệp Hội Luật Sư. Xin đừng ngần ngại hãy cho tòa biết khi quí vị muốn tuyển chọn luật sư. 
handbook-011	あなたが経済的な理由などで自分の費用で弁護人を選任することができないときは、裁判官に弁護人の選任を請求することができます。	If you cannot afford to appoint a defense counsel at your own expense for economic or other reasons, you may request a judge to appoint one.	如果你出于经济等原因无法自费选任辩护人时，可以请求审判官为你选任辩护人。	Nếu vì lý do kinh tế không thể tuyển chọn luật sư bằng tiền của mình, quí vị có thể yêu cầu việc tuyển chọn luật sư với tòa án. 
handbook-012	この請求をする場合には、資力申告書を提出しなければなりません。	If you wish to make this request, you should first submit a report of financial resources.	如果要提出此请求，必须提交财力申报书。	Trong trường hợp này, quí vị phải nộp bản tự khai năng lực tài chánh của mình. 
handbook-013	また、資力申告書の資力の合計額が50万円以上の場合には、あらかじめ、○○弁護士会に弁護人の選任の申出をしていなければなりません。	If you have a total of 500,000 yen or more as your own resources, you should request the Association to appoint a defense counsel beforehand.	同时，如果财力申报书的财力总额达到50万日元以上时，必须提前向○○律师会申请选任辩护人。	Nếu tổng cộng số tiền trong bản tự khai năng lực tài chánh vượt quá 500.000 yen, quí vị phải xin tuyển chọn luật sư với Hiệp Hội Luật Sư............ 
