id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-003,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-014,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,0.75
handbook-016,1,1,0.5,0.75,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-023,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,1.0,1,1,0.75,1.0
handbook-035,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0
handbook-047,1,1,0.25,1.0,1,1,1.0,1.0,1,0,0.0,0.0,1,1,1.0,1.0
handbook-049,1,0,0.5,1.0,1,0,0.75,1.0,1,0,0.75,1.0,1,0,0.75,1.0
handbook-051,1,1,0.75,0.75,1,1,0.75,0.75,1,1,0.75,0.75,1,1,1.0,1.0
handbook-052,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75
handbook-053,0,1,0.5,1.0,1,1,1.0,1.0,0,1,0.5,0.75,0,1,0.75,1.0
handbook-064,1,1,0.5,1.0,1,1,0.75,0.75,1,1,0.75,0.75,1,1,0.5,1.0
handbook-072,1,1,0.5,0.75,1,1,1.0,1.0,0,1,0.0,0.5,1,1,0.75,0.75
handbook-085,1,0,0.75,1.0,1,0,0.5,1.0,1,0,0.5,1.0,1,0,0.25,1.0
handbook-100,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-104,1,0,0.25,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.25,0.75
handbook-105,1,0,0.0,0.5,1,0,0.75,1.0,1,0,0.25,0.75,1,0,0.5,0.75
handbook-106,0,1,0.0,1.0,1,0,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-129,0,1,0.75,0.75,1,1,1.0,1.0,1,1,0.25,0.5,1,1,0.5,0.75
handbook-143,1,1,0.25,0.75,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.0,0.5
handbook-145,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-165,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-175,1,0,1.0,1.0,1,0,0.5,0.75,1,0,0.5,0.75,1,0,0.5,0.75
handbook-176,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-177,1,1,0.5,0.75,1,1,0.75,1.0,1,1,0.25,1.0,1,1,1.0,1.0
handbook-178,1,0,0.0,0.75,1,1,1.0,1.0,1,1,0.25,1.0,1,1,0.75,1.0
handbook-179,1,1,0.25,0.75,1,1,0.75,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-181,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-182,1,1,0.75,1.0,1,1,0.75,0.75,1,1,1.0,0.75,1,1,0.5,0.75
handbook-183,1,1,0.75,0.75,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.5,0.75
handbook-184,1,1,0.75,0.75,1,1,1.0,0.75,1,1,0.5,0.5,1,1,0.25,0.75
handbook-185,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.25,0.5,1,1,1.0,0.75
handbook-187,0,0,0.5,0.75,1,1,1.0,1.0,1,0,0.25,0.75,1,1,0.75,0.75
handbook-189,1,0,0.5,0.75,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-190,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0,1,1,0.75,1.0
handbook-191,1,1,0.5,0.75,1,1,0.75,1.0,1,1,0.25,0.75,0,1,0.25,0.5
handbook-231,1,1,0.75,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-291,1,0,0.5,0.75,1,0,0.75,0.75,1,0,0.75,1.0,1,0,1.0,1.0
handbook-293,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-294,1,0,0.5,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
