ID	gpt	llama	azure
question-01	0.91	0.93	0.95
question-02	0.88	0.96	0.86
question-03	0.93	0.88	0.87
question-04	0.95	0.89	0.99
question-05	0.88	0.92	0.94
question-06	0.97	0.97	0.99
question-07	0.99	0.99	0.97
question-08	0.88	0.95	0.84
question-09	0.99	1.0	0.97
question-10	0.91	0.96	0.97
question-11	0.84	0.75	0.95
question-12	0.91	0.94	0.88
question-13	0.98	0.99	0.99
question-14	0.99	0.97	0.92
question-15	0.87	0.94	1.0
question-16	0.96	0.88	0.9
question-17	0.97	0.96	0.9
question-18	0.99	0.94	1.0
question-19	0.91	0.89	0.96
question-20	0.96	0.92	0.96
question-21	0.88	0.92	0.86
question-22	0.98	0.99	0.99
question-23	0.84	0.93	0.98
question-24	0.99	0.94	1.0
question-25	0.97	0.98	0.97
question-26	0.98	0.97	1.0
question-27	0.95	0.92	0.82
question-28	0.99	0.99	0.99
question-29	1.0	0.99	1.0
question-30	0.94	0.87	0.56
question-31	0.99	0.94	0.88
question-32	1.0	1.0	0.85
question-33	0.96	0.91	0.96
question-34	0.82	0.91	0.92
question-35	0.96	0.95	0.84
question-36	0.95	0.96	0.96
question-37	0.95	0.91	0.99
question-38	0.93	0.84	0.88
question-39	0.83	0.77	0.66
question-40	0.86	1.0	0.99
question-41	0.98	0.99	0.98
question-42	0.99	0.98	0.98
question-43	0.88	0.89	0.87
question-44	0.73	0.8	0.85
question-45	0.78	0.82	0.78
question-46	0.97	0.95	0.87
question-47	0.91	0.94	0.98
question-48	0.98	0.98	0.95
question-49	0.97	0.97	0.87
question-50	1.0	0.97	0.98
ALL	0.93	0.93	0.92
