ID	gpt	llama	azure	target_len	gpt_len	llama_len	azure_len
handbook-001	70.77	70.77	17.68	13	12	12	11
handbook-002	39.08	55.27	7.15	22	19	19	10
handbook-003	34.15	18.87	33.54	30	37	45	30
handbook-004	13.11	7.46	12.33	19	19	13	15
handbook-005	64.33	19.73	12.61	11	9	12	11
handbook-006	62.15	53.13	45.99	35	31	31	29
handbook-007	14.11	8.82	13.47	23	20	18	23
handbook-008	14.82	51.47	5.42	20	15	20	17
handbook-009	26.88	26.81	17.96	34	31	38	39
handbook-010	24.63	10.1	29.36	36	34	40	35
handbook-011	30.22	11.61	25.14	36	31	30	37
handbook-012	34.11	47.21	56.83	19	19	19	19
handbook-013	40.39	8.5	21.75	43	43	44	44
handbook-014	26.7	33.91	25.54	57	50	56	54
handbook-015	46.6	22.89	34.38	11	12	15	10
handbook-016	34.39	31.82	13.39	37	38	42	42
handbook-017	26.12	9.94	11.15	23	27	28	22
handbook-018	2.53	7.02	11.29	19	59	16	16
handbook-019	40.8	46.0	21.24	109	97	104	86
handbook-021	5.93	5.52	9.65	6	10	8	6
handbook-022	26.31	11.88	8.3	11	10	10	11
handbook-023	21.56	12.94	12.48	24	19	18	17
handbook-024	35.91	28.7	22.48	37	33	34	36
handbook-025	37.62	29.7	24.84	38	32	41	36
handbook-026	47.48	46.66	24.87	21	19	19	22
handbook-027	59.78	49.62	25.97	11	10	11	11
handbook-030	29.07	9.43	24.38	8	10	11	12
handbook-031	51.91	42.3	21.56	55	52	54	56
handbook-032	17.24	15.73	10.55	10	12	13	10
handbook-033	43.91	18.9	24.31	27	30	29	27
handbook-034	12.65	16.56	4.92	20	27	21	23
handbook-035	54.97	45.31	27.2	23	25	23	22
handbook-037	32.38	17.31	7.44	14	16	18	17
handbook-038	12.38	36.28	13.78	9	6	8	8
handbook-039	36.65	75.15	10.55	9	6	7	9
handbook-045	35.99	29.13	24.76	18	23	23	21
handbook-046	69.89	12.83	22.09	9	11	8	10
handbook-047	37.18	31.68	11.43	15	17	15	22
handbook-048	48.33	70.17	63.4	11	11	11	12
handbook-049	42.02	52.58	16.19	33	36	30	32
handbook-051	53.09	51.52	65.5	35	32	34	33
handbook-052	34.04	33.82	18.86	67	60	63	59
handbook-053	43.08	10.65	19.52	22	22	25	20
handbook-054	31.24	18.36	14.54	6	10	11	7
handbook-055	12.22	12.22	13.13	6	8	8	8
handbook-056	39.43	7.96	19.92	12	15	16	17
handbook-057	36.64	25.54	37.57	18	13	19	17
handbook-058	23.66	6.41	8.17	20	19	16	25
handbook-060	48.04	43.41	5.44	23	18	18	14
handbook-061	15.9	20.43	5.79	26	21	20	16
handbook-062	65.46	60.42	9.59	25	24	20	21
