id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,1,1,1,5,1,0,0,5,1,1,1,5,1,1,1,5
handbook-002,0,0,1,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-003,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-004,0,0,0,5,1,1,1,3,1,1,1,5,0,0,0,5
handbook-005,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-006,1,1,1,5,0,1,1,5,1,1,1,5,1,0,0,5
handbook-007,0,0,0,5,0,0,0,4,1,1,1,5,1,1,1,5
handbook-008,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-009,0,0,1,5,1,1,1,5,1,1,0,5,1,1,1,5
handbook-010,1,1,1,5,1,1,1,5,0,0,0,3,1,1,1,5
handbook-011,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-012,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-013,1,1,1,5,1,1,0,5,0,0,0,3,1,0,0,4
handbook-014,1,1,1,5,0,0,0,3,1,1,1,5,0,1,0,4
handbook-015,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-016,1,1,1,5,1,1,1,5,1,1,0,4,0,1,0,4
handbook-017,0,1,0,3,1,0,0,3,1,1,1,5,1,1,1,5
handbook-018,1,1,1,5,0,1,1,4,0,0,0,2,1,1,1,5
handbook-019,0,1,0,3,0,1,1,3,1,1,1,4,1,1,1,3
handbook-021,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,5
handbook-022,1,1,1,5,1,1,1,5,1,1,1,4,0,0,0,3
handbook-023,1,1,1,5,0,1,0,4,1,1,1,5,1,1,1,5
handbook-024,1,0,0,5,1,1,1,5,0,0,1,5,1,0,1,5
handbook-025,1,0,1,4,1,1,0,5,0,0,0,5,1,1,1,5
handbook-026,1,0,1,5,1,1,0,5,1,1,1,5,0,0,0,4
handbook-027,1,1,1,5,1,1,1,5,1,0,0,5,1,0,0,5
handbook-030,0,0,0,5,0,0,0,5,1,1,1,5,0,0,0,5
handbook-031,1,0,1,5,1,0,0,5,1,1,1,5,1,1,1,4
handbook-032,0,0,0,3,0,0,0,3,0,1,0,4,1,1,0,1
handbook-033,1,1,1,5,0,0,0,4,0,0,0,4,0,0,0,5
handbook-034,0,1,0,5,1,1,1,4,0,1,0,5,1,1,1,5
handbook-035,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-037,1,1,1,5,0,0,0,5,1,1,1,5,1,1,0,5
handbook-038,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-039,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-045,1,1,1,5,0,0,0,5,0,0,0,4,0,0,0,4
handbook-046,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-047,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-048,1,1,1,5,0,0,0,5,1,1,1,5,1,1,1,5
handbook-049,1,1,1,5,1,1,1,5,0,1,0,5,0,0,0,4
handbook-051,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-052,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-053,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-054,0,0,1,5,1,1,1,5,0,0,0,5,0,0,0,5
handbook-055,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,5
handbook-056,1,1,1,5,1,0,0,5,1,1,1,5,1,1,1,5
handbook-057,1,1,1,5,0,1,0,5,0,1,0,4,1,1,1,5
handbook-058,1,1,1,5,1,1,1,5,0,1,0,4,0,0,0,4
handbook-060,1,1,0,5,1,1,0,5,1,1,0,5,1,1,1,5
handbook-061,1,1,1,5,0,0,0,5,1,1,1,5,1,1,1,5
handbook-062,1,0,1,4,0,1,0,5,0,1,0,5,1,0,1,5
handbook-064,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-068,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4
handbook-069,1,0,1,5,0,1,0,5,1,0,1,5,1,1,1,5
handbook-071,1,1,1,5,0,0,0,4,0,1,0,4,0,1,0,5
handbook-072,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-074,1,1,1,5,1,0,0,3,1,1,1,5,0,0,0,4
handbook-075,0,0,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-076,1,1,1,5,0,0,0,5,1,1,1,5,1,1,1,5
handbook-077,1,1,1,5,1,1,0,3,1,1,1,5,0,0,0,2
handbook-078,1,1,1,5,0,1,0,4,0,0,0,5,1,1,1,5
handbook-079,1,1,1,5,0,0,0,5,1,1,1,5,0,1,0,5
handbook-080,1,1,1,5,0,0,0,5,0,1,1,5,0,0,0,5
handbook-081,1,1,1,5,1,1,0,3,0,0,0,3,1,1,1,4
handbook-082,0,0,0,4,1,0,1,4,1,1,1,5,1,1,0,5
handbook-083,1,0,1,3,1,1,1,5,1,1,1,4,1,0,1,5
handbook-084,0,1,1,5,0,0,0,4,1,1,1,5,1,1,1,5
handbook-085,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,5
handbook-086,1,1,1,5,0,0,0,3,1,1,1,4,1,1,1,5
handbook-087,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-088,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-089,0,0,0,5,0,0,0,5,1,1,1,5,0,0,1,5
handbook-090,1,1,1,4,1,1,1,5,1,1,1,3,1,1,1,4
handbook-091,1,1,1,5,0,0,0,3,0,1,0,4,0,0,0,4
handbook-092,1,1,1,5,1,1,1,5,0,1,0,4,1,1,0,3
handbook-093,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-094,0,1,0,5,0,1,0,4,1,1,1,5,1,1,1,5
handbook-095,1,1,1,3,0,0,0,5,1,1,1,5,1,1,1,5
handbook-096,0,0,0,4,0,0,0,3,1,0,1,4,1,0,0,4
handbook-098,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,4
handbook-099,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-100,1,1,1,5,0,1,1,5,0,1,1,5,1,1,0,5
handbook-101,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-102,1,1,1,4,1,1,1,5,0,0,0,5,1,1,1,5
handbook-104,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-105,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,4
handbook-106,1,1,1,4,1,1,1,5,0,0,0,5,1,1,1,5
handbook-107,1,1,1,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-108,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,3
handbook-109,1,1,0,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-110,1,1,1,5,0,1,0,4,1,1,1,5,1,1,1,5
handbook-112,0,0,0,2,0,0,1,4,1,1,1,5,0,0,0,2
handbook-113,1,0,0,5,0,1,0,4,1,0,0,3,1,1,1,5
handbook-114,0,0,0,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-115,0,0,0,2,1,1,1,5,1,1,1,4,1,1,1,5
handbook-116,1,1,0,5,1,1,1,5,0,1,1,4,0,0,0,4
handbook-117,1,1,1,5,1,0,0,5,1,1,1,5,1,1,0,5
handbook-118,1,1,1,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-121,0,1,0,5,0,0,0,5,0,0,0,4,0,1,0,3
handbook-122,1,1,1,5,0,0,0,4,1,1,1,5,0,0,0,4
handbook-123,1,1,1,5,0,1,0,5,1,1,1,5,1,1,1,5
handbook-124,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-125,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,5
handbook-126,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-129,1,1,0,5,1,0,0,4,1,0,0,4,1,1,1,5
handbook-132,1,1,0,5,1,1,1,5,0,0,0,5,1,1,1,5
handbook-133,1,1,1,5,1,1,1,5,1,1,0,4,1,1,0,5
handbook-134,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-135,1,1,1,5,1,1,1,5,1,1,0,5,1,1,0,4
handbook-136,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-137,1,0,0,5,1,1,0,4,1,1,1,5,1,1,0,5
handbook-139,0,0,0,5,0,0,0,5,0,0,1,5,0,0,1,5
handbook-140,1,1,1,5,0,0,0,5,0,0,0,4,1,1,1,5
handbook-141,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-142,0,0,0,5,0,0,0,5,0,0,0,5,1,1,0,5
handbook-143,0,0,0,3,1,1,0,4,1,1,0,5,1,1,1,4
handbook-144,1,1,1,5,1,1,1,5,1,1,0,5,1,0,0,4
handbook-145,0,0,0,4,1,1,1,5,1,1,1,5,0,1,1,5
handbook-146,0,1,0,5,1,1,0,5,1,1,1,5,0,0,0,5
handbook-147,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-148,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-149,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-150,1,0,1,5,1,0,1,5,1,1,0,5,1,1,1,5
handbook-151,1,1,1,5,1,1,1,5,1,0,1,4,1,1,1,5
handbook-152,0,1,1,5,0,0,0,4,0,1,1,5,1,1,1,5
handbook-153,0,0,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-155,1,1,1,5,0,0,0,5,1,1,1,5,1,1,1,5
handbook-156,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-157,1,1,1,5,1,0,0,5,1,1,1,5,1,1,1,5
handbook-158,0,0,0,5,1,1,1,4,1,0,0,5,1,1,1,5
handbook-159,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-160,1,1,1,5,1,1,1,5,0,1,0,4,1,1,1,4
handbook-161,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-162,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-163,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-164,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-165,0,0,0,5,1,1,0,5,0,0,0,5,1,1,1,5
handbook-166,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5
handbook-167,0,1,1,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-168,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-169,1,0,1,5,1,0,0,4,0,1,0,5,0,0,0,5
handbook-170,1,0,1,5,0,1,0,5,1,0,1,5,1,0,1,5
handbook-171,1,1,1,5,1,1,0,3,1,0,0,3,1,1,1,5
handbook-172,1,1,1,5,1,0,0,4,1,1,1,5,0,1,0,4
handbook-173,1,0,1,5,0,1,0,4,1,1,1,5,1,0,0,4
handbook-174,1,1,1,5,1,1,1,5,1,1,0,5,0,0,0,4
handbook-175,1,1,1,5,1,1,1,5,1,1,0,5,1,1,0,4
handbook-176,0,1,0,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-177,1,1,1,5,1,0,0,5,1,0,0,5,0,1,0,5
handbook-178,1,1,1,5,0,0,0,4,1,1,1,5,1,1,1,5
handbook-179,1,0,1,5,1,0,0,5,1,1,1,5,1,1,1,5
handbook-180,1,1,1,5,0,1,0,4,0,1,0,3,1,1,1,5
handbook-181,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-182,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,3
handbook-183,0,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-184,1,1,1,5,0,0,0,4,1,1,1,5,1,0,0,4
handbook-185,0,0,0,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-186,0,1,0,3,0,0,0,4,1,1,1,5,1,1,1,5
handbook-187,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,5
handbook-188,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-189,1,1,1,5,1,1,1,5,1,1,0,4,0,0,0,5
handbook-190,0,0,0,4,0,1,0,2,0,0,0,2,1,1,1,5
handbook-191,1,1,1,5,1,1,1,4,1,0,0,2,1,1,1,5
handbook-192,1,1,1,5,1,0,0,5,0,1,0,2,1,1,1,5
handbook-194,1,1,1,5,0,0,0,3,1,1,1,5,1,1,1,5
handbook-195,1,1,1,5,1,0,1,5,1,1,1,4,1,1,1,5
handbook-196,1,1,1,5,1,1,1,5,0,0,0,5,1,1,1,5
handbook-197,1,1,1,5,0,0,0,5,1,1,0,3,1,1,1,5
handbook-200,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,3
handbook-201,0,0,0,3,0,0,0,3,0,1,0,4,0,0,0,4
handbook-202,1,1,1,3,1,1,1,4,1,1,1,4,1,1,1,5
handbook-203,1,1,1,5,0,1,0,5,1,0,0,5,1,1,1,5
