id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,5
handbook-002,0,0,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-003,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-004,0,0,0,5,1,1,1,5,0,0,0,5,1,1,1,3
handbook-005,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-006,1,1,1,5,1,1,1,5,1,0,0,5,0,1,1,5
handbook-007,0,0,0,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-008,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-009,0,0,1,5,1,1,1,5,1,1,0,5,1,1,1,5
handbook-010,0,0,0,3,1,1,1,5,1,1,1,5,1,1,1,5
handbook-011,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-012,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-013,0,0,0,3,1,1,0,5,1,0,0,4,1,1,1,5
handbook-014,0,0,0,3,1,1,1,5,1,1,1,5,0,1,0,4
handbook-015,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-016,1,1,1,5,1,1,0,4,1,1,1,5,0,1,0,4
handbook-017,0,1,0,3,1,1,1,5,1,1,1,5,1,0,0,3
handbook-018,0,1,1,4,0,0,0,2,1,1,1,5,1,1,1,5
handbook-019,1,1,1,3,1,1,1,4,0,1,1,3,0,1,0,3
handbook-021,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,5
handbook-022,0,0,0,3,1,1,1,5,1,1,1,5,1,1,1,4
handbook-023,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-024,1,1,1,5,1,0,1,5,0,0,1,5,1,0,0,5
handbook-025,1,1,0,5,1,1,1,5,0,0,0,5,1,0,1,4
handbook-026,0,0,0,4,1,0,1,5,1,1,1,5,1,1,0,5
handbook-027,1,1,1,5,1,1,1,5,1,0,0,5,1,0,0,5
handbook-030,0,0,0,5,1,1,1,5,0,0,0,5,0,0,0,5
handbook-031,1,1,1,4,1,0,1,5,1,0,0,5,1,1,1,5
handbook-032,1,1,0,1,0,1,0,4,0,0,0,3,0,0,0,3
handbook-033,0,0,0,4,1,1,1,5,0,0,0,5,0,0,0,4
handbook-034,0,1,0,5,1,1,1,4,0,1,0,5,1,1,1,5
handbook-035,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-037,1,1,1,5,1,1,0,5,0,0,0,5,1,1,1,5
handbook-038,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-039,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-045,0,0,0,4,1,1,1,5,0,0,0,5,0,0,0,4
handbook-046,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-047,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-048,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-049,0,0,0,4,1,1,1,5,0,1,0,5,1,1,1,5
handbook-051,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-052,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-053,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-054,0,0,1,5,1,1,1,5,0,0,0,5,0,0,0,5
handbook-055,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,5
handbook-056,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-057,1,1,1,5,1,1,1,5,0,1,0,5,0,1,0,4
handbook-058,1,1,1,5,1,1,1,5,0,1,0,4,0,0,0,4
handbook-060,1,1,0,5,1,1,0,5,1,1,1,5,1,1,0,5
handbook-061,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,5
handbook-062,0,1,0,5,1,0,1,5,1,0,1,4,0,1,0,5
handbook-064,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-068,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,4
handbook-069,1,0,1,5,1,0,1,5,0,1,0,5,1,1,1,5
handbook-071,0,1,0,5,0,0,0,4,1,1,1,5,0,1,0,4
handbook-072,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-074,0,0,0,4,1,1,1,5,1,0,0,3,1,1,1,5
handbook-075,1,1,1,5,1,1,1,5,0,0,1,5,1,1,1,5
handbook-076,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-077,0,0,0,2,1,1,1,5,1,1,1,5,1,1,0,3
handbook-078,0,0,0,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-079,0,0,0,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-080,0,0,0,5,1,1,1,5,0,1,1,5,0,0,0,5
handbook-081,0,0,0,3,1,1,1,5,1,1,1,4,1,1,0,3
handbook-082,0,0,0,4,1,1,1,5,1,0,1,4,1,1,0,5
handbook-083,1,0,1,3,1,1,1,5,1,1,1,4,1,0,1,5
handbook-084,0,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-085,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,5
handbook-086,1,1,1,4,1,1,1,5,1,1,1,5,0,0,0,3
handbook-087,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-088,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-089,0,0,0,5,0,0,1,5,1,1,1,5,0,0,0,5
handbook-090,1,1,1,4,1,1,1,4,1,1,1,5,1,1,1,3
handbook-091,0,0,0,3,1,1,1,5,0,1,0,4,0,0,0,4
handbook-092,0,1,0,4,1,1,1,5,1,1,1,5,1,1,0,3
handbook-093,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-094,1,1,1,5,1,1,1,5,0,1,0,5,0,1,0,4
handbook-095,1,1,1,5,1,1,1,5,0,0,0,5,1,1,1,3
handbook-096,1,0,0,4,1,0,1,4,0,0,0,4,0,0,0,3
handbook-098,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,4
handbook-099,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-100,1,1,1,5,0,1,1,5,0,1,1,5,1,1,0,5
handbook-101,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-102,1,1,1,5,1,1,1,5,0,0,0,5,1,1,1,4
handbook-104,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
