id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,1,1,1,5,1,1,1,5,1,1,0,3,1,1,1,5
handbook-002,0,0,0,4,0,1,0,5,1,0,0,4,1,1,1,5
handbook-003,0,0,0,3,1,0,1,4,1,0,0,2,0,0,0,3
handbook-004,1,0,1,4,1,1,1,5,1,1,1,5,0,0,0,2
handbook-005,1,1,1,4,1,1,1,4,1,1,1,5,1,1,1,5
handbook-006,1,0,1,5,1,1,1,3,1,1,1,5,1,0,1,3
handbook-007,1,0,1,5,0,0,0,2,0,0,1,3,0,1,1,5
handbook-008,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-009,0,0,1,3,1,1,1,4,1,0,1,3,1,1,1,2
handbook-010,1,0,1,5,1,0,0,2,1,0,0,2,1,0,1,4
handbook-011,0,1,0,4,0,1,0,4,0,1,1,3,0,1,1,4
handbook-012,1,1,0,5,0,0,0,4,0,0,0,3,1,1,0,4
handbook-013,1,1,0,5,1,1,1,5,0,0,0,3,0,0,0,3
handbook-014,0,0,0,3,0,0,0,2,1,0,1,4,0,0,0,2
handbook-015,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-016,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-017,0,0,0,3,0,0,0,4,1,1,1,4,1,1,1,3
handbook-018,0,0,0,3,0,0,0,3,1,0,1,3,1,1,1,3
handbook-019,1,0,0,2,0,0,0,2,0,0,1,3,0,0,0,2
handbook-021,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,5
handbook-022,1,0,1,5,1,0,1,4,1,1,1,4,0,0,0,4
handbook-023,0,0,0,3,0,1,0,4,0,1,0,4,0,0,0,3
handbook-024,1,0,1,4,0,0,0,3,0,0,0,4,0,0,0,4
handbook-025,0,0,0,2,1,0,0,2,0,0,0,1,1,0,1,4
handbook-026,0,0,0,3,1,1,1,5,0,0,0,3,0,0,0,2
handbook-027,1,1,1,5,0,0,0,5,0,0,0,5,0,0,0,5
handbook-030,1,1,0,2,0,0,0,3,0,0,0,5,0,0,0,3
handbook-031,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
handbook-032,0,0,0,2,0,0,0,1,1,0,0,5,0,0,0,5
handbook-033,0,1,1,4,0,0,0,3,0,0,0,3,0,0,0,3
handbook-034,0,0,0,3,1,0,0,2,1,0,0,2,1,0,0,2
handbook-035,1,1,1,4,1,1,1,4,1,1,1,4,0,0,0,3
handbook-037,1,0,0,3,1,0,0,3,1,0,0,4,1,0,0,3
handbook-038,1,1,1,4,1,1,1,4,1,1,1,4,0,0,0,3
handbook-039,1,1,1,5,1,1,1,5,1,1,1,4,0,0,0,3
handbook-045,1,0,0,3,0,0,0,2,1,0,0,2,0,0,0,2
handbook-046,0,0,0,4,1,1,1,4,0,1,0,5,0,0,0,4
handbook-047,0,0,0,3,1,0,0,4,0,0,0,3,1,0,0,3
handbook-048,1,1,1,5,0,0,0,4,1,1,0,4,0,0,0,3
handbook-049,0,0,0,2,0,0,0,2,1,1,1,3,0,0,0,3
handbook-051,0,0,0,4,1,1,1,3,1,1,1,3,1,0,1,3
handbook-052,0,0,0,3,1,1,1,4,0,0,1,2,1,1,1,3
handbook-053,1,1,1,5,1,1,1,4,0,0,0,3,0,1,1,4
handbook-054,1,0,0,3,1,0,0,4,1,0,0,3,1,0,0,3
handbook-055,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,5
handbook-056,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,3
handbook-057,0,0,0,3,0,0,0,3,0,0,0,3,0,1,0,3
handbook-058,1,1,1,5,1,0,0,4,0,0,0,3,0,0,0,3
handbook-060,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3
handbook-061,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,3
handbook-062,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,3
handbook-064,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,3
handbook-068,1,0,0,4,1,0,0,4,1,0,0,4,1,0,0,4
handbook-069,1,0,0,4,0,1,0,5,1,1,1,5,0,1,0,5
handbook-071,1,1,1,5,1,0,0,4,0,0,0,2,0,0,0,3
handbook-072,0,1,0,3,0,0,0,4,0,0,0,3,0,1,1,5
handbook-074,1,1,1,4,0,1,0,4,0,1,0,4,0,0,0,3
handbook-075,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,5
handbook-076,1,1,1,5,0,0,0,3,0,0,0,3,0,0,0,3
handbook-077,0,1,0,3,0,1,0,2,0,0,0,2,1,0,0,2
handbook-078,1,1,1,5,0,0,0,2,0,0,0,4,0,0,0,2
handbook-079,0,1,0,5,0,0,0,4,0,1,0,4,0,0,0,4
handbook-080,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,2
handbook-081,0,0,0,3,0,1,1,4,0,0,0,4,0,1,1,4
handbook-082,0,0,0,4,0,0,0,3,1,0,1,4,0,0,0,3
handbook-083,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2
handbook-084,0,0,0,3,0,0,0,3,0,1,1,3,0,0,0,3
handbook-085,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-086,0,0,1,4,0,0,0,2,0,0,0,3,0,0,1,3
handbook-087,1,0,0,4,1,1,1,4,1,0,0,3,0,1,0,3
handbook-088,0,0,0,3,1,1,1,4,1,1,1,4,1,0,0,3
handbook-089,0,0,0,3,1,0,0,4,1,0,0,4,1,1,1,5
handbook-090,0,0,0,3,0,1,1,5,0,0,0,3,0,0,0,4
handbook-091,0,0,0,4,0,0,0,4,1,0,0,4,1,0,0,4
handbook-092,1,1,1,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-093,1,0,1,3,1,0,1,2,1,0,1,3,1,0,0,3
handbook-094,0,0,0,3,0,0,0,3,0,0,0,3,1,1,1,5
handbook-095,0,0,0,4,0,0,0,3,1,0,0,3,1,1,1,4
handbook-096,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,4
handbook-098,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,1
handbook-099,0,0,0,3,0,0,0,4,0,0,0,4,0,1,1,4
handbook-100,1,0,1,4,1,0,0,3,1,0,0,3,0,0,0,3
handbook-101,0,1,0,4,0,0,0,3,0,0,0,3,1,1,1,5
handbook-102,0,0,0,3,0,1,0,3,0,0,0,2,0,1,0,3
handbook-104,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-105,0,0,0,3,1,1,1,4,0,0,0,4,0,0,0,4
handbook-106,0,0,0,3,0,1,0,5,0,0,0,4,0,0,0,4
handbook-107,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-108,1,1,1,4,1,0,1,4,1,0,0,3,0,0,0,3
handbook-109,1,1,1,5,1,1,1,5,1,1,0,3,0,1,0,3
handbook-110,1,1,1,4,0,1,1,3,1,0,0,3,0,0,0,3
handbook-112,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,3
handbook-113,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,3
handbook-114,0,0,0,4,1,1,1,4,1,0,0,4,1,0,0,4
handbook-115,0,0,0,3,0,0,0,3,0,0,0,3,1,0,0,4
handbook-116,0,0,1,4,0,0,0,3,0,0,0,3,0,0,1,3
handbook-117,1,1,1,5,0,0,0,4,0,0,0,4,1,1,1,5
handbook-118,1,1,1,5,1,1,1,5,0,0,0,4,1,1,1,5
handbook-121,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,3
handbook-122,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-123,0,0,0,3,0,0,0,3,0,0,0,3,1,1,1,5
handbook-124,1,1,1,5,1,1,1,4,0,0,0,3,1,1,1,5
handbook-125,0,0,0,3,0,0,0,3,1,0,1,3,0,0,0,3
handbook-126,0,0,0,3,1,0,1,5,1,0,1,5,1,0,1,5
handbook-129,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2
handbook-132,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-133,0,0,0,3,0,0,0,3,1,1,1,4,1,1,1,4
handbook-134,0,0,0,3,1,1,0,3,0,1,0,4,0,0,0,3
handbook-135,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-136,1,1,1,4,1,1,1,5,0,0,0,3,1,1,1,3
handbook-137,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-139,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-140,1,1,1,3,0,0,0,3,0,0,0,3,1,0,0,3
handbook-141,0,0,0,3,0,0,0,3,1,0,0,3,1,0,0,3
handbook-142,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-143,0,0,0,3,1,1,1,4,0,0,0,3,0,0,0,3
handbook-144,0,0,0,3,0,1,0,3,0,0,0,3,0,0,0,3
handbook-145,0,0,0,4,0,0,1,4,0,0,0,4,0,0,0,4
handbook-146,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,2
handbook-147,1,1,1,4,1,1,1,4,1,1,1,4,0,1,0,4
handbook-148,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-149,0,0,0,3,1,1,1,4,1,1,1,4,1,1,1,4
handbook-150,1,0,0,3,0,0,0,3,0,0,0,3,0,1,0,3
handbook-151,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4
handbook-152,0,1,0,4,0,0,0,5,0,0,0,4,0,1,0,4
handbook-153,0,0,0,3,1,1,1,4,1,1,1,4,0,0,0,4
handbook-155,1,1,1,4,0,0,0,3,1,1,1,4,1,1,1,4
handbook-156,0,0,0,3,0,0,0,3,1,1,1,4,0,0,0,3
handbook-157,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3
handbook-158,1,1,1,4,1,0,0,4,1,1,0,4,1,1,1,4
handbook-159,0,0,0,3,0,0,1,4,0,0,1,4,0,0,0,4
handbook-160,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-161,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3
handbook-162,1,0,0,3,1,0,0,3,1,1,1,4,1,0,0,3
handbook-163,0,0,0,4,1,1,1,5,0,0,0,3,1,1,1,4
handbook-164,1,0,0,4,0,0,0,4,0,1,0,3,1,0,0,3
handbook-165,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4
handbook-166,0,0,0,5,0,0,0,4,0,0,0,3,0,0,0,5
handbook-167,1,0,1,5,0,0,0,4,1,1,1,5,1,1,1,4
