id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,0,0.25,0.25,1,0,0.75,0.75,1,0,0.75,0.75,1,1,1.0,1.0
handbook-002,1,0,0.75,1.0,1,0,0.75,0.75,1,0,0.75,1.0,0,0,0.25,0.25
handbook-003,1,0,0.75,1.0,1,0,1.0,0.75,1,0,0.75,1.0,1,0,1.0,1.0
handbook-004,0,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-005,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-006,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75,1,0,1.0,1.0
handbook-007,0,0,0.25,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,1.0
handbook-008,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-009,1,0,0.5,0.5,1,0,0.75,0.75,1,0,0.75,0.75,1,0,0.75,0.75
handbook-010,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-011,1,0,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-012,1,1,1.0,1.0,1,1,0.75,1.0,0,0,0.25,0.25,1,0,0.5,0.5
handbook-013,0,0,0.0,0.5,1,0,0.75,1.0,1,0,0.75,0.75,0,0,0.25,0.75
handbook-014,1,0,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.75,0.75
handbook-015,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-016,1,1,1.0,1.0,1,1,1.0,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-017,0,0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,0.5
handbook-018,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-019,1,0,0.75,1.0,1,0,1.0,1.0,1,0,0.5,0.75,1,0,1.0,0.75
handbook-021,1,0,1.0,1.0,1,0,0.75,1.0,1,0,0.75,0.75,1,0,0.5,0.75
handbook-022,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-023,1,1,0.75,1.0,1,1,1.0,1.0,0,0,0.0,0.0,1,1,1.0,1.0
handbook-024,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,1.0,1.0
handbook-025,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-026,0,0,0.5,0.25,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-027,1,0,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-030,1,0,1.0,1.0,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.75,0.75
handbook-031,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-032,0,0,0.0,0.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.0,0.0
handbook-033,1,0,0.75,0.75,0,0,0.25,0.5,1,0,0.75,0.75,1,0,1.0,1.0
handbook-034,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-035,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-037,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0,1,0,0.5,0.75
handbook-038,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.25,0.5
handbook-039,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-045,0,0,0.0,0.25,1,1,1.0,1.0,1,1,0.75,0.75,0,0,0.25,0.5
handbook-046,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.25,0.0,1,0,1.0,0.75
handbook-047,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.0,0.25,1,0,1.0,1.0
handbook-048,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.75,0.75,1,0,1.0,1.0
handbook-049,1,0,1.0,1.0,1,0,0.75,0.75,1,0,0.75,0.75,1,0,0.75,0.75
handbook-051,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-052,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-053,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.25,0.5,1,1,1.0,1.0
handbook-054,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.0,0.25
handbook-055,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0,0,1,0.0,0.25
handbook-056,1,1,1.0,0.75,1,1,1.0,0.75,1,1,1.0,1.0,1,1,1.0,1.0
handbook-057,0,0,0.25,0.25,0,0,0.5,0.75,1,0,1.0,1.0,1,0,1.0,1.0
handbook-058,1,0,1.0,1.0,1,0,0.75,1.0,0,0,0.5,0.75,1,0,0.25,0.5
handbook-060,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-061,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75
handbook-062,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75
handbook-064,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-068,1,0,0.5,0.5,1,0,1.0,1.0,1,0,0.25,0.25,1,0,0.75,0.75
handbook-069,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-071,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.75,1.0
handbook-072,0,0,0.5,0.5,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,0.75
handbook-074,0,0,0.0,0.25,1,1,0.25,0.25,1,1,1.0,1.0,1,0,0.75,0.75
handbook-075,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-076,1,0,1.0,1.0,1,0,1.0,0.75,1,0,1.0,0.75,1,0,1.0,0.75
handbook-077,0,0,1.0,1.0,0,0,1.0,0.75,0,0,1.0,0.75,0,1,0.25,0.5
handbook-078,0,0,0.0,0.25,1,0,0.75,1.0,1,0,1.0,1.0,1,0,0.5,0.75
handbook-079,0,0,0.0,0.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-080,0,0,0.0,0.0,1,0,0.75,0.75,1,0,0.5,0.75,1,0,0.75,0.75
handbook-081,0,0,0.0,0.0,1,0,0.75,0.75,1,0,0.5,0.5,0,1,0.25,0.25
handbook-082,0,1,0.0,0.0,1,0,0.75,0.75,1,0,0.75,1.0,1,0,0.5,0.75
handbook-083,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-084,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.25,0.75
handbook-085,1,0,1.0,1.0,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.75,0.75
handbook-086,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.75,1.0,0,0,0.25,0.5
handbook-087,1,0,0.5,0.5,1,0,1.0,1.0,1,0,0.25,0.25,1,0,0.75,0.75
