ID	gpt	llama	azure
handbook-001	0.98	0.98	0.97
handbook-002	0.92	0.91	0.98
handbook-003	0.94	0.93	0.95
handbook-004	0.97	0.88	0.92
handbook-005	1.0	1.0	1.0
handbook-006	0.96	0.99	0.98
handbook-007	0.9	0.92	0.91
handbook-008	1.0	1.0	1.0
handbook-009	0.87	0.88	0.93
handbook-010	0.93	0.92	0.85
handbook-011	1.0	0.99	0.99
handbook-012	0.98	0.95	1.0
handbook-013	0.91	0.79	0.88
handbook-014	0.94	0.93	0.86
handbook-015	1.0	1.0	1.0
handbook-016	0.92	0.93	0.96
handbook-017	0.96	0.94	0.87
handbook-018	0.22	0.98	1.0
handbook-019	0.46	0.29	0.5
handbook-021	0.98	0.93	0.81
handbook-022	0.88	0.88	0.84
handbook-023	0.99	1.0	1.0
handbook-024	0.92	0.9	0.97
handbook-025	0.79	0.87	0.9
handbook-026	0.94	0.97	0.9
handbook-027	1.0	1.0	1.0
handbook-030	1.0	0.88	1.0
handbook-031	0.89	0.88	0.83
handbook-032	0.49	0.43	0.45
handbook-033	0.9	0.45	0.89
handbook-034	0.98	0.93	0.99
handbook-035	0.91	0.92	0.96
handbook-037	0.99	0.99	0.99
handbook-038	0.98	0.98	0.98
handbook-039	0.98	0.92	0.96
handbook-045	0.89	0.8	0.7
handbook-046	0.98	0.94	0.98
handbook-047	0.97	0.95	0.97
handbook-048	0.99	0.99	0.97
handbook-049	0.9	0.83	0.88
handbook-051	0.97	0.97	0.96
handbook-052	0.94	0.92	0.94
handbook-053	1.0	1.0	0.99
handbook-054	0.83	0.85	1.0
handbook-055	0.96	0.96	0.92
handbook-056	0.95	0.98	0.95
handbook-057	0.99	0.93	0.83
handbook-058	0.97	0.96	0.92
handbook-060	0.99	0.97	0.99
handbook-061	0.81	0.8	0.92
handbook-062	0.93	0.93	0.98
handbook-064	0.98	0.97	0.99
handbook-068	0.99	0.98	0.94
handbook-069	1.0	1.0	1.0
handbook-071	0.89	0.91	0.9
handbook-072	0.93	0.92	0.93
handbook-074	0.9	0.9	0.94
handbook-075	1.0	0.88	0.99
handbook-076	0.81	0.94	0.8
handbook-077	0.75	0.74	0.71
handbook-078	0.93	0.64	0.75
handbook-079	0.37	0.36	0.36
handbook-080	0.66	0.7	0.52
handbook-081	0.17	0.22	0.29
handbook-082	0.6	0.76	0.63
handbook-083	0.92	0.94	0.91
handbook-084	0.95	0.88	0.76
handbook-085	0.97	0.98	0.9
handbook-086	0.61	0.52	0.4
handbook-087	0.81	0.65	0.84
handbook-088	0.79	0.78	0.71
handbook-089	0.72	0.81	0.89
handbook-090	0.52	0.5	0.86
handbook-091	0.79	0.7	0.88
handbook-092	0.92	0.91	0.9
handbook-093	0.88	0.83	0.88
handbook-094	0.81	0.96	0.86
handbook-095	0.98	0.96	0.84
handbook-096	0.7	0.79	0.7
handbook-098	0.54	0.4	0.69
handbook-099	0.93	0.93	0.96
handbook-100	0.98	0.93	0.96
handbook-101	0.95	0.95	0.99
handbook-102	0.96	0.86	0.94
handbook-104	0.95	0.96	0.83
handbook-105	0.99	0.99	0.97
handbook-106	0.8	0.76	0.84
handbook-107	0.9	0.86	0.91
handbook-108	0.93	0.93	0.82
handbook-109	0.91	1.0	0.91
handbook-110	0.95	0.99	0.88
handbook-112	0.49	0.69	0.49
handbook-113	0.7	0.62	0.49
handbook-114	0.94	0.94	0.94
handbook-115	0.8	0.75	0.67
handbook-116	0.78	0.66	0.84
handbook-117	0.96	0.96	0.86
handbook-118	0.96	0.95	0.95
handbook-121	0.93	0.87	0.61
handbook-122	0.84	0.77	0.69
handbook-123	0.88	0.85	0.94
handbook-124	0.99	1.0	1.0
handbook-125	0.98	0.91	0.99
handbook-126	1.0	0.96	1.0
handbook-129	0.9	0.88	0.94
handbook-132	0.93	0.93	0.92
handbook-133	0.81	0.92	0.97
handbook-134	0.91	0.9	0.89
handbook-135	0.95	0.98	0.94
handbook-136	1.0	0.87	1.0
handbook-137	0.77	0.87	0.88
handbook-139	0.96	0.9	0.96
handbook-140	0.95	0.91	0.89
handbook-141	0.98	0.97	0.95
handbook-142	0.88	0.89	0.88
handbook-143	0.94	0.89	0.72
handbook-144	0.79	0.72	0.82
handbook-145	0.83	0.95	0.95
handbook-146	0.94	0.93	0.92
handbook-147	0.96	0.9	0.96
handbook-148	0.83	0.91	0.73
handbook-149	0.98	0.88	0.98
handbook-150	0.99	0.83	0.93
handbook-151	0.86	0.87	0.87
handbook-152	1.0	0.95	0.99
handbook-153	0.99	0.99	0.99
handbook-155	0.98	0.98	0.95
handbook-156	0.91	0.91	0.75
handbook-157	0.79	0.66	0.87
handbook-158	0.92	0.94	0.94
handbook-159	0.94	0.91	0.93
handbook-160	0.92	0.87	0.95
handbook-161	0.88	0.74	0.9
handbook-162	0.99	1.0	0.99
handbook-163	0.98	0.99	1.0
handbook-164	0.95	0.96	0.95
handbook-165	0.99	0.99	0.99
handbook-166	1.0	0.92	0.94
handbook-167	1.0	1.0	0.99
handbook-168	1.0	1.0	1.0
handbook-169	0.83	0.81	0.96
handbook-170	0.86	0.79	0.93
handbook-171	0.89	0.88	0.79
handbook-172	0.93	0.91	0.75
handbook-173	0.83	0.92	0.88
handbook-174	0.98	0.98	0.97
handbook-175	0.96	0.92	0.97
handbook-176	0.97	0.97	0.98
handbook-177	0.94	0.95	0.96
handbook-178	0.88	0.82	0.9
handbook-179	0.99	0.96	1.0
handbook-180	0.96	0.99	0.96
handbook-181	0.94	0.93	0.92
handbook-182	0.92	0.93	0.92
handbook-183	0.78	0.77	0.9
handbook-184	0.85	0.82	0.86
handbook-185	0.96	0.52	0.89
handbook-186	0.7	0.17	0.83
handbook-187	0.95	0.97	0.97
handbook-188	0.91	0.86	0.74
handbook-189	0.88	0.84	0.59
handbook-190	0.89	0.76	0.88
handbook-191	0.88	0.68	0.32
handbook-192	0.9	0.98	0.79
handbook-194	0.92	0.92	0.86
handbook-195	0.99	0.99	0.98
handbook-196	0.98	0.97	0.97
handbook-197	0.9	0.91	0.83
handbook-200	0.8	0.59	0.83
handbook-201	0.62	0.72	0.83
handbook-202	0.71	0.76	0.65
handbook-203	0.89	0.9	0.68
handbook-205	0.99	1.0	0.85
handbook-206	0.98	0.99	0.86
handbook-208	0.78	0.64	0.47
handbook-209	0.8	0.6	0.74
handbook-210	0.46	0.67	0.64
handbook-211	0.69	0.42	0.45
handbook-212	0.93	0.92	0.89
handbook-216	0.72	0.62	0.7
handbook-217	0.94	0.97	0.96
handbook-219	0.99	0.99	1.0
handbook-220	0.89	0.89	0.86
handbook-223	0.97	0.95	0.94
handbook-224	0.94	0.94	0.92
handbook-225	1.0	1.0	0.83
handbook-227	0.94	0.92	0.93
handbook-228	0.83	0.92	0.61
handbook-229	0.87	1.0	1.0
handbook-231	0.91	1.0	1.0
handbook-233	0.8	0.93	0.91
handbook-236	0.89	0.95	0.91
handbook-237	1.0	1.0	1.0
handbook-238	1.0	1.0	1.0
handbook-239	0.95	0.96	0.93
handbook-241	0.96	0.96	0.97
handbook-246	0.46	0.63	0.78
handbook-247	0.65	0.83	0.71
handbook-248	0.78	0.92	0.84
handbook-249	0.89	0.9	0.72
handbook-250	0.26	0.2	0.18
handbook-251	0.74	0.48	0.69
handbook-252	0.47	0.72	0.73
handbook-253	0.76	0.4	0.82
handbook-254	0.43	0.29	0.54
handbook-255	0.21	0.17	0.13
handbook-256	0.58	0.47	0.76
handbook-257	0.9	0.9	0.9
handbook-258	0.9	0.86	0.85
handbook-259	0.78	0.84	0.7
handbook-260	0.81	0.77	0.89
handbook-261	0.54	0.34	0.61
handbook-262	0.83	0.85	0.89
handbook-263	0.23	0.32	0.22
handbook-264	0.26	0.21	0.18
handbook-265	0.18	0.19	0.09
handbook-266	0.63	0.33	0.61
handbook-267	0.44	0.7	0.74
handbook-268	0.65	0.45	0.62
handbook-269	0.43	0.55	0.23
handbook-270	0.63	0.55	0.38
handbook-271	0.46	0.56	0.72
handbook-276	0.9	0.98	0.92
handbook-277	0.89	0.76	0.89
handbook-278	0.91	0.91	0.77
handbook-283	0.66	0.7	0.64
handbook-290	0.62	0.71	0.78
handbook-291	0.65	0.63	0.74
handbook-292	0.32	0.3	0.18
handbook-293	0.97	0.98	0.99
handbook-294	0.97	0.96	0.96
handbook-295	0.7	0.74	0.84
handbook-296	0.96	0.95	0.92
handbook-297	0.66	0.61	0.29
handbook-299	0.81	0.78	0.65
handbook-300	0.81	0.73	0.57
handbook-301	0.57	0.32	0.26
handbook-302	0.81	0.81	0.76
handbook-303	0.91	0.9	0.89
handbook-304	0.48	0.37	0.35
handbook-305	0.5	0.4	0.28
handbook-306	0.77	0.62	0.54
handbook-307	0.88	0.89	0.8
handbook-308	0.32	0.28	0.22
