ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-001	0.91	0.96	0.93	0.91	0.96	0.94	0.96	0.96	0.96
handbook-002	0.88	0.89	0.89	0.91	0.91	0.91	0.96	0.93	0.94
handbook-003	0.88	0.89	0.89	0.88	0.9	0.89	0.88	0.9	0.89
handbook-004	0.9	0.9	0.9	0.88	0.87	0.88	0.9	0.89	0.89
handbook-005	0.94	0.97	0.95	0.96	0.95	0.96	0.94	0.97	0.95
handbook-006	0.93	0.95	0.94	0.95	0.98	0.97	0.94	0.97	0.95
handbook-007	0.88	0.87	0.88	0.86	0.87	0.86	0.86	0.86	0.86
handbook-008	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99
handbook-009	0.94	0.93	0.93	0.92	0.92	0.92	0.95	0.93	0.94
handbook-010	0.9	0.9	0.9	0.9	0.91	0.9	0.9	0.91	0.91
handbook-011	0.97	0.96	0.96	0.96	0.96	0.96	0.96	0.96	0.96
handbook-012	0.94	0.93	0.94	0.93	0.92	0.93	0.98	0.97	0.97
handbook-013	0.88	0.91	0.89	0.89	0.92	0.91	0.91	0.93	0.92
handbook-014	0.93	0.88	0.9	0.92	0.88	0.9	0.91	0.88	0.89
handbook-015	0.97	0.97	0.97	0.97	0.97	0.97	0.9	0.93	0.92
handbook-016	0.92	0.93	0.92	0.94	0.95	0.94	0.95	0.94	0.94
handbook-017	0.89	0.92	0.91	0.89	0.92	0.91	0.89	0.91	0.9
handbook-018	0.82	0.87	0.84	0.88	0.89	0.88	0.88	0.89	0.89
handbook-019	0.88	0.91	0.9	0.86	0.9	0.88	0.91	0.91	0.91
handbook-021	0.9	0.88	0.89	0.9	0.88	0.89	0.89	0.87	0.88
handbook-022	0.93	0.9	0.92	0.93	0.89	0.91	0.9	0.86	0.88
handbook-023	0.96	0.98	0.97	0.94	0.96	0.95	0.98	0.97	0.97
handbook-024	0.91	0.92	0.92	0.91	0.92	0.92	0.94	0.95	0.94
handbook-025	0.93	0.94	0.94	0.93	0.94	0.93	0.92	0.93	0.93
handbook-026	0.94	0.9	0.92	0.94	0.91	0.93	0.92	0.9	0.91
handbook-027	0.95	0.97	0.96	0.95	0.97	0.96	0.95	0.95	0.95
handbook-030	0.97	0.98	0.97	0.93	0.91	0.92	0.95	0.95	0.95
handbook-031	0.9	0.92	0.91	0.91	0.92	0.91	0.92	0.92	0.92
handbook-032	0.89	0.91	0.9	0.89	0.91	0.9	0.84	0.85	0.85
handbook-033	0.92	0.92	0.92	0.9	0.9	0.9	0.91	0.91	0.91
handbook-034	0.95	0.96	0.95	0.91	0.92	0.92	0.96	0.98	0.97
handbook-035	0.91	0.91	0.91	0.92	0.92	0.92	0.93	0.93	0.93
handbook-037	0.94	0.96	0.95	0.97	0.97	0.97	0.94	0.94	0.94
handbook-038	0.94	0.92	0.93	0.94	0.94	0.94	0.91	0.9	0.9
handbook-039	0.89	0.85	0.87	0.91	0.85	0.88	0.9	0.9	0.9
handbook-045	0.87	0.87	0.87	0.87	0.87	0.87	0.87	0.86	0.87
handbook-046	0.86	0.88	0.87	0.87	0.85	0.86	0.9	0.87	0.89
handbook-047	0.91	0.92	0.92	0.9	0.9	0.9	0.91	0.92	0.92
handbook-048	0.93	0.91	0.92	0.94	0.91	0.92	0.91	0.87	0.89
handbook-049	0.91	0.91	0.91	0.89	0.89	0.89	0.91	0.91	0.91
handbook-051	0.9	0.93	0.91	0.9	0.93	0.91	0.9	0.93	0.91
handbook-052	0.93	0.94	0.93	0.92	0.93	0.93	0.92	0.93	0.92
handbook-053	0.97	0.97	0.97	0.97	0.97	0.97	0.96	0.95	0.96
handbook-054	0.86	0.85	0.86	0.85	0.83	0.84	0.87	0.85	0.86
handbook-055	0.92	0.9	0.91	0.88	0.88	0.88	0.92	0.9	0.91
handbook-056	0.92	0.91	0.91	0.91	0.91	0.91	0.93	0.92	0.92
handbook-057	0.97	0.94	0.96	0.95	0.93	0.94	0.91	0.9	0.91
handbook-058	0.95	0.94	0.95	0.95	0.93	0.94	0.95	0.94	0.94
handbook-060	0.95	0.91	0.93	0.94	0.92	0.93	0.93	0.92	0.92
handbook-061	0.92	0.88	0.9	0.92	0.88	0.9	0.92	0.88	0.9
handbook-062	0.92	0.94	0.93	0.92	0.93	0.93	0.9	0.92	0.91
handbook-064	0.93	0.92	0.92	0.91	0.91	0.91	0.93	0.92	0.92
handbook-068	0.93	0.94	0.94	0.93	0.93	0.93	0.91	0.92	0.91
handbook-069	0.96	0.92	0.94	0.96	0.93	0.94	0.97	0.93	0.95
handbook-071	0.9	0.9	0.9	0.91	0.91	0.91	0.91	0.91	0.91
handbook-072	0.92	0.94	0.93	0.91	0.93	0.92	0.92	0.93	0.92
handbook-074	0.94	0.93	0.94	0.92	0.93	0.92	0.94	0.94	0.94
handbook-075	0.93	0.92	0.92	0.89	0.86	0.87	0.9	0.89	0.9
handbook-076	0.89	0.84	0.86	0.9	0.85	0.87	0.89	0.84	0.86
handbook-077	0.9	0.89	0.9	0.92	0.89	0.91	0.93	0.89	0.91
handbook-078	0.91	0.88	0.9	0.88	0.87	0.87	0.89	0.87	0.88
handbook-079	0.9	0.84	0.87	0.89	0.84	0.87	0.9	0.84	0.87
handbook-080	0.89	0.89	0.89	0.89	0.9	0.9	0.89	0.89	0.89
handbook-081	0.87	0.89	0.88	0.88	0.9	0.89	0.87	0.9	0.88
handbook-082	0.84	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85
handbook-083	0.89	0.86	0.88	0.89	0.88	0.88	0.88	0.85	0.87
handbook-084	0.95	0.89	0.92	0.93	0.89	0.91	0.9	0.86	0.88
handbook-085	0.93	0.9	0.92	0.93	0.91	0.92	0.92	0.9	0.91
handbook-086	0.93	0.92	0.93	0.92	0.91	0.92	0.93	0.9	0.91
handbook-087	0.95	0.95	0.95	0.94	0.94	0.94	0.96	0.96	0.96
handbook-088	0.92	0.93	0.93	0.93	0.94	0.93	0.93	0.92	0.92
handbook-089	0.92	0.94	0.93	0.94	0.94	0.94	0.93	0.94	0.93
handbook-090	0.87	0.9	0.88	0.88	0.9	0.89	0.89	0.92	0.9
handbook-091	0.9	0.89	0.89	0.89	0.88	0.89	0.94	0.89	0.92
handbook-092	0.94	0.96	0.95	0.93	0.95	0.94	0.92	0.95	0.94
handbook-093	0.91	0.93	0.92	0.94	0.93	0.93	0.93	0.93	0.93
handbook-094	0.92	0.97	0.94	0.97	0.97	0.97	0.95	0.95	0.95
handbook-095	0.95	0.94	0.95	0.93	0.92	0.92	0.93	0.91	0.92
handbook-096	0.89	0.86	0.88	0.91	0.87	0.89	0.89	0.86	0.87
handbook-098	0.87	0.81	0.84	0.85	0.82	0.83	0.94	0.81	0.87
handbook-099	0.92	0.93	0.93	0.91	0.92	0.92	0.89	0.91	0.9
handbook-100	0.94	0.94	0.94	0.92	0.94	0.93	0.93	0.94	0.93
handbook-101	0.94	0.94	0.94	0.9	0.88	0.89	0.95	0.94	0.94
handbook-102	0.94	0.95	0.94	0.89	0.9	0.89	0.96	0.95	0.95
handbook-104	0.92	0.92	0.92	0.94	0.92	0.93	0.9	0.89	0.89
handbook-105	0.94	0.92	0.93	0.94	0.92	0.93	0.93	0.93	0.93
handbook-106	0.88	0.88	0.88	0.88	0.88	0.88	0.86	0.86	0.86
handbook-107	0.9	0.88	0.89	0.91	0.9	0.9	0.9	0.89	0.89
handbook-108	0.95	0.93	0.94	0.95	0.93	0.94	0.92	0.91	0.91
handbook-109	0.92	0.88	0.9	0.93	0.9	0.92	0.91	0.88	0.89
handbook-110	0.89	0.88	0.89	0.91	0.9	0.9	0.88	0.87	0.88
handbook-112	0.84	0.89	0.87	0.86	0.9	0.88	0.9	0.86	0.88
handbook-113	0.94	0.93	0.93	0.94	0.91	0.92	0.93	0.92	0.92
handbook-114	0.91	0.92	0.91	0.91	0.92	0.91	0.91	0.92	0.91
handbook-115	0.86	0.87	0.87	0.85	0.87	0.86	0.86	0.86	0.86
handbook-116	0.89	0.9	0.9	0.9	0.91	0.9	0.93	0.91	0.92
handbook-117	0.93	0.95	0.94	0.91	0.93	0.92	0.95	0.95	0.95
handbook-118	0.91	0.9	0.9	0.89	0.88	0.88	0.89	0.88	0.88
handbook-121	0.92	0.93	0.93	0.92	0.94	0.93	0.93	0.93	0.93
handbook-122	0.92	0.9	0.91	0.92	0.89	0.9	0.91	0.89	0.9
