id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-002,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,1.0
handbook-003,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-004,0,0,0.5,0.5,1,1,1.0,1.0,1,1,1.0,1.0,0,1,1.0,1.0
handbook-005,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-007,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-008,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-009,1,1,0.5,0.75,1,1,0.75,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-010,1,0,0.5,0.75,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-011,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,0.75,1,1,1.0,1.0
handbook-012,1,1,0.75,0.75,1,1,0.75,1.0,1,1,0.5,0.75,1,1,0.5,0.75
handbook-013,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.5,0.75
handbook-014,1,0,0.25,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.25,0.75
handbook-015,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-016,1,1,0.25,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-017,0,0,0.25,0.75,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-018,1,0,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-019,1,1,0.75,1.0,1,1,1.0,1.0,0,1,0.5,0.25,1,1,0.75,0.75
handbook-021,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0,1,1,0.5,1.0
handbook-022,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-023,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,0.5,1,1,0.75,1.0
handbook-024,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-025,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-026,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.5,0.75
handbook-027,1,1,0.25,0.5,1,1,0.5,0.75,1,1,0.75,1.0,1,1,1.0,1.0
handbook-030,1,1,1.0,1.0,1,0,0.5,0.75,1,0,0.5,0.75,1,0,0.5,0.75
handbook-031,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-032,1,0,0.25,0.5,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-033,0,1,0.5,0.75,0,1,0.25,0.75,0,1,0.25,0.75,0,1,0.25,0.75
handbook-034,1,1,0.75,1.0,1,1,1.0,1.0,1,0,1.0,1.0,1,1,1.0,1.0
handbook-035,1,0,0.5,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,1.0,1.0
handbook-037,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75,1,1,0.5,0.75
handbook-038,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-039,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-045,1,1,0.5,0.5,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.25,0.5
handbook-046,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,1.0,1,1,1.0,1.0
handbook-047,1,0,0.5,1.0,1,0,1.0,1.0,0,1,0.0,0.25,1,0,1.0,1.0
handbook-048,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-049,1,0,0.5,0.75,1,1,0.75,1.0,1,1,0.75,0.75,1,1,0.75,0.75
handbook-051,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-052,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75,1,0,0.75,0.75
handbook-053,1,0,0.5,0.75,1,1,1.0,1.0,1,1,0.25,0.5,1,1,0.75,1.0
handbook-054,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,1.0
handbook-055,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.25,1.0
handbook-056,1,1,0.5,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-057,1,0,0.75,1.0,1,0,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-058,1,1,1.0,1.0,1,1,0.75,1.0,1,0,0.25,0.5,1,0,0.25,0.75
handbook-060,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.75
handbook-061,1,1,1.0,0.75,1,1,1.0,1.0,0,1,0.0,0.25,1,1,0.5,0.75
handbook-062,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.0,0.5
handbook-064,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.75
handbook-068,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0
handbook-069,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,1.0
handbook-071,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.75,0.75
handbook-072,1,1,0.5,0.75,1,1,1.0,1.0,0,1,0.0,0.5,1,1,0.75,0.75
handbook-074,1,1,0.5,0.75,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-075,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-076,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-077,0,0,1.0,0.75,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.25,0.5
handbook-078,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0
handbook-079,0,0,0.0,0.0,1,1,0.75,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-080,0,1,0.0,0.25,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-081,0,1,0.0,0.0,1,1,0.75,1.0,0,1,0.0,0.25,1,1,0.25,0.5
handbook-082,0,1,0.25,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.5,0.75
handbook-083,1,0,0.5,0.75,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.75
handbook-084,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.0,0.5
handbook-085,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.5,0.75
handbook-086,1,1,0.75,0.75,1,1,0.5,0.75,1,1,0.75,1.0,1,0,0.25,0.5
handbook-087,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.25,0.5,1,1,1.0,1.0
handbook-088,0,1,0.5,1.0,1,1,0.75,0.75,1,0,0.75,0.75,1,1,0.75,1.0
handbook-089,1,1,1.0,1.0,0,1,0.5,0.75,1,1,1.0,1.0,1,1,0.75,1.0
handbook-090,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.25,0.75
handbook-091,0,1,0.0,0.0,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,1.0
handbook-092,1,1,1.0,1.0,1,1,1.0,1.0,0,1,0.0,0.25,1,1,1.0,1.0
handbook-093,0,1,0.25,0.5,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,0.75
handbook-094,1,1,0.25,1.0,1,1,1.0,1.0,1,1,0.5,1.0,1,1,0.75,1.0
handbook-095,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,0.75,1,1,0.5,0.75
handbook-096,1,0,0.75,0.75,1,0,1.0,1.0,1,0,0.25,0.5,1,0,0.5,0.75
handbook-098,0,0,0.25,0.5,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.75,1.0
handbook-099,1,1,1.0,1.0,1,1,0.25,0.75,1,1,0.75,1.0,1,1,1.0,1.0
handbook-100,1,1,1.0,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-101,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-102,0,0,0.5,0.25,1,0,0.75,0.75,1,0,0.75,1.0,1,0,0.5,0.75
handbook-104,0,0,0.25,0.75,1,1,1.0,1.0,1,1,1.0,0.75,0,0,0.25,0.5
handbook-105,0,0,0.0,0.0,1,1,0.75,1.0,0,1,0.0,0.5,1,1,0.75,1.0
handbook-106,0,1,0.0,1.0,1,0,0.5,0.5,1,1,1.0,1.0,1,1,1.0,1.0
handbook-107,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,0.5,1,1,1.0,0.75
handbook-108,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.25,0.5
handbook-109,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,1.0
handbook-110,1,1,0.75,1.0,1,1,1.0,1.0,1,0,0.25,0.25,1,1,1.0,1.0
handbook-112,1,1,0.5,0.75,1,1,0.75,0.75,1,1,0.75,1.0,0,1,0.25,0.75
handbook-113,0,0,0.5,0.5,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-114,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-115,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-116,1,1,0.75,0.75,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.75,0.75
handbook-117,1,1,0.75,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.5,0.75
handbook-118,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-121,0,1,0.25,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-122,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.75,1.0
handbook-123,1,1,0.75,1.0,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.5,1.0
handbook-124,1,1,1.0,1.0,0,1,0.5,0.5,1,1,0.75,0.75,1,1,1.0,1.0
handbook-125,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-126,1,1,0.5,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-129,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.25,0.5,1,1,0.5,0.75
handbook-132,1,1,0.75,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-133,1,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-134,0,1,0.5,0.75,1,1,1.0,1.0,1,1,1.0,1.0,0,0,0.5,0.75
handbook-135,1,1,0.75,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.5,0.75
handbook-136,1,1,0.5,0.75,1,1,1.0,1.0,1,1,0.5,0.75,1,1,0.75,1.0
handbook-137,1,1,0.25,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-139,0,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,0,0.5,0.5
handbook-140,1,1,0.25,0.75,1,1,1.0,1.0,1,1,0.75,1.0,1,1,0.5,0.75
handbook-141,1,1,0.75,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
