id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,1,1,0,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-002,0,1,0,4,0,1,1,5,0,0,0,2,1,0,1,2
handbook-003,0,1,0,4,0,0,0,5,0,1,0,4,0,0,1,5
handbook-004,0,0,0,5,1,1,0,4,1,0,0,2,1,0,1,5
handbook-005,0,0,0,5,0,0,0,5,1,1,1,3,0,0,0,5
handbook-006,1,0,1,4,1,0,1,5,1,1,0,5,0,1,0,2
handbook-007,0,0,0,3,1,0,1,2,0,0,0,1,0,1,1,5
handbook-008,1,1,1,4,1,0,0,5,1,1,0,4,1,1,0,5
handbook-009,1,1,1,5,1,0,0,3,0,1,1,4,0,1,0,1
handbook-010,0,1,0,4,0,0,1,5,1,0,0,3,1,1,0,5
handbook-011,1,0,1,4,1,1,0,4,1,0,0,3,1,0,0,5
handbook-012,1,0,1,5,1,1,0,5,1,1,0,5,1,1,0,5
handbook-013,1,1,0,5,1,0,0,3,1,1,0,4,0,1,0,5
handbook-014,0,0,0,2,0,1,0,4,0,1,1,5,0,1,1,4
handbook-015,1,0,0,3,1,1,0,4,1,1,0,4,1,1,1,5
handbook-016,1,1,1,5,0,0,0,1,1,1,0,2,1,0,0,1
handbook-017,0,1,0,2,1,0,1,4,1,1,1,5,0,0,1,3
handbook-018,1,1,1,5,1,0,1,4,1,0,0,3,0,0,0,5
handbook-019,0,1,1,5,1,1,0,2,0,0,0,1,0,1,0,2
handbook-021,0,0,0,5,1,0,1,5,1,0,1,5,1,1,1,5
handbook-022,1,1,1,5,0,1,0,1,0,1,0,1,1,0,0,4
handbook-023,0,1,0,3,1,1,0,3,0,1,1,5,0,1,1,5
handbook-024,1,0,0,5,1,1,0,2,1,1,0,4,1,1,1,5
handbook-025,0,1,1,5,1,0,1,4,0,1,1,4,1,0,0,3
handbook-026,0,0,0,1,1,1,1,5,1,1,0,3,0,0,0,3
handbook-027,1,0,1,1,1,1,0,2,1,1,1,4,1,1,1,4
handbook-030,1,0,1,5,0,1,0,3,1,0,1,5,1,0,0,5
handbook-031,1,1,0,5,1,1,1,3,1,0,0,2,0,1,1,5
handbook-032,1,0,0,3,1,1,1,5,1,0,0,1,1,0,0,1
handbook-033,1,1,0,5,0,1,0,3,0,0,0,1,0,1,1,5
handbook-034,1,0,1,4,1,1,0,4,1,1,1,5,1,0,0,2
handbook-035,1,1,0,3,1,1,1,4,1,1,1,4,1,1,1,5
handbook-037,1,1,1,4,1,1,1,4,1,0,0,5,1,1,0,3
