id	source_japanese	llama_english	llama_chinese	llama_vietnamese
question-01	あなたがその場にいなかったのは事実ですよね？	It is a fact that you were not at the scene, isn't it?	你当时不在场这是事实吧？	Sự thật là bạn không có mặt tại đó đúng không?
question-02	あなたの証言は矛盾していないのですか？	Doesn't your testimony contradict itself?	你的证言不矛盾吗？	Bản kê khai của bạn có mâu thuẫn không?
question-03	この行動が事前に計画されたものではないですか？	Was this action not planned in advance?	这项行动难道不是事先计划好的吗？	Đây có phải là hành động được lên kế hoạch từ trước không?
question-04	この裁判の手続きを知っていますよね？	Don't you know the procedure of this trial?	你们知道这个审判的诉讼程序吧？	Bạn có biết thủ tục xét xử của phiên tòa này không?
question-05	この事件の重要性は理解されていますよね？	Don't you understand the importance of this case?	这个事件的重要性是被理解的吧？	この事件の重要性は理解されていますよね → Importance của vụ việc này đã được hiểu đúng chưa?
question-06	この事実は重要であるということに異論はないですよね？	There is no disagreement that this fact is important, is there?	这个事实是重要的，这点上没有异议吧？	Sự thật này là quan trọng, không có ai phủ nhận điều này, đúng không?
question-07	この事実を無視することはできませんよね？	We can't ignore this fact, can we?	这个事实是无法被忽视的，对吧？	Không thể phớt lờ sự thật này được chứ?
question-08	この書類には無効な部分が含まれていないのでしょうか？	Does this document not contain any invalid parts?	この书面文件里是不是不包含任何无效的部分？	Tài liệu này có chứa đựng phần nào không hợp lệ không?
question-09	この証拠は確実ではないんですよね？	This piece of evidence isn't certain, is it?	这一证据不一定可靠，对吧？	Bằng chứng này chắc chắn không phải là như vậy chứ?
question-10	この証拠は本件と関係がないのではないですか？	Isn't this evidence irrelevant to the present case?	這個證據難道與本案無關嗎？	Chứng cứ này có không liên quan đến vụ việc này không?
question-11	この調査は十分に行われていなかったのではありませんか？	Haven't the investigations been conducted sufficiently?	这个调查难道不已经进行得很充分了吗？	この調査は十分に行われていなかったのではありませんか？ -> Cuộc điều tra này đã được tiến hành đầy đủ chứ không phải là không như vậy, phải không?
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	With this much evidence, can it be said that a reasonable doubt remains?	这样证据都有了，还能说有什么合理的疑虑吗？	Với những bằng chứng như vậy, thì có thể nói là còn sự ngờ vực hợp lý hay không?
question-13	その点については異論の余地がないですよね？	There is no room for argument on that point, is there?	在那一点上是没有异议的吧？	Về điểm đó thì không có gì phải tranh cãi nữa, đúng không?
question-14	その日に誰も彼を見かけなかったのではありませんか？	Wasn't it the case that nobody saw him on that day?	那天难道就没有人看见他吗？	Ngày đó có lẽ không ai thấy anh ấy cả, đúng không?
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Isn't that day's incident's details not unclear at all?	那么，那天发生的事情的详细情况不就有些不清楚吗？	Chi tiết về sự kiện ngày hôm đó không rõ ràng quá đúng không？
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	Why was a sufficient investigation not conducted, can that be reasonably explained?	为什么没有进行充分的调查，这样是可以合理地解释得了的吗？	Tại sao một cuộc điều tra đầy đủ đã không được tiến hành, liệu điều đó có thể được giải thích một cách hợp lý không？
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	If the defendant is really guilty, then why are there so many lingering questions about it?	如果被告真的有罪，为什么会留下这么多疑问呢？	Nếu bị cáo thật sự có tội thì tại sao lại còn nhiều điểm đáng ngờ như vậy?
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	If they are innocent, why would they try to hide evidence this much?	如果他是无辜的，那么为什么要这么做呢？	Nếu vô tội thì sao lại muốn che giấu bằng chứng đến vậy?
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	Is there any other basis for denying the existence of an accomplice?	还有其他否认共犯者存在的理由吗？	Có căn cứ khác để phủ định sự tồn tại của đồng phạm không？
question-20	証拠が正当に収集されたことを確認していますか？	Are you confirming that the evidence was properly collected?	您确定这些证据是合法获取的吗？	Bạn có xác nhận rằng bằng chứng đã được thu thập một cách hợp pháp không?
question-21	証拠を見れば、明らかに一致しますよね？	If you see the evidence, it will clearly match, won't it?	拿到证据不就一致了吗？	Khi xem bằng chứng, thì rõ ràng là phù hợp đúng không?
question-22	証拠資料は全て揃っているのですよね？	Is all the evidence in order, isn't it?	证据资料是不是全部都准备好了呢？	Chứng cứ đã được thu thập đầy đủ cả rồi phải không?
