ID	gpt	llama	azure	target_len	gpt_len	llama_len	azure_len
handbook-001	23.83	39.91	39.91	15	10	10	10
handbook-002	2.86	3.36	8.13	12	19	18	9
handbook-003	3.93	3.78	4.67	21	27	28	27
handbook-004	6.55	2.91	3.22	15	11	9	9
handbook-005	72.93	42.14	72.93	10	12	8	12
handbook-006	28.69	48.49	32.28	17	23	22	21
handbook-007	2.62	2.71	2.62	20	14	17	14
handbook-008	61.48	61.48	61.48	16	16	16	16
handbook-009	16.55	9.35	10.04	33	27	33	28
handbook-010	17.48	19.62	21.13	27	25	28	27
handbook-011	37.67	29.3	21.66	28	26	27	32
handbook-012	3.29	3.14	36.28	18	13	13	16
handbook-013	3.78	10.79	9.59	27	37	38	38
handbook-014	17.43	16.34	12.21	71	42	43	42
handbook-015	19.73	19.73	30.27	10	12	12	13
handbook-016	10.51	27.41	9.91	30	33	33	29
handbook-017	22.27	23.39	14.68	19	22	27	20
handbook-018	1.22	3.66	3.66	12	45	16	16
handbook-019	24.81	16.36	26.53	91	81	72	78
handbook-021	10.92	10.92	5.71	9	7	7	5
handbook-022	11.06	5.36	3.48	17	11	8	7
handbook-023	65.55	46.25	64.37	15	15	18	12
handbook-024	9.58	12.41	18.53	27	29	38	29
handbook-025	18.0	12.86	3.99	28	26	30	28
handbook-026	38.85	40.74	11.14	21	15	17	18
handbook-027	23.36	23.36	43.47	7	9	9	7
handbook-030	35.49	10.23	10.15	10	10	8	9
handbook-031	25.75	29.38	30.79	48	41	47	49
handbook-032	12.19	11.12	8.13	12	12	13	9
handbook-033	10.33	2.13	2.84	19	27	25	21
handbook-034	42.82	16.2	53.99	15	17	19	18
handbook-035	13.2	26.61	32.39	20	16	19	18
handbook-037	15.09	40.39	22.93	14	12	12	12
handbook-038	43.01	15.62	13.74	7	6	7	6
handbook-039	6.92	12.98	6.77	8	6	5	7
handbook-045	3.05	5.43	3.04	18	17	16	18
handbook-046	5.4	3.53	3.83	11	9	6	5
handbook-047	3.93	4.07	3.93	11	15	13	15
handbook-048	20.13	20.02	12.1	10	8	7	7
handbook-049	5.13	3.89	5.13	28	26	28	27
handbook-051	7.31	7.03	7.03	18	27	28	28
handbook-052	27.04	28.96	15.93	42	46	41	44
handbook-053	38.66	38.66	35.74	17	15	15	14
handbook-054	19.07	4.99	6.57	8	9	10	8
handbook-055	13.78	8.3	10.9	9	8	11	6
handbook-056	4.89	4.39	4.48	18	12	11	10
handbook-057	15.4	12.07	5.12	18	13	14	15
handbook-058	45.08	45.08	34.86	21	17	17	18
handbook-060	8.52	6.33	4.75	20	12	15	13
handbook-061	5.16	5.43	3.21	26	17	17	13
handbook-062	7.77	8.52	6.75	11	13	12	14
handbook-064	13.88	4.65	5.73	24	20	19	18
handbook-068	13.49	11.73	20.33	11	11	11	15
handbook-069	33.07	46.31	44.57	18	12	14	12
handbook-071	16.62	21.41	23.29	17	18	17	17
handbook-072	26.61	17.54	19.6	29	43	50	40
handbook-074	25.57	9.43	9.24	27	27	29	30
handbook-075	19.49	5.87	6.41	9	8	7	8
handbook-076	1.45	8.38	2.15	15	5	7	6
handbook-077	10.16	10.76	9.11	45	23	26	23
handbook-078	4.83	7.56	8.13	12	9	9	9
handbook-079	0.42	0.42	0.46	30	8	8	8
handbook-080	8.01	6.12	13.5	35	31	30	31
handbook-081	2.09	3.89	5.71	21	28	28	36
handbook-082	2.05	2.27	2.17	10	22	22	23
handbook-083	3.56	8.46	3.77	23	12	17	13
handbook-084	13.18	23.52	7.3	22	15	15	15
handbook-085	16.97	16.97	10.26	18	17	17	17
handbook-086	22.81	18.5	14.68	84	74	75	65
handbook-087	15.78	21.66	18.57	30	30	32	32
handbook-088	4.43	22.99	9.02	27	24	27	28
handbook-089	10.36	5.17	12.42	29	34	35	33
handbook-090	1.59	1.89	3.59	20	40	34	31
handbook-091	27.58	16.03	27.7	35	22	21	23
handbook-092	6.0	13.33	5.29	17	23	25	21
handbook-093	14.38	14.48	16.08	32	27	30	29
handbook-094	12.04	24.74	6.44	12	17	14	16
handbook-095	8.56	7.39	7.11	17	15	13	13
handbook-096	2.08	4.16	1.8	18	8	8	7
handbook-098	5.2	5.88	2.49	8	3	4	2
handbook-099	39.28	39.28	44.63	8	10	10	9
handbook-100	12.82	23.71	34.78	26	24	29	26
handbook-101	19.3	19.36	11.51	6	6	5	5
handbook-102	14.1	8.36	14.11	25	24	21	22
handbook-104	37.34	13.73	11.71	16	13	12	14
handbook-105	22.78	22.78	13.17	19	14	14	17
handbook-106	3.14	3.47	3.28	32	36	32	29
handbook-107	13.67	10.83	10.12	13	13	16	17
handbook-108	29.12	39.67	15.77	18	18	19	20
handbook-109	10.68	21.36	15.97	3	5	5	4
handbook-110	5.87	6.48	5.71	9	7	6	5
handbook-112	7.73	12.12	5.29	23	27	24	18
handbook-113	10.63	18.67	24.83	50	37	35	40
handbook-114	19.07	19.07	19.07	8	9	9	9
handbook-115	2.84	2.29	4.2	6	14	17	10
handbook-116	25.1	19.54	18.34	53	46	61	51
handbook-117	8.13	6.26	24.81	11	13	17	11
handbook-118	23.46	7.59	7.59	11	11	10	10
handbook-121	19.56	18.17	56.63	14	15	18	13
handbook-122	16.81	12.06	10.37	16	12	14	13
handbook-123	6.29	6.26	5.54	17	15	17	19
handbook-124	49.49	42.31	48.97	16	13	16	12
handbook-125	31.82	4.5	5.98	22	22	23	22
handbook-126	64.35	8.64	27.78	7	7	7	7
handbook-129	2.16	1.96	12.44	15	21	27	22
handbook-132	5.67	5.67	6.57	6	9	9	8
handbook-133	6.26	5.04	7.96	16	17	20	16
handbook-134	15.35	9.5	10.36	35	37	33	38
handbook-135	43.36	36.85	10.02	12	12	11	8
handbook-136	35.74	26.99	35.74	11	9	11	9
handbook-137	15.54	9.98	5.13	30	30	31	32
handbook-139	3.94	3.75	4.14	15	12	13	14
handbook-140	12.22	4.93	8.91	8	8	11	11
handbook-141	3.46	3.46	3.46	10	16	16	16
handbook-142	45.62	10.92	5.8	9	8	7	8
handbook-143	31.58	19.63	17.25	39	28	30	33
handbook-144	20.51	20.43	27.56	69	53	56	59
handbook-145	4.6	17.65	24.64	33	35	33	34
handbook-146	4.99	3.67	2.55	5	10	13	18
handbook-147	16.54	14.95	9.1	11	14	14	16
handbook-148	26.68	32.24	10.06	21	21	23	22
handbook-149	45.13	14.35	19.06	22	22	24	19
handbook-150	24.01	9.56	6.43	18	17	21	22
handbook-151	17.94	7.62	7.54	34	31	27	28
handbook-152	6.74	4.93	8.64	7	9	11	7
handbook-153	7.71	6.46	7.71	16	14	13	14
handbook-155	13.67	13.69	4.5	12	13	11	11
handbook-156	19.84	16.08	20.25	38	34	39	36
handbook-157	5.95	3.4	5.8	68	56	59	54
handbook-158	11.99	6.92	8.6	25	18	18	19
handbook-159	4.72	1.46	6.0	39	37	32	31
handbook-160	8.69	7.06	18.7	48	37	38	36
handbook-161	2.97	5.6	5.49	44	32	44	35
handbook-162	15.78	11.83	26.92	25	20	25	19
handbook-163	31.44	26.52	18.69	13	12	15	15
handbook-164	16.96	33.81	14.22	22	16	20	16
handbook-165	9.75	10.93	6.59	17	20	18	19
handbook-166	5.63	18.89	10.73	10	7	9	9
handbook-167	13.54	72.9	13.83	8	7	7	6
handbook-168	75.06	43.36	20.78	9	9	12	13
handbook-169	9.59	39.97	37.21	21	19	22	17
handbook-170	15.03	43.91	19.88	22	24	26	19
handbook-171	3.09	4.13	3.41	25	13	13	14
handbook-172	25.07	19.47	25.58	30	22	22	24
handbook-173	11.87	27.94	5.84	24	16	22	20
handbook-174	16.4	16.4	19.65	19	11	11	13
handbook-175	44.83	4.06	57.07	12	12	9	12
handbook-176	8.3	10.71	3.43	27	24	26	21
handbook-177	19.16	19.73	31.37	26	24	26	28
handbook-178	5.99	2.04	5.77	27	18	18	18
handbook-179	47.94	34.64	45.36	22	19	19	17
handbook-180	4.37	4.03	9.52	10	13	12	8
handbook-181	14.36	13.23	16.08	28	43	40	35
handbook-182	23.38	15.61	14.76	31	30	32	30
handbook-183	9.35	9.88	8.76	41	31	35	30
handbook-184	1.69	2.75	1.69	41	18	25	18
handbook-185	7.08	3.9	3.51	21	30	31	30
handbook-186	6.73	3.72	6.86	35	40	38	31
handbook-187	4.89	13.03	5.04	27	22	21	23
handbook-188	8.1	13.95	1.82	19	34	37	32
handbook-189	22.38	14.1	12.07	46	35	39	33
handbook-190	13.81	9.13	9.57	37	14	25	14
handbook-191	8.75	3.98	3.62	44	28	22	27
handbook-192	22.1	8.53	15.88	17	14	14	14
handbook-194	26.33	20.01	19.77	14	10	10	11
handbook-195	20.13	44.27	63.7	22	22	23	20
handbook-196	42.53	38.84	36.71	19	16	17	16
handbook-197	8.69	9.71	16.08	26	29	27	26
handbook-200	5.14	6.94	8.64	35	23	27	22
handbook-201	4.52	10.27	4.61	32	21	21	21
handbook-202	11.06	11.19	16.99	47	38	32	35
handbook-203	25.56	17.91	18.24	41	28	28	29
handbook-205	17.01	33.7	21.42	26	18	19	21
handbook-206	41.16	68.59	5.53	18	12	19	13
handbook-208	26.1	11.27	3.14	18	19	19	13
handbook-209	33.0	35.03	9.43	22	24	24	25
handbook-210	15.09	23.78	8.25	37	27	31	25
handbook-211	8.33	16.28	5.52	53	39	43	38
handbook-212	5.03	4.98	2.67	22	13	9	9
handbook-216	13.96	14.96	32.29	23	22	35	23
handbook-217	37.84	21.82	16.22	15	15	13	13
handbook-219	14.38	14.25	14.63	13	11	15	15
handbook-220	13.67	13.67	6.92	13	13	13	16
handbook-223	19.82	14.95	12.07	14	13	14	11
handbook-224	27.77	13.54	18.78	22	19	18	21
handbook-225	23.1	23.88	4.94	9	7	8	7
handbook-227	8.84	7.54	16.54	13	15	19	14
handbook-228	3.3	12.87	2.78	11	4	5	4
handbook-229	7.81	19.3	19.36	6	7	6	5
handbook-231	12.7	25.85	100.0	5	5	8	5
handbook-233	3.13	11.89	10.86	16	11	12	13
handbook-236	4.44	15.81	15.74	12	14	10	11
handbook-237	36.41	36.41	24.6	8	6	6	6
handbook-238	7.18	6.88	7.07	14	11	9	10
handbook-239	14.83	5.27	20.74	26	21	25	22
handbook-241	10.1	10.1	13.13	18	11	11	11
handbook-246	2.66	2.94	3.08	36	17	19	19
handbook-247	2.72	3.44	2.65	35	16	18	16
handbook-248	12.05	16.63	5.0	21	29	24	26
handbook-249	14.45	16.93	13.19	26	23	23	22
handbook-250	21.37	15.08	29.84	201	147	158	183
handbook-251	21.03	21.72	24.43	79	63	72	56
handbook-252	25.46	13.51	30.58	118	101	87	104
handbook-253	29.1	45.56	38.8	54	47	55	46
handbook-254	32.8	19.55	38.43	96	98	94	101
handbook-255	25.47	28.15	33.17	239	187	217	218
handbook-256	32.44	44.04	36.88	61	59	66	63
handbook-257	7.1	10.4	10.63	39	36	37	36
handbook-258	14.8	18.07	15.08	51	48	52	62
handbook-259	23.5	16.36	23.7	85	68	69	71
handbook-260	46.02	26.02	36.3	29	27	25	26
handbook-261	18.67	18.21	23.71	113	98	98	83
handbook-262	12.04	9.87	6.88	35	23	32	28
handbook-263	15.95	17.97	19.29	203	155	159	168
handbook-264	25.14	20.85	24.35	190	198	228	218
handbook-265	21.1	18.85	28.53	225	225	227	218
handbook-266	16.77	18.6	23.36	76	53	59	55
handbook-267	21.75	23.24	27.92	131	119	113	113
handbook-268	33.01	20.67	27.86	80	69	70	65
handbook-269	23.86	23.0	29.21	112	80	86	83
handbook-270	22.61	24.73	20.01	137	115	116	124
handbook-271	18.66	21.03	22.69	65	57	53	48
handbook-276	11.74	6.32	4.8	9	7	5	5
handbook-277	22.38	20.23	4.09	13	10	10	10
handbook-278	23.64	23.64	12.44	5	5	5	4
handbook-283	6.07	13.8	5.37	25	26	26	24
handbook-290	22.33	26.81	22.66	53	51	60	47
handbook-291	11.72	22.49	13.02	61	51	55	53
handbook-292	16.85	14.13	16.63	176	128	134	129
handbook-293	30.77	34.75	26.66	25	24	29	29
handbook-294	39.02	32.64	36.22	30	23	32	32
handbook-295	14.54	19.73	11.26	89	78	89	79
handbook-296	18.33	31.37	7.21	22	20	20	17
handbook-297	24.13	11.39	11.42	72	58	50	45
handbook-299	4.61	5.01	4.3	78	54	61	55
handbook-300	6.01	6.98	7.3	97	88	96	89
handbook-301	11.38	16.61	13.79	190	133	163	154
handbook-302	7.59	8.2	7.35	50	40	45	42
handbook-303	7.63	18.54	14.86	35	33	30	32
handbook-304	18.05	6.7	13.85	126	93	100	71
handbook-305	21.68	19.6	21.9	147	116	124	118
handbook-306	36.41	38.8	19.94	107	88	97	88
handbook-307	31.5	30.26	21.13	43	40	42	37
handbook-308	20.15	21.36	18.33	177	125	126	148
handbook-309	32.23	23.76	18.2	83	66	66	60
ALL	19.67	18.94	19.52	8571	7419	7778	7443
