id	source	translation_A	translation_B	translation_C	mapping
question-01	あなたがその場にいなかったのは事実ですよね？	你不在场是事实吧？	你当时不在场这是事实吧？	你确实不在那儿，对吧？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-02	あなたの証言は矛盾していないのですか？	你的证言不矛盾吗？	你的证词不是前后矛盾吗？	你的见证不是自相矛盾吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-03	この行動が事前に計画されたものではないですか？	这个行动不是预先计划好的吗？	这个行为不是事先计划好的吧？	这项行动难道不是事先计划好的吗？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-04	この裁判の手続きを知っていますよね？	你知道这次审判的程序，对吧？	您了解这个审判的程序吧？	你们知道这个审判的诉讼程序吧？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-05	この事件の重要性は理解されていますよね？	你理解这个事件的重要性，对吗？	这个案子的重要性是可以理解的，对吧？	这个事件的重要性是被理解的吧？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-06	この事実は重要であるということに異論はないですよね？	这个事实很重要，你没有异议吧？	这个事实是重要的，这点上没有异议吧？	这个事实很重要，这是无可争议的，对吧？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-07	この事実を無視することはできませんよね？	这个事实是不能忽视的，对吧？	你不能忽视这个事实，对吧？	这个事实是无法被忽视的，对吧？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-08	この書類には無効な部分が含まれていないのでしょうか？	この书面文件里是不是不包含任何无效的部分？	这份文件中不包含无效的部分吗？	本文档是否包含任何无效部分？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-09	この証拠は確実ではないんですよね？	这个证据不确凿，对吧？	这一证据不一定可靠，对吧？	这方面的证据并不确定，不是吗？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-10	この証拠は本件と関係がないのではないですか？	這個證據難道與本案無關嗎？	这个证据与本案没有关系吗？	这些证据不是与本案无关吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-11	この調査は十分に行われていなかったのではありませんか？	这个调查难道不已经进行得很充分了吗？	这个调查不是没有充分进行吗？	这项研究还不够吗？	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	有了所有这些证据，我们能说仍然存在合理的怀疑吗？	这样证据都有了，还能说有什么合理的疑虑吗？	在有这么多证据的情况下，还能说留下合理的怀疑吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-13	その点については異論の余地がないですよね？	这一点没有争议，对吧？	关于那一点没有异议，对吧？	在那一点上是没有异议的吧？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-14	その日に誰も彼を見かけなかったのではありませんか？	那天没有人见到他，不是吗？	那天难道就没有人看见他吗？	那天没人看到他吗？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	当天事件的细节是不是太不清楚了？	那么，那天发生的事情的详细情况不就有些不清楚吗？	关于那天的事情的详细情况不是太不清楚了吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
