id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-003,1,0,0.25,0.25,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.5,0.75
handbook-006,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75
handbook-014,1,0,1.0,0.75,1,0,1.0,1.0,1,0,1.0,1.0,0,0,0.0,0.25
handbook-016,1,1,0.25,0.75,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-023,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,0,0.75,0.75
handbook-031,0,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,0.75
handbook-033,1,0,0.75,1.0,1,0,1.0,1.0,1,0,0.75,0.75,1,0,1.0,1.0
handbook-035,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-047,0,1,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-049,0,0,0.25,0.5,1,1,0.75,1.0,1,1,0.5,0.75,1,1,1.0,1.0
handbook-051,0,0,0.25,0.5,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-052,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-053,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-064,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-072,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.75,1.0,1,1,0.75,1.0
handbook-085,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,1,0.25,0.75
handbook-100,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,0.75,1,1,1.0,1.0
handbook-101,1,0,0.25,0.5,1,1,1.0,1.0,1,1,0.75,0.75,1,1,0.75,0.25
handbook-104,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,1,1.0,1.0
handbook-105,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0
handbook-106,1,0,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-129,1,0,1.0,1.0,1,0,0.75,1.0,1,0,0.75,1.0,1,0,0.5,0.75
handbook-141,1,0,0.25,0.5,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-143,1,1,1.0,1.0,1,1,1.0,1.0,1,1,0.75,1.0,1,0,0.5,0.75
handbook-145,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-165,0,0,0.5,0.5,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-175,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-176,0,0,0.75,1.0,1,0,1.0,1.0,1,0,1.0,1.0,0,0,1.0,1.0
handbook-177,1,0,0.75,1.0,1,0,0.5,0.75,1,0,1.0,1.0,1,0,0.75,1.0
handbook-178,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0
handbook-179,1,1,0.5,0.75,1,1,0.75,1.0,1,0,0.25,0.5,1,1,1.0,1.0
handbook-181,0,1,0.75,0.75,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-182,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0,0,0,0.25,0.5
handbook-183,0,0,0.25,0.5,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-184,0,0,0.0,0.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-185,1,0,1.0,1.0,1,0,0.75,1.0,0,0,0.0,0.0,1,0,1.0,1.0
handbook-187,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-188,0,0,0.25,0.5,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0
handbook-189,1,0,1.0,0.75,1,0,1.0,1.0,1,0,0.75,1.0,1,0,0.75,0.75
handbook-190,0,0,0.25,0.75,1,0,1.0,1.0,1,0,0.75,1.0,1,0,1.0,1.0
handbook-191,1,0,0.75,1.0,1,0,0.75,1.0,1,0,0.5,0.75,0,0,0.0,0.0
handbook-231,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-291,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,0.75,1.0
handbook-293,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,1.0
handbook-294,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,1.0,1,0,1.0,0.75
