id	source_japanese	azure_english	azure_chinese	azure_vietnamese
question-01	あなたがその場にいなかったのは事実ですよね？	It's true that you weren't there, right?	你确实不在那儿，对吧？	Đúng là bạn không có ở đó, phải không?
question-02	あなたの証言は矛盾していないのですか？	Are your testimonies not contradictory?	你的见证不是自相矛盾吗？	Chứng ngôn của bạn không mâu thuẫn sao?
question-03	この行動が事前に計画されたものではないですか？	Isn't this action pre-planned?	这个行动不是预先计划好的吗？	Hành động này không phải đã được lên kế hoạch trước sao?
question-04	この裁判の手続きを知っていますよね？	You know the proceedings of this trial, right?	你知道这次审判的程序，对吧？	Bạn biết quá trình tố tụng của phiên tòa này, phải không?
question-05	この事件の重要性は理解されていますよね？	The importance of this case is understood, right?	这个案子的重要性是可以理解的，对吧？	Tầm quan trọng của trường hợp này đã được hiểu rõ, phải không?
question-06	この事実は重要であるということに異論はないですよね？	There's no disputing that this fact is important, right?	这个事实很重要，这是无可争议的，对吧？	Không có gì phải bàn cãi rằng thực tế này là quan trọng, phải không?
question-07	この事実を無視することはできませんよね？	You can't ignore this fact, right?	你不能忽视这个事实，对吧？	Bạn không thể bỏ qua thực tế này, phải không?
question-08	この書類には無効な部分が含まれていないのでしょうか？	Does this document contain any invalid parts?	本文档是否包含任何无效部分？	Tài liệu này có chứa bất kỳ phần không hợp lệ nào không?
question-09	この証拠は確実ではないんですよね？	The evidence for this is not certain, is it?	这方面的证据并不确定，不是吗？	Bằng chứng cho điều này không chắc chắn, phải không?
question-10	この証拠は本件と関係がないのではないですか？	Isn't this evidence irrelevant to this case?	这些证据不是与本案无关吗？	Bằng chứng này không liên quan đến trường hợp này sao?
question-11	この調査は十分に行われていなかったのではありませんか？	Wasn't this research done enough?	这项研究还不够吗？	Nghiên cứu này chưa được thực hiện đủ sao?
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	With all this evidence, can we say that there is still a reasonable doubt?	有了所有这些证据，我们能说仍然存在合理的怀疑吗？	Với tất cả những bằng chứng này, chúng ta có thể nói rằng vẫn còn một sự nghi ngờ hợp lý không?
question-13	その点については異論の余地がないですよね？	There's no disputing that, right?	这一点没有争议，对吧？	Không có gì phải bàn cãi về điều đó, phải không?
question-14	その日に誰も彼を見かけなかったのではありませんか？	Didn't anyone see him that day?	那天没人看到他吗？	Không ai nhìn thấy anh ấy vào ngày hôm đó sao?
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Aren't the details about the events of the day too unclear?	当天事件的细节是不是太不清楚了？	Chi tiết về các sự kiện trong ngày không quá rõ ràng sao?
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	Can that be a reasonable explanation why not enough research was done?	这是否可以合理地解释为什么没有进行足够的研究？	Đó có thể là một lời giải thích hợp lý tại sao không đủ nghiên cứu được thực hiện?
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	If the accused is indeed guilty, why are there so many questions left?	如果被告确实有罪，为什么还有这么多问题呢？	Nếu bị cáo thực sự có tội, tại sao lại còn nhiều câu hỏi như vậy?
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	If they are innocent, why would they go to such lengths to hide evidence?	如果他们是无辜的，为什么还要不惜一切代价隐藏证据呢？	Nếu họ vô tội, tại sao họ lại cố gắng che giấu bằng chứng?
