ID	gpt	llama	azure
handbook-001	0.98	0.98	0.97
handbook-002	0.96	0.95	0.98
handbook-003	0.95	0.91	0.95
handbook-004	0.96	0.99	0.93
handbook-005	1.0	1.0	1.0
handbook-006	1.0	1.0	0.98
handbook-007	0.95	0.88	0.9
handbook-008	1.0	1.0	1.0
handbook-009	0.91	0.84	0.92
handbook-010	0.93	0.93	0.83
handbook-011	1.0	0.99	0.99
handbook-012	0.98	0.84	0.98
handbook-013	0.9	0.77	0.9
handbook-014	0.96	0.89	0.77
handbook-015	1.0	1.0	1.0
handbook-016	0.95	0.89	0.98
handbook-017	0.91	0.96	0.8
handbook-018	0.87	0.98	1.0
handbook-019	0.49	0.32	0.52
handbook-021	0.99	0.95	0.81
handbook-022	0.84	0.83	0.77
handbook-023	0.98	1.0	1.0
handbook-024	0.91	0.96	0.97
handbook-025	0.91	0.88	0.9
handbook-026	0.92	0.91	0.9
handbook-027	0.99	0.99	0.99
handbook-030	0.99	0.96	1.0
handbook-031	0.92	0.84	0.85
handbook-032	0.57	0.4	0.34
handbook-033	0.94	0.36	0.86
handbook-034	0.95	0.94	0.98
handbook-035	0.92	0.94	0.96
handbook-037	0.94	0.98	0.98
handbook-038	0.99	0.98	0.99
handbook-039	0.98	0.9	0.97
handbook-045	0.88	0.83	0.69
handbook-046	0.97	0.98	0.97
handbook-047	0.92	0.96	0.97
handbook-048	0.96	0.95	0.97
handbook-049	0.89	0.89	0.83
handbook-051	0.97	0.96	0.97
handbook-052	0.96	0.98	0.95
handbook-053	0.99	0.97	0.97
handbook-054	1.0	0.96	1.0
handbook-055	0.97	0.99	0.92
handbook-056	0.96	0.95	0.95
handbook-057	0.99	0.93	0.77
handbook-058	0.99	0.92	0.9
handbook-060	0.93	0.98	0.95
handbook-061	0.79	0.93	0.9
handbook-062	0.91	0.93	0.96
handbook-064	0.97	0.97	0.98
handbook-068	0.97	0.94	0.94
handbook-069	0.99	1.0	1.0
handbook-071	0.82	0.89	0.79
handbook-072	0.97	0.94	0.94
handbook-074	0.92	0.71	0.92
handbook-075	0.97	0.87	0.98
handbook-076	0.87	0.87	0.82
handbook-077	0.57	0.74	0.53
handbook-078	0.83	0.46	0.71
handbook-079	0.41	0.33	0.4
handbook-080	0.67	0.72	0.44
handbook-081	0.25	0.26	0.25
handbook-082	0.86	0.42	0.4
handbook-083	0.94	0.8	0.9
handbook-084	0.95	0.89	0.74
handbook-085	0.98	0.97	0.92
handbook-086	0.73	0.58	0.4
handbook-087	0.77	0.88	0.79
handbook-088	0.97	0.95	0.66
handbook-089	0.96	0.92	0.86
handbook-090	0.64	0.67	0.72
handbook-091	0.85	0.7	0.89
handbook-092	0.93	0.93	0.9
handbook-093	0.86	0.87	0.88
handbook-094	0.82	0.75	0.84
handbook-095	0.99	0.94	0.87
handbook-096	0.74	0.76	0.67
handbook-098	0.38	0.46	0.5
handbook-099	0.88	0.95	0.94
handbook-100	0.96	0.95	0.96
handbook-101	0.96	0.96	0.99
handbook-102	0.97	0.72	0.93
handbook-104	0.88	0.97	0.83
handbook-105	0.98	0.97	0.96
handbook-106	0.94	0.9	0.85
handbook-107	0.84	0.8	0.88
handbook-108	0.87	0.81	0.76
handbook-109	0.84	1.0	0.93
handbook-110	0.93	0.98	0.87
handbook-112	0.6	0.63	0.55
handbook-113	0.58	0.65	0.47
handbook-114	0.96	0.92	0.94
handbook-115	0.86	0.9	0.7
handbook-116	0.68	0.59	0.79
handbook-117	0.93	0.96	0.87
handbook-118	0.93	0.94	0.94
handbook-121	0.8	0.95	0.67
handbook-122	0.81	0.92	0.69
handbook-123	0.9	0.92	0.93
handbook-124	1.0	0.99	1.0
handbook-125	0.93	0.96	0.97
handbook-126	1.0	1.0	1.0
handbook-129	0.85	0.67	0.9
handbook-132	0.92	0.92	0.92
handbook-133	0.96	0.96	0.95
handbook-134	0.93	0.93	0.88
handbook-135	0.99	0.99	0.94
handbook-136	1.0	0.99	1.0
handbook-137	0.8	0.84	0.83
handbook-139	0.95	0.9	0.95
handbook-140	0.97	0.89	0.93
handbook-141	0.97	0.96	0.95
handbook-142	0.88	0.87	0.75
handbook-143	0.94	0.94	0.77
handbook-144	0.68	0.88	0.72
handbook-145	0.87	0.95	0.95
handbook-146	0.94	0.84	0.87
handbook-147	0.95	0.96	0.96
handbook-148	0.9	0.96	0.72
handbook-149	0.99	0.99	0.98
handbook-150	0.97	0.95	0.86
handbook-151	0.9	0.8	0.86
handbook-152	1.0	0.98	0.99
handbook-153	0.99	0.99	1.0
handbook-155	0.98	0.98	0.95
handbook-156	0.93	0.86	0.71
handbook-157	0.84	0.85	0.81
handbook-158	0.95	0.94	0.93
handbook-159	0.94	0.91	0.92
