ID	gpt	llama	azure
question-01	1.0	1.0	1.0
question-02	0.99	0.94	1.0
question-03	0.99	0.97	1.0
question-04	1.0	0.85	1.0
question-05	0.99	0.89	0.99
question-06	1.0	1.0	1.0
question-07	1.0	1.0	1.0
question-08	1.0	0.99	0.99
question-09	1.0	0.98	0.99
question-10	1.0	1.0	1.0
question-11	1.0	0.98	0.96
question-12	0.99	0.99	0.98
question-13	0.98	0.98	0.99
question-14	0.99	0.97	1.0
question-15	0.98	0.77	1.0
question-16	1.0	1.0	1.0
question-17	1.0	0.98	0.99
question-18	0.98	1.0	1.0
question-19	1.0	1.0	1.0
question-20	0.99	0.99	1.0
question-21	0.99	0.95	1.0
question-22	0.95	0.87	0.99
question-23	0.96	0.87	0.96
question-24	0.99	1.0	1.0
question-25	0.96	1.0	1.0
question-26	0.9	0.91	0.99
question-27	1.0	1.0	1.0
question-28	1.0	1.0	1.0
question-29	1.0	1.0	1.0
question-30	0.96	0.96	0.89
question-31	0.98	0.97	0.95
question-32	0.91	0.97	0.98
question-33	1.0	0.99	0.99
question-34	0.98	0.98	0.99
question-35	1.0	0.94	0.99
question-36	1.0	1.0	1.0
question-37	1.0	0.89	1.0
question-38	0.98	0.99	0.97
question-39	1.0	1.0	1.0
question-40	1.0	1.0	1.0
question-41	0.99	1.0	1.0
question-42	1.0	0.97	0.97
question-43	0.97	0.98	0.98
question-44	1.0	0.97	0.99
question-45	0.96	0.98	0.99
question-46	0.97	0.92	0.96
question-47	0.98	0.99	0.98
question-48	0.94	0.97	0.94
question-49	1.0	1.0	1.0
question-50	1.0	1.0	1.0
ALL	0.98	0.97	0.99
