ID	target	gpt	llama	azure
handbook-001	0.98	1.0	1.0	0.95
handbook-002	0.6	0.88	0.75	0.56
handbook-003	0.9	0.98	0.82	0.94
handbook-004	0.96	0.98	0.99	0.98
handbook-005	0.95	0.97	0.97	0.99
handbook-006	0.97	0.96	0.93	0.93
handbook-007	0.84	0.88	0.91	0.9
handbook-008	0.95	0.95	0.97	0.86
handbook-009	0.85	0.82	0.81	0.71
handbook-010	0.9	0.92	0.91	0.89
handbook-011	0.98	0.91	0.81	0.67
handbook-012	0.94	0.94	0.95	0.79
handbook-013	0.94	0.9	0.8	0.53
handbook-014	0.79	0.88	0.65	0.41
handbook-015	0.96	0.96	0.95	0.95
handbook-016	0.77	0.84	0.74	0.91
handbook-017	0.8	0.76	0.87	0.91
handbook-018	0.93	0.39	0.85	0.99
handbook-019	0.78	0.85	0.75	0.53
handbook-021	0.99	1.0	1.0	1.0
handbook-022	0.98	0.96	0.86	0.96
handbook-023	0.98	0.98	0.96	0.93
handbook-024	0.88	0.91	0.91	0.8
handbook-025	0.83	0.76	0.71	0.81
handbook-026	0.97	1.0	1.0	0.98
handbook-027	0.91	0.88	0.88	0.92
handbook-030	0.91	0.98	0.98	0.99
handbook-031	0.74	0.83	0.63	0.9
handbook-032	0.67	0.75	0.88	0.84
handbook-033	0.92	0.93	0.9	0.95
handbook-034	0.86	0.81	0.92	0.8
handbook-035	0.81	0.76	0.72	0.54
handbook-037	0.94	0.9	0.95	0.95
handbook-038	0.88	0.91	0.99	0.94
handbook-039	0.99	0.99	1.0	0.92
handbook-045	0.89	0.98	0.96	0.78
handbook-046	0.98	0.98	0.98	0.98
handbook-047	0.96	0.95	0.82	0.98
handbook-048	0.97	0.99	0.98	0.97
handbook-049	0.85	0.94	0.92	0.9
handbook-051	0.95	0.94	0.95	0.96
handbook-052	0.85	0.77	0.69	0.89
handbook-053	0.91	0.91	0.79	0.96
handbook-054	0.92	0.83	0.88	0.99
handbook-055	0.95	0.94	0.94	0.92
handbook-056	0.96	0.95	0.98	0.94
handbook-057	0.96	0.85	0.93	0.97
handbook-058	0.81	0.9	0.93	0.97
handbook-060	0.97	0.96	0.97	0.7
handbook-061	0.95	0.94	0.88	0.83
handbook-062	0.96	0.98	0.98	0.89
handbook-064	0.77	0.8	0.87	0.77
handbook-068	0.89	0.94	0.94	0.91
handbook-069	0.98	1.0	1.0	0.97
handbook-071	0.87	0.85	0.89	0.88
handbook-072	0.83	0.92	0.9	0.77
handbook-074	0.76	0.82	0.87	0.8
handbook-075	1.0	1.0	0.99	0.97
handbook-076	0.99	1.0	0.99	0.91
handbook-077	0.71	0.84	0.7	0.49
handbook-078	0.93	0.8	0.97	0.92
handbook-079	0.87	0.97	0.81	0.98
handbook-080	0.79	0.63	0.61	0.51
handbook-081	0.69	0.75	0.7	0.54
handbook-082	0.83	0.84	0.86	0.62
handbook-083	0.89	0.93	0.86	0.9
handbook-084	0.97	0.96	0.94	0.82
handbook-085	0.84	0.82	0.83	0.81
handbook-086	0.9	0.81	0.89	0.59
handbook-087	0.8	0.84	0.93	0.6
handbook-088	0.88	0.9	0.93	0.61
handbook-089	0.8	0.94	0.89	0.61
handbook-090	0.82	0.72	0.8	0.41
handbook-091	0.95	0.98	0.97	0.93
handbook-092	0.89	0.89	0.9	0.66
handbook-093	0.89	0.9	0.92	0.87
handbook-094	0.86	0.96	0.96	0.79
handbook-095	0.84	0.85	0.93	0.87
handbook-096	0.69	0.86	0.82	0.71
handbook-098	0.71	0.83	0.97	0.79
handbook-099	0.91	0.92	0.85	0.87
handbook-100	0.89	0.87	0.86	0.91
handbook-101	0.98	0.98	0.98	0.93
handbook-102	0.88	0.78	0.84	0.93
handbook-104	0.95	0.97	0.95	0.88
handbook-105	0.86	0.96	0.96	0.96
handbook-106	0.78	0.86	0.71	0.88
handbook-107	0.79	0.92	0.93	0.76
handbook-108	0.67	0.81	0.85	0.67
handbook-109	0.99	0.99	0.99	0.98
handbook-110	0.99	0.97	0.98	0.98
handbook-112	0.77	0.72	0.87	0.67
handbook-113	0.75	0.84	0.71	0.75
handbook-114	0.99	0.99	0.99	1.0
handbook-115	0.9	0.89	0.97	0.94
handbook-116	0.8	0.88	0.77	0.69
handbook-117	0.94	0.96	0.97	0.75
handbook-118	0.99	0.99	0.89	1.0
handbook-121	0.84	0.96	0.97	0.98
handbook-122	0.92	0.85	0.96	0.96
handbook-123	0.93	0.84	0.99	0.93
handbook-124	0.98	0.99	0.94	0.95
handbook-125	0.83	0.87	0.84	0.93
handbook-126	0.95	0.98	0.95	0.94
handbook-129	0.7	0.88	0.76	0.83
handbook-132	1.0	1.0	0.99	1.0
handbook-133	0.86	0.87	0.84	0.94
handbook-134	0.87	0.96	0.76	0.85
handbook-135	0.98	0.97	0.98	0.97
handbook-136	0.81	0.92	0.86	0.9
handbook-137	0.79	0.81	0.91	0.54
handbook-139	0.92	0.86	0.87	1.0
handbook-140	0.98	0.98	0.97	0.98
handbook-141	0.91	0.82	0.97	0.95
handbook-142	0.83	0.97	0.98	0.98
handbook-143	0.8	0.93	0.83	0.72
handbook-144	0.81	0.69	0.76	0.61
handbook-145	0.89	0.92	0.87	0.85
handbook-146	0.96	0.93	0.94	0.72
handbook-147	0.95	0.95	0.95	0.99
handbook-148	0.89	0.86	0.73	0.55
handbook-149	0.91	0.95	0.82	0.97
handbook-150	0.9	0.93	0.93	0.82
handbook-151	0.9	0.87	0.69	0.7
handbook-152	0.95	0.95	0.86	0.94
handbook-153	0.88	0.98	0.98	0.95
handbook-155	0.98	0.96	0.95	0.98
handbook-156	0.88	0.82	0.77	0.82
handbook-157	0.69	0.84	0.79	0.72
handbook-158	0.94	0.93	0.94	0.95
handbook-159	0.9	0.91	0.97	0.88
handbook-160	0.92	0.99	0.94	0.94
handbook-161	0.77	0.93	0.81	0.84
handbook-162	0.9	0.96	0.95	0.89
handbook-163	0.93	0.88	0.83	0.93
handbook-164	1.0	0.97	0.99	0.87
handbook-165	0.98	1.0	0.97	0.99
handbook-166	0.9	0.89	0.89	0.89
handbook-167	0.91	0.9	0.97	0.98
handbook-168	0.9	0.98	0.99	0.98
handbook-169	0.95	1.0	0.99	0.94
handbook-170	0.98	0.88	0.92	0.82
handbook-171	0.95	0.8	0.96	0.9
handbook-172	0.96	0.96	0.92	0.79
handbook-173	0.94	0.95	0.94	0.88
handbook-174	0.95	0.86	0.79	0.84
handbook-175	0.81	0.97	0.88	0.85
handbook-176	0.92	0.87	0.91	0.77
handbook-177	0.88	0.91	0.94	0.88
handbook-178	0.84	0.94	0.88	0.88
handbook-179	0.91	0.84	0.96	0.95
handbook-180	0.99	1.0	0.99	0.97
handbook-181	0.96	0.93	0.9	0.88
handbook-182	0.91	0.87	0.81	0.89
handbook-183	0.79	0.91	0.9	0.73
handbook-184	0.69	0.85	0.84	0.71
handbook-185	0.68	0.92	0.83	0.46
handbook-186	0.85	0.76	0.76	0.47
handbook-187	0.96	0.97	0.7	0.79
handbook-188	0.88	0.88	0.53	0.61
handbook-189	0.87	0.83	0.89	0.71
handbook-190	0.96	0.97	0.91	0.98
handbook-191	0.78	0.94	0.65	0.55
handbook-192	0.99	1.0	1.0	0.75
handbook-194	0.96	1.0	0.99	0.95
handbook-195	1.0	1.0	1.0	0.99
handbook-196	1.0	1.0	0.99	0.98
handbook-197	0.87	0.89	0.69	0.5
handbook-200	0.6	0.83	0.72	0.5
handbook-201	0.53	0.8	0.53	0.67
handbook-202	0.43	0.75	0.72	0.48
handbook-203	0.72	0.67	0.73	0.64
handbook-205	0.95	0.97	0.92	0.94
handbook-206	0.88	0.88	0.78	0.62
handbook-208	0.86	0.94	0.89	0.7
handbook-209	0.81	0.83	0.87	0.67
handbook-210	0.69	0.79	0.72	0.56
handbook-211	0.79	0.87	0.87	0.63
handbook-212	0.77	0.98	0.85	0.8
handbook-216	0.94	0.94	0.92	0.68
handbook-217	0.72	0.61	0.75	0.56
handbook-219	0.99	0.99	1.0	0.99
handbook-220	0.91	0.87	0.94	0.88
handbook-223	1.0	0.98	0.9	0.88
handbook-224	0.87	0.92	0.92	0.82
handbook-225	0.97	0.93	0.97	0.9
handbook-227	0.99	0.99	0.77	0.73
handbook-228	1.0	0.93	1.0	0.85
handbook-229	0.98	0.99	0.99	0.99
handbook-231	0.98	0.95	0.99	0.99
handbook-233	0.93	0.94	0.93	0.89
handbook-236	1.0	1.0	1.0	0.9
handbook-237	1.0	1.0	1.0	1.0
handbook-238	0.96	0.91	0.88	0.95
handbook-239	0.97	0.97	0.98	0.7
handbook-241	1.0	1.0	1.0	0.9
handbook-246	0.75	0.92	0.89	0.7
handbook-247	0.79	0.89	0.79	0.75
handbook-248	0.9	0.95	0.92	0.85
handbook-249	0.96	0.95	0.77	0.78
handbook-250	0.3	0.42	0.21	0.1
handbook-251	0.8	0.6	0.49	0.35
handbook-252	0.66	0.46	0.69	0.28
handbook-253	0.78	0.78	0.59	0.54
handbook-254	0.48	0.56	0.73	0.24
handbook-255	0.31	0.57	0.63	0.1
handbook-256	0.86	0.79	0.86	0.7
handbook-257	0.82	0.95	0.94	0.83
handbook-258	0.68	0.81	0.7	0.63
handbook-259	0.76	0.85	0.77	0.51
handbook-260	0.62	0.87	0.88	0.87
handbook-261	0.45	0.51	0.58	0.42
handbook-262	0.5	0.82	0.68	0.88
handbook-263	0.53	0.55	0.45	0.16
handbook-264	0.41	0.65	0.3	0.19
handbook-265	0.4	0.47	0.35	0.15
handbook-266	0.64	0.65	0.77	0.15
handbook-267	0.82	0.75	0.63	0.5
handbook-268	0.83	0.75	0.81	0.55
handbook-269	0.62	0.5	0.57	0.15
handbook-270	0.8	0.85	0.48	0.24
handbook-271	0.57	0.53	0.61	0.26
handbook-276	0.96	0.97	0.9	0.88
handbook-277	0.91	0.85	0.9	0.79
handbook-278	0.98	0.97	0.9	0.83
handbook-283	0.9	0.95	0.92	0.69
handbook-290	0.87	0.87	0.78	0.61
handbook-291	0.88	0.85	0.89	0.57
handbook-292	0.53	0.67	0.53	0.17
handbook-293	0.73	0.71	0.82	0.63
handbook-294	0.89	0.76	0.97	0.88
handbook-295	0.47	0.47	0.5	0.34
handbook-296	0.94	0.87	0.94	0.85
handbook-297	0.56	0.56	0.42	0.44
handbook-299	0.55	0.69	0.45	0.56
handbook-300	0.56	0.58	0.62	0.51
handbook-301	0.5	0.45	0.42	0.24
handbook-302	0.44	0.6	0.76	0.61
handbook-303	0.54	0.9	0.86	0.86
handbook-304	0.76	0.6	0.4	0.2
handbook-305	0.43	0.38	0.37	0.27
handbook-306	0.6	0.75	0.68	0.33
handbook-307	0.9	0.95	0.92	0.84
handbook-308	0.4	0.55	0.49	0.2
handbook-309	0.65	0.85	0.8	0.29
ALL	0.84	0.87	0.84	0.77
