id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,1,1,1,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-002,0,1,0,5,1,1,1,5,1,1,0,5,1,1,1,5
handbook-003,1,1,1,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-004,0,0,0,5,1,1,1,5,1,1,1,5,1,0,1,5
handbook-005,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-006,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,4
handbook-007,1,1,1,4,1,1,1,5,0,1,0,4,1,1,1,5
handbook-008,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-009,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-010,1,1,1,5,0,0,0,5,1,1,1,5,1,1,1,5
handbook-011,1,1,1,5,1,1,0,5,1,1,0,5,1,1,1,5
handbook-012,1,1,1,5,0,0,0,5,1,1,1,5,0,0,0,5
handbook-013,1,1,1,5,1,1,1,4,1,1,1,4,1,1,1,5
handbook-014,0,0,0,4,1,1,0,3,1,1,1,5,1,1,1,5
handbook-015,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-016,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-017,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,5
handbook-018,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,5
handbook-019,1,1,1,5,1,1,1,5,0,0,0,3,0,1,0,5
handbook-021,0,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-022,1,1,1,5,0,0,0,3,0,0,0,2,1,1,1,5
handbook-023,0,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-024,1,1,1,5,0,1,0,5,1,1,1,5,1,1,1,5
handbook-025,1,1,1,5,0,0,0,4,1,1,1,5,1,1,0,4
handbook-026,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-027,1,0,1,5,1,1,0,5,1,1,1,5,1,1,0,5
handbook-030,0,1,1,5,1,1,0,5,1,1,0,5,1,1,1,5
handbook-031,1,1,1,5,1,1,1,5,1,0,0,4,1,0,1,5
handbook-032,1,1,0,5,1,1,0,5,0,0,0,3,1,1,0,4
handbook-033,1,1,1,5,1,1,1,5,0,1,0,1,1,1,1,5
handbook-034,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-035,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,5
handbook-037,1,1,1,5,1,1,0,5,1,0,0,5,1,1,1,5
handbook-038,0,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-039,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-045,1,1,1,5,0,0,0,5,0,1,0,5,1,1,1,5
handbook-046,1,1,1,5,1,1,0,5,1,1,1,5,1,1,1,5
handbook-047,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-048,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,5
handbook-049,1,0,0,5,1,1,1,5,1,1,1,5,0,1,0,4
