id	omission_target	addition_target	word_meaning_target	fluency_target	omission_gpt	addition_gpt	word_meaning_gpt	fluency_gpt	omission_llama	addition_llama	word_meaning_llama	fluency_llama	omission_azure	addition_azure	word_meaning_azure	fluency_azure
handbook-001	1	1	1	5	1	1	0	3	1	1	1	5	1	1	1	5
handbook-002	0	0	0	4	1	1	1	5	1	0	0	4	0	1	0	5
handbook-003	0	0	0	3	1	0	0	2	1	0	1	4	0	0	0	3
handbook-004	0	0	0	2	1	1	1	5	1	0	1	4	1	1	1	5
handbook-005	1	1	1	4	1	1	1	5	1	1	1	4	1	1	1	5
handbook-006	1	1	1	5	1	0	1	5	1	0	1	3	1	1	1	3
handbook-007	1	0	1	5	0	1	1	5	0	0	0	2	0	0	1	3
handbook-008	1	1	1	5	1	1	1	5	1	1	1	4	1	1	1	4
handbook-009	0	0	1	3	1	1	1	2	1	0	1	3	1	1	1	4
handbook-010	1	0	0	2	1	0	0	2	1	0	1	5	1	0	1	4
handbook-011	0	1	0	4	0	1	1	4	0	1	0	4	0	1	1	3
handbook-012	0	0	0	4	1	1	0	5	0	0	0	3	1	1	0	4
handbook-013	0	0	0	3	1	1	1	5	0	0	0	3	1	1	0	5
handbook-014	0	0	0	2	1	0	1	4	0	0	0	3	0	0	0	2
handbook-015	1	1	1	4	1	1	1	5	1	1	1	5	1	1	1	5
handbook-016	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	3
handbook-017	0	0	0	3	1	1	1	4	1	1	1	3	0	0	0	4
handbook-018	0	0	0	3	1	0	1	3	0	0	0	3	1	1	1	3
handbook-019	0	0	0	2	0	0	1	3	0	0	0	2	1	0	0	2
handbook-021	0	0	0	3	0	0	0	5	0	0	0	5	0	0	0	5
handbook-022	0	0	0	4	1	0	1	5	1	0	1	4	1	1	1	4
handbook-023	0	1	0	4	0	0	0	3	0	0	0	3	0	1	0	4
handbook-024	0	0	0	3	0	0	0	4	0	0	0	4	1	0	1	4
handbook-025	1	0	0	2	1	0	1	4	0	0	0	1	0	0	0	2
handbook-026	0	0	0	2	0	0	0	3	0	0	0	3	1	1	1	5
handbook-027	1	1	1	5	0	0	0	5	0	0	0	5	0	0	0	5
handbook-030	1	1	0	2	0	0	0	5	0	0	0	3	0	0	0	3
handbook-031	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2
handbook-032	0	0	0	5	1	0	0	5	0	0	0	2	0	0	0	1
handbook-033	0	0	0	3	0	1	1	4	0	0	0	3	0	0	0	3
handbook-034	1	0	0	2	1	0	0	2	0	0	0	3	1	0	0	2
handbook-035	0	0	0	3	1	1	1	4	1	1	1	4	1	1	1	4
handbook-037	1	0	0	4	1	0	0	3	1	0	0	3	1	0	0	3
handbook-038	1	1	1	4	1	1	1	4	1	1	1	4	0	0	0	3
handbook-039	1	1	1	5	1	1	1	4	1	1	1	5	0	0	0	3
handbook-045	0	0	0	2	1	0	0	3	0	0	0	2	1	0	0	2
handbook-046	0	0	0	4	1	1	1	4	0	1	0	5	0	0	0	4
handbook-047	0	0	0	3	1	0	0	4	0	0	0	3	1	0	0	3
handbook-048	0	0	0	4	1	1	1	5	1	1	0	4	0	0	0	3
handbook-049	0	0	0	3	0	0	0	2	1	1	1	3	0	0	0	2
handbook-051	0	0	0	4	1	1	1	3	1	1	1	3	1	0	1	3
handbook-052	0	0	0	3	1	1	1	4	0	0	1	2	1	1	1	3
handbook-053	1	1	1	4	1	1	1	5	0	0	0	3	0	1	1	4
handbook-054	1	0	0	3	1	0	0	4	1	0	0	3	1	0	0	3
handbook-055	0	0	0	5	0	0	0	5	0	0	0	4	0	0	0	5
handbook-056	0	0	0	4	0	0	0	3	0	0	0	3	0	0	0	3
handbook-057	0	0	0	3	0	1	0	3	0	0	0	3	0	0	0	3
handbook-058	1	0	0	4	1	1	1	5	0	0	0	3	0	0	0	3
handbook-060	0	0	0	3	0	0	0	2	0	0	0	3	0	0	0	3
handbook-061	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	3
handbook-062	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	2
handbook-064	0	0	0	3	0	0	0	4	0	0	0	3	0	0	0	4
handbook-068	1	0	0	4	1	0	0	4	1	0	0	4	1	0	0	4
handbook-069	1	0	0	4	1	1	1	5	0	1	0	5	0	1	0	5
handbook-071	0	0	0	3	1	0	0	4	1	1	1	5	0	0	0	2
handbook-072	0	0	0	3	0	0	0	4	0	1	1	5	0	1	0	3
handbook-074	0	0	0	3	1	1	1	4	0	1	0	4	0	1	0	4
handbook-075	0	0	0	5	0	0	0	5	0	0	0	3	0	0	0	5
handbook-076	0	0	0	3	0	0	0	3	0	0	0	3	1	1	1	5
handbook-077	1	0	0	2	0	1	0	3	0	0	0	2	0	1	0	2
handbook-078	0	0	0	4	1	1	1	5	0	0	0	2	0	0	0	2
handbook-079	0	0	0	4	0	1	0	4	0	0	0	4	0	1	0	5
handbook-080	0	0	0	3	0	0	0	2	0	0	0	2	0	0	0	2
handbook-081	0	0	0	4	0	0	0	3	0	1	1	4	0	1	1	4
handbook-082	0	0	0	4	1	0	1	4	0	0	0	3	0	0	0	3
handbook-083	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2
handbook-084	0	0	0	3	0	1	1	3	0	0	0	3	0	0	0	3
handbook-085	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	3
handbook-086	0	0	0	3	0	0	1	3	0	0	1	4	0	0	0	2
handbook-087	1	0	0	4	1	0	0	3	1	1	1	4	0	1	0	3
handbook-088	1	0	0	3	1	1	1	4	1	1	1	4	0	0	0	3
handbook-089	1	0	0	4	1	1	1	5	1	0	0	4	0	0	0	3
handbook-090	0	0	0	3	0	0	0	4	0	1	1	5	0	0	0	3
handbook-091	0	0	0	4	0	0	0	4	1	0	0	4	1	0	0	4
handbook-092	0	0	0	4	1	1	1	5	1	1	1	5	1	1	1	5
handbook-093	1	0	0	3	1	0	1	3	1	0	1	2	1	0	1	3
handbook-094	0	0	0	3	1	1	1	5	0	0	0	3	0	0	0	3
