ID	gpt	llama	azure
handbook-001	1.0	1.0	0.95
handbook-002	0.85	0.83	0.82
handbook-003	0.96	0.99	0.97
handbook-004	0.83	0.9	1.0
handbook-005	1.0	1.0	1.0
handbook-006	0.98	0.96	0.98
handbook-007	0.85	0.97	0.93
handbook-008	0.98	0.88	0.97
handbook-009	0.94	0.72	0.77
handbook-010	0.85	0.75	0.85
handbook-011	0.98	0.98	0.95
handbook-012	0.91	0.98	0.81
handbook-013	0.96	0.91	0.63
handbook-014	0.82	0.78	0.61
handbook-015	0.99	0.97	0.99
handbook-016	0.95	0.84	0.86
handbook-017	0.97	0.85	0.96
handbook-018	0.75	0.9	1.0
handbook-019	0.73	0.85	0.51
handbook-021	0.99	0.98	0.97
handbook-022	0.94	0.98	0.89
handbook-023	1.0	0.95	0.99
handbook-024	0.92	0.92	0.82
handbook-025	0.88	0.61	0.83
handbook-026	0.99	0.95	0.95
handbook-027	0.91	0.93	0.86
handbook-030	0.87	0.98	0.99
handbook-031	0.97	0.72	0.89
handbook-032	0.69	0.71	0.75
handbook-033	0.96	0.32	0.97
handbook-034	0.97	0.8	0.84
handbook-035	0.9	0.92	0.81
handbook-037	0.94	0.94	0.95
handbook-038	0.97	0.88	0.89
handbook-039	1.0	1.0	0.97
handbook-045	0.98	0.93	0.77
handbook-046	0.98	0.99	1.0
handbook-047	0.94	0.94	0.98
handbook-048	0.99	0.9	0.98
handbook-049	0.98	0.87	0.82
handbook-051	0.99	0.96	0.95
handbook-052	0.96	0.96	0.95
handbook-053	0.88	0.94	0.97
handbook-054	1.0	0.99	1.0
handbook-055	0.85	0.87	0.88
handbook-056	0.99	0.96	0.92
handbook-057	0.9	0.88	0.83
handbook-058	0.97	0.94	0.97
handbook-060	0.99	0.98	0.82
handbook-061	0.96	0.98	0.81
handbook-062	0.99	0.99	0.77
handbook-064	0.97	0.97	0.91
handbook-068	0.95	0.94	0.86
handbook-069	0.99	0.99	0.98
handbook-071	0.75	0.89	0.8
handbook-072	0.95	0.91	0.79
handbook-074	0.9	0.87	0.85
handbook-075	0.98	0.91	0.96
handbook-076	1.0	1.0	0.89
handbook-077	0.58	0.75	0.46
handbook-078	0.96	0.95	0.97
handbook-079	0.98	0.99	0.99
handbook-080	0.66	0.63	0.54
handbook-081	0.77	0.56	0.49
handbook-082	0.78	0.75	0.69
handbook-083	0.9	0.73	0.93
handbook-084	0.98	0.98	0.86
handbook-085	0.83	0.81	0.83
handbook-086	0.75	0.9	0.55
handbook-087	0.76	0.81	0.63
handbook-088	0.93	0.91	0.71
handbook-089	0.87	0.91	0.53
handbook-090	0.84	0.78	0.57
handbook-091	0.98	1.0	0.88
handbook-092	0.9	0.89	0.7
handbook-093	0.95	0.92	0.91
handbook-094	0.88	0.95	0.78
handbook-095	0.96	0.95	0.96
handbook-096	0.8	0.85	0.69
handbook-098	0.76	0.88	0.47
handbook-099	0.92	0.81	0.91
handbook-100	0.98	0.62	0.97
handbook-101	1.0	0.98	0.91
handbook-102	0.95	0.76	0.95
handbook-104	0.91	0.99	0.83
handbook-105	0.98	0.96	0.99
handbook-106	0.95	0.88	0.95
handbook-107	0.89	0.77	0.73
handbook-108	0.81	0.74	0.75
handbook-109	0.98	1.0	0.99
handbook-110	0.91	0.91	0.91
handbook-112	0.79	0.87	0.8
handbook-113	0.75	0.69	0.74
handbook-114	1.0	1.0	0.99
handbook-115	0.91	0.91	0.89
handbook-116	0.8	0.78	0.71
handbook-117	0.88	0.87	0.84
handbook-118	0.99	0.89	0.99
handbook-121	0.97	0.95	0.99
handbook-122	0.86	0.94	0.89
handbook-123	0.94	0.93	0.95
handbook-124	1.0	0.97	0.96
handbook-125	0.92	0.88	0.94
handbook-126	0.98	0.97	0.98
handbook-129	0.81	0.74	0.8
handbook-132	1.0	1.0	1.0
handbook-133	0.9	0.95	0.94
handbook-134	0.93	0.92	0.88
handbook-135	1.0	0.98	0.98
handbook-136	0.95	0.95	0.96
handbook-137	0.87	0.51	0.58
handbook-139	0.82	0.88	0.98
handbook-140	0.99	0.99	0.99
handbook-141	1.0	0.96	0.98
handbook-142	0.88	0.66	0.88
handbook-143	0.9	0.92	0.73
handbook-144	0.92	0.67	0.68
handbook-145	0.96	0.81	0.91
handbook-146	0.9	0.8	0.73
handbook-147	0.98	0.95	0.98
handbook-148	0.81	0.85	0.73
handbook-149	0.98	0.97	0.98
handbook-150	0.91	0.96	0.81
handbook-151	0.85	0.91	0.75
handbook-152	0.98	0.83	0.96
handbook-153	0.99	1.0	1.0
handbook-155	1.0	0.97	0.99
handbook-156	0.9	0.84	0.84
handbook-157	0.9	0.71	0.84
handbook-158	0.96	0.96	0.96
handbook-159	0.98	0.91	0.92
handbook-160	0.86	0.72	0.94
handbook-161	0.98	0.95	0.95
handbook-162	1.0	0.98	0.96
handbook-163	0.92	0.95	0.96
handbook-164	0.98	0.98	0.96
handbook-165	0.99	0.97	0.97
handbook-166	0.96	0.91	0.85
handbook-167	0.91	0.96	0.99
handbook-168	1.0	0.97	1.0
