ID	gpt_prec	gpt_rec	gpt_f1	llama_prec	llama_rec	llama_f1	azure_prec	azure_rec	azure_f1
handbook-001	0.97	0.95	0.96	0.97	0.95	0.96	0.9	0.88	0.89
handbook-002	0.91	0.88	0.89	0.95	0.92	0.93	0.84	0.74	0.78
handbook-003	0.84	0.88	0.86	0.75	0.82	0.79	0.86	0.86	0.86
handbook-004	0.84	0.84	0.84	0.81	0.75	0.78	0.86	0.81	0.83
handbook-005	0.97	0.93	0.95	0.87	0.89	0.88	0.82	0.84	0.83
handbook-006	0.95	0.91	0.93	0.93	0.9	0.91	0.9	0.85	0.88
handbook-007	0.79	0.79	0.79	0.73	0.72	0.72	0.75	0.79	0.77
handbook-008	0.86	0.79	0.82	0.89	0.89	0.89	0.78	0.74	0.76
handbook-009	0.85	0.85	0.85	0.84	0.83	0.84	0.79	0.82	0.8
handbook-010	0.84	0.85	0.84	0.78	0.82	0.8	0.85	0.87	0.86
handbook-011	0.92	0.88	0.9	0.87	0.84	0.85	0.89	0.88	0.89
handbook-012	0.9	0.9	0.9	0.91	0.91	0.91	0.9	0.89	0.9
handbook-013	0.91	0.92	0.92	0.86	0.86	0.86	0.86	0.88	0.87
handbook-014	0.85	0.84	0.85	0.87	0.86	0.86	0.82	0.81	0.82
handbook-015	0.94	0.97	0.96	0.87	0.92	0.89	0.91	0.89	0.9
handbook-016	0.88	0.88	0.88	0.81	0.83	0.82	0.77	0.79	0.78
handbook-017	0.75	0.79	0.77	0.73	0.75	0.74	0.78	0.77	0.77
handbook-018	0.59	0.73	0.65	0.78	0.75	0.77	0.8	0.76	0.78
handbook-019	0.88	0.85	0.86	0.89	0.88	0.88	0.81	0.77	0.79
handbook-021	0.65	0.7	0.68	0.62	0.64	0.63	0.65	0.65	0.65
handbook-022	0.78	0.76	0.77	0.72	0.73	0.72	0.7	0.69	0.69
handbook-023	0.92	0.87	0.9	0.89	0.82	0.86	0.89	0.81	0.85
handbook-024	0.9	0.88	0.89	0.88	0.87	0.87	0.82	0.81	0.82
handbook-025	0.88	0.87	0.88	0.8	0.84	0.82	0.78	0.81	0.79
handbook-026	0.93	0.9	0.91	0.9	0.87	0.89	0.8	0.81	0.8
handbook-027	0.89	0.87	0.88	0.85	0.85	0.85	0.83	0.83	0.83
handbook-030	0.78	0.81	0.8	0.74	0.81	0.77	0.81	0.87	0.84
handbook-031	0.92	0.9	0.91	0.9	0.9	0.9	0.82	0.83	0.83
handbook-032	0.72	0.74	0.73	0.8	0.8	0.8	0.71	0.71	0.71
handbook-033	0.88	0.89	0.88	0.76	0.75	0.76	0.81	0.79	0.8
handbook-034	0.79	0.83	0.81	0.8	0.82	0.81	0.73	0.76	0.74
handbook-035	0.91	0.92	0.92	0.93	0.92	0.93	0.88	0.87	0.87
handbook-037	0.87	0.89	0.88	0.86	0.89	0.87	0.79	0.81	0.8
handbook-038	0.86	0.78	0.82	0.81	0.79	0.8	0.72	0.71	0.71
handbook-039	0.9	0.8	0.85	0.94	0.86	0.9	0.79	0.77	0.78
handbook-045	0.84	0.89	0.86	0.82	0.87	0.84	0.82	0.85	0.84
handbook-046	0.92	0.98	0.95	0.84	0.8	0.82	0.85	0.87	0.86
handbook-047	0.85	0.87	0.86	0.83	0.84	0.83	0.76	0.82	0.79
handbook-048	0.95	0.95	0.95	0.97	0.97	0.97	0.9	0.92	0.91
handbook-049	0.84	0.84	0.84	0.87	0.83	0.85	0.77	0.75	0.76
handbook-051	0.92	0.9	0.91	0.9	0.9	0.9	0.91	0.9	0.9
handbook-052	0.88	0.86	0.87	0.83	0.84	0.84	0.81	0.8	0.8
handbook-053	0.94	0.94	0.94	0.79	0.82	0.8	0.85	0.83	0.84
handbook-054	0.8	0.93	0.86	0.75	0.89	0.81	0.76	0.8	0.78
handbook-055	0.69	0.75	0.72	0.69	0.75	0.72	0.74	0.79	0.76
handbook-056	0.87	0.91	0.89	0.76	0.81	0.78	0.8	0.86	0.83
handbook-057	0.91	0.83	0.87	0.79	0.79	0.79	0.88	0.86	0.87
handbook-058	0.79	0.78	0.78	0.74	0.7	0.72	0.76	0.78	0.77
handbook-060	0.92	0.86	0.89	0.92	0.85	0.89	0.79	0.72	0.75
handbook-061	0.86	0.82	0.84	0.87	0.82	0.84	0.81	0.72	0.76
handbook-062	0.94	0.93	0.94	0.94	0.88	0.91	0.8	0.78	0.79
handbook-064	0.88	0.86	0.87	0.89	0.88	0.89	0.8	0.8	0.8
handbook-068	0.77	0.84	0.81	0.76	0.81	0.78	0.69	0.71	0.7
handbook-069	0.86	0.79	0.82	0.91	0.91	0.91	0.86	0.74	0.8
handbook-071	0.73	0.75	0.74	0.81	0.84	0.83	0.7	0.73	0.72
handbook-072	0.86	0.88	0.87	0.87	0.89	0.88	0.8	0.78	0.79
handbook-074	0.87	0.86	0.87	0.87	0.9	0.89	0.8	0.81	0.81
handbook-075	0.79	0.77	0.78	0.71	0.7	0.71	0.74	0.71	0.73
handbook-076	0.88	0.94	0.91	0.73	0.74	0.74	0.64	0.74	0.68
handbook-077	0.89	0.9	0.89	0.91	0.88	0.9	0.77	0.73	0.75
handbook-078	0.69	0.83	0.75	0.7	0.79	0.74	0.78	0.81	0.8
