id,omission_A,addition_A,word_meaning_A,fluency_A,question_A,omission_B,addition_B,word_meaning_B,fluency_B,question_B,omission_C,addition_C,word_meaning_C,fluency_C,question_C
question-01,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-02,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.25,1,1,0.5,1.5,0.25
question-03,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-04,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-05,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5
question-06,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-07,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,0,1.0,2.0,0.5
question-08,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,1,1,1.0,2.0,0.5
question-09,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,1,1,0.75,1.0,0.25
question-10,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.5,1.5,0.25
question-11,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.25,1.5,0.0
question-12,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-13,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-14,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.25
question-15,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,1.0,2.0,0.5
question-16,1,0,0.75,2.0,0.5,1,0,1.0,2.0,0.5,1,0,1.0,2.0,0.5
question-17,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.5
question-18,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.25
question-19,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-20,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,1.0,2.0,0.5
question-21,1,1,1.0,1.5,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-22,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,1,1,0.5,1.5,0.5
question-23,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-24,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-25,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-26,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5
question-27,1,1,0.5,2.0,0.25,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-28,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-29,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,1,1,1.0,2.0,0.5
question-30,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,1,1,0.25,1.0,0.0
question-31,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.5
question-32,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-33,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.5
question-34,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.25,1,1,0.75,2.0,0.5
question-35,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.25,1,1,0.75,1.0,0.25
question-36,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-37,1,1,1.0,2.0,0.5,1,1,0.25,1.0,0.25,1,1,0.5,1.0,0.5
question-38,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5,0,0,0.0,0.0,0.0
question-39,1,1,0.5,2.0,0.5,1,1,0.25,1.5,0.0,1,1,0.25,1.5,0.5
question-40,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.5,1.5,0.0
question-41,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-42,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5
question-43,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,0.75,1.5,0.5
question-44,1,1,1.0,2.0,0.5,1,1,0.5,2.0,0.25,1,1,0.5,2.0,0.5
question-45,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,0,1,0.0,1.0,0.0
question-46,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-47,1,1,1.0,2.0,0.5,1,1,0.5,1.5,0.0,1,1,0.25,1.5,0.5
question-48,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
question-49,1,1,1.0,2.0,0.5,1,1,0.75,2.0,0.5,1,1,0.75,2.0,0.5
question-50,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5,1,1,1.0,2.0,0.5
