id	source_japanese	azure_english	azure_chinese	azure_vietnamese
handbook-001	私は、○○地方裁判所の裁判官です。	I am a judge of the XX District Court.	我是 XX 地区法院的法官。	Tôi là thẩm phán của Tòa án Quận XX.
handbook-002	検察官から勾留請求といって、引き続いてあなたを留置してほしいという請求がありました。	The prosecutor has requested that you be detained.	检察官已要求拘留您。	Công tố viên đã yêu cầu giam giữ bạn.
handbook-003	そこで、これからあなたを勾留するかどうかを決めるために、あなたに対して被疑事実を告げ、それに関するあなたの陳述を聴くことにします。	Therefore, in order to decide whether or not to detain you, I will tell you the allegations and listen to your statements about them.	因此，为了决定是否拘留您，我将告诉您这些指控并听取您的陈述。	Vì vậy, để quyết định có nên giam giữ bạn hay không, tôi sẽ cho bạn biết các cáo buộc và lắng nghe các tuyên bố của bạn về chúng.
handbook-004	その前にいくつかの注意及び説明をします。	Before that, a few notes and explanations.	在此之前，先做一些说明和解释。	Trước đó, một vài lưu ý và giải thích.
handbook-005	まず第一に、あなたには黙秘権があります。	First of all, you have the right to remain silent.	首先，您有权保持沉默。	Trước hết, bạn có quyền giữ im lặng.
handbook-006	私の質問に対し、始めから終わりまで黙っていてもいいし、個々の質問に対して答えを拒むこともできます。	You can remain silent about my questions from beginning to end, or you can refuse to answer individual questions.	你可以从头到尾对我的问题保持沉默，也可以拒绝回答个别问题。	Bạn có thể giữ im lặng về các câu hỏi của tôi từ đầu đến cuối, hoặc bạn có thể từ chối trả lời các câu hỏi riêng lẻ.
handbook-007	答えないからといって、それだけで不利益な扱いを受けることはありません。	Just because you don't answer doesn't mean you're going to be treated unfavorably.	仅仅因为你不回答并不意味着你会受到不利的对待。	Chỉ vì bạn không trả lời không có nghĩa là bạn sẽ bị đối xử bất lợi.
handbook-008	第二に、あなたは自分の費用で弁護人を選任する権利があります。	Secondly, you have the right to appoint a defense attorney at your own expense.	其次，您有权自费指定一名辩护律师。	Thứ hai, bạn có quyền chỉ định luật sư bào chữa bằng chi phí của mình.
handbook-009	弁護人を選任したいけれども、弁護人の心当たりがないという場合には、弁護士会を通じて選任する方法があります。	If you want to appoint a defense attorney but do not know a defense attorney, there is a way to appoint one through the bar association.	如果您想指定一名辩护律师但不认识辩护律师，有一种方法可以通过律师协会指定一名。	Nếu bạn muốn chỉ định luật sư bào chữa nhưng không biết luật sư bào chữa, có một cách để chỉ định một luật sư thông qua hiệp hội luật sư.
handbook-010	そのような申出があれば、裁判所から弁護士会に通知しますから、希望する場合は遠慮なく言ってください。	If there is such a request, the court will notify the bar association, so please do not hesitate to tell us if you wish.	如果有这样的要求，法院会通知律师协会，所以如果您愿意，请随时告诉我们。	Nếu có yêu cầu như vậy, tòa án sẽ thông báo cho đoàn luật sư, vì vậy vui lòng cho chúng tôi biết nếu bạn muốn.
