ID	gpt	llama	azure
question-01	0.99	1.0	1.0
question-02	0.85	0.89	0.95
question-03	1.0	1.0	0.98
question-04	0.96	1.0	0.99
question-05	0.87	0.91	0.95
question-06	0.94	1.0	0.98
question-07	1.0	1.0	1.0
question-08	0.95	0.97	0.98
question-09	1.0	0.86	1.0
question-10	1.0	0.97	0.98
question-11	0.94	0.76	0.95
question-12	0.79	0.78	0.79
question-13	0.99	0.99	1.0
question-14	0.97	0.99	1.0
question-15	0.98	0.87	0.85
question-16	0.98	1.0	0.81
question-17	0.99	1.0	0.99
question-18	1.0	1.0	1.0
question-19	0.97	0.97	0.96
question-20	1.0	1.0	1.0
question-21	0.84	0.78	0.9
question-22	1.0	1.0	1.0
question-23	0.91	0.92	0.8
question-24	1.0	0.88	1.0
question-25	0.93	1.0	1.0
question-26	0.98	0.99	0.99
question-27	1.0	0.82	1.0
question-28	0.99	0.98	1.0
question-29	0.98	0.82	1.0
question-30	0.9	0.87	0.59
question-31	0.79	0.78	0.79
question-32	0.98	0.97	0.96
question-33	1.0	0.94	1.0
question-34	0.97	0.94	0.94
question-35	0.96	0.99	0.89
question-36	0.98	0.98	0.8
question-37	0.98	0.69	1.0
question-38	0.82	0.9	0.73
question-39	0.66	0.68	0.77
question-40	1.0	1.0	1.0
question-41	1.0	1.0	1.0
question-42	1.0	0.96	0.98
question-43	1.0	0.78	0.79
question-44	0.66	0.99	0.84
question-45	0.89	0.72	0.84
question-46	0.93	0.78	0.98
question-47	0.74	0.81	0.94
question-48	0.89	0.93	0.89
question-49	0.91	0.8	0.93
question-50	1.0	1.0	0.98
ALL	0.94	0.91	0.93
