id	source	translation_A	translation_B	translation_C	translation_D	mapping
handbook-001	私は、○○地方裁判所の裁判官です。	我是○○地方法院的审判官。	我是○○地方法院的法官。	我是 XX 地区法院的法官。	我是○○地方法院的法官。	{'A': 'target', 'B': 'translation_gpt', 'C': 'translation_azure', 'D': 'translation_llama'}
handbook-002	検察官から勾留請求といって、引き続いてあなたを留置してほしいという請求がありました。	检察官提出拘留申请，即希望继续拘留你的要求。	检察官已要求拘留您。	检察官提出了拘留请求，要求继续拘留你。	检察官发出了拘留请求，他们希望继续扣留你。	{'A': 'target', 'B': 'translation_azure', 'C': 'translation_gpt', 'D': 'translation_llama'}
handbook-003	そこで、これからあなたを勾留するかどうかを決めるために、あなたに対して被疑事実を告げ、それに関するあなたの陳述を聴くことにします。	因此，为了决定是否拘留您，我将告诉您这些指控并听取您的陈述。	为了决定是否要拘留你，下面将告诉你嫌疑事实，并听取你的陈述。	因此，为了决定是否继续拘留您，我们将向您告知涉嫌事实，并听取您对此的陈述。	那么，就来决定是否对你进行拘留，对你说明有疑被告的事实，并且听取你对此的陈述。	{'A': 'translation_azure', 'B': 'target', 'C': 'translation_gpt', 'D': 'translation_llama'}
handbook-004	その前にいくつかの注意及び説明をします。	在此之前，有几个注意事项和说明。	在此之前，先做一些说明和解释。	在此之前，我将进行一些注意事项及说明。	在这之前，首先解释几个注意和说明事项。	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt', 'D': 'target'}
handbook-005	まず第一に、あなたには黙秘権があります。	首先，您有权保持沉默。	首先，你拥有沉默的权利。	首先第一，你有沉默权。	首先，你有沉默权。	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'target', 'D': 'translation_gpt'}
handbook-006	私の質問に対し、始めから終わりまで黙っていてもいいし、個々の質問に対して答えを拒むこともできます。	你可以从头到尾对我的问题保持沉默，也可以拒绝回答个别问题。	对于我的提问，你可以从头到尾保持沉默，也可以拒绝回答个别问题。	对我的询问，你从头到尾保持沉默也是可以的，对于个别问题你也可以拒绝回答。	对于我的提问，你既可以自始至终保持沉默，也可以拒绝回答其中的个别问题。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama', 'D': 'target'}
handbook-007	答えないからといって、それだけで不利益な扱いを受けることはありません。	不答なし于からといって、それだけで不利な扱いを受けることはありません。	仅仅因为你不回答并不意味着你会受到不利的对待。	但不会因为你没有回答问题，而对你有不利的待遇。	仅仅因为不回答，您不会因此受到不利待遇。	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'target', 'D': 'translation_gpt'}
handbook-008	第二に、あなたは自分の費用で弁護人を選任する権利があります。	第二，你有权利用自己的费用聘请律师。	其次，您有权自费指定一名辩护律师。	其次，你有权利自费选择辩护人。	第二，你有用自己的费用选任辩护人的权利。	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt', 'D': 'target'}
handbook-009	弁護人を選任したいけれども、弁護人の心当たりがないという場合には、弁護士会を通じて選任する方法があります。	如果您想指定一名辩护律师但不认识辩护律师，有一种方法可以通过律师协会指定一名。	如果您想委任辩护人但没有合适的人选，可以通过律师协会进行委任。	想要选择辩护人但是又没有合适的辩护人时，由律师协会推荐选择辩护人的途径也是存在的。	如果你想选任辩护人，却又没有认识的辩护人时，也可以通过律师会来选任。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama', 'D': 'target'}
handbook-010	そのような申出があれば、裁判所から弁護士会に通知しますから、希望する場合は遠慮なく言ってください。	如果你有这样的要求，将由法院来通知律师会。所以，假如你希望，请提出要求。	如果有这样的要求，法院会通知律师协会，所以如果您愿意，请随时告诉我们。	如果有这样的申请，法院会通知律师协会，所以如果你有需要，请不要犹豫。	如果有这样的请求，我们会从法院通知律师协会，请大家放心地说出你们的需求。	{'A': 'target', 'B': 'translation_azure', 'C': 'translation_gpt', 'D': 'translation_llama'}
handbook-011	あなたが経済的な理由などで自分の費用で弁護人を選任することができないときは、裁判官に弁護人の選任を請求することができます。	如果因为经济原因等无法自费指派辩护人，可以请求法官指派辩护人。	如果您由于经济原因等原因无法自费指定辩护律师，您可以要求法官指定辩护律师。	如果你出于经济等原因无法自费选任辩护人时，可以请求审判官为你选任辩护人。	你如果因经济原因等无法自费请律师辩护的时候，可以请求法官指定律师为你辩护。	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'target', 'D': 'translation_llama'}
handbook-012	この請求をする場合には、資力申告書を提出しなければなりません。	如果要提出此请求，必须提交财力申报书。	提出此申请时，必须提交资力声明书。	如果要提出此请求，则必须提交资源声明。	在提出此项请求时，必须提交资力申报表。	{'A': 'target', 'B': 'translation_llama', 'C': 'translation_azure', 'D': 'translation_gpt'}
handbook-013	また、資力申告書の資力の合計額が50万円以上の場合には、あらかじめ、○○弁護士会に弁護人の選任の申出をしていなければなりません。	同时，如果财力申报书的财力总额达到50万日元以上时，必须提前向○○律师会申请选任辩护人。	同时，如果资产申报表中的资产总额为50万日元以上，必须事先向○○律师协会申请任命辩护人。	而且，如果财产申告书上的财产总额超过50万円，则必须事先向○○律师协会提出辩护人任命申请。	此外，如果财务申报表中的资源总额为 500,000 日元或以上，您必须提前向 XX 律师协会申请指定辩护律师。	{'A': 'target', 'B': 'translation_gpt', 'C': 'translation_llama', 'D': 'translation_azure'}
handbook-014	あなたに、罪を犯したと疑うに足りる相当な理由があり、かつ、住居が不定であるか、証拠を隠滅したり逃亡したりすることを疑うに足りる相当な理由がある場合には、勾留されることになるかもしれません。	如果有足够的理由怀疑您犯了罪，并且由于您住址不定或有足够理由怀疑您会隐匿证据或逃跑，您可能会被拘留。	如果您有合理的理由怀疑您犯了罪，并且您有合理的理由怀疑您有无限期居留权或您将销毁证据或逃跑，您可能会被拘留。	在有相当理由足以怀疑你犯了罪，并且没有固定的住址时，或者有相当理由足以怀疑你可能隐灭证据或逃跑时，你也许会被拘留。	如有相当理由怀疑你犯有罪行，并且你没有固定住所，或者有充分理由怀疑你会销毁证据或者逃跑，在这种情况下，你可能会被拘留。	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'target', 'D': 'translation_llama'}
handbook-015	勾留される期間は、原則として10日間です。	拘留的期间原则上是10天。	拘留期间原则上为10天。	拘留期限一般为 10 天。	被勾留的期间，原则上是10天。	{'A': 'translation_gpt', 'B': 'target', 'C': 'translation_azure', 'D': 'translation_llama'}
handbook-016	しかし、場合によっては、10日たつ前に釈放されることもありますし、更に10日以内の日数勾留が延長されることもあります。	但是，视情况而定，有时在10天结束之前就会释放，有时也会在10天之内延长拘留天数。	但是根据情况，有可能不到10天就会被释放，也有可能再延长10天以内的拘留期间。	然而，根据情况，可能会在10天之前被释放，也可能会将拘留延长至10天以内的天数。	但是，在某些情况下，他们可能会在 10 天结束之前被释放，或者他们的拘留可能会延长至 10 天。	{'A': 'translation_llama', 'B': 'target', 'C': 'translation_gpt', 'D': 'translation_azure'}
handbook-017	それでは、勾留請求の理由となっている犯罪事実を読むのでよく聞いてください。	现在，请仔细聆听作为拘留请求理由的刑事事实。	那么，请仔细听我将要朗读的成为拘留请求理由的犯罪事实。	现在请仔细聆听，那么开始读出构成拘留申请理由的犯罪事实。	现在我念申请拘留理由的犯罪事实，你先好好地听。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama', 'D': 'target'}
handbook-018	その後で、これに対して言いたいことがあったら述べてください。	请把以下日文翻译成中文（简体字）。避免意译，不要增减词语，逐字翻译。回答必须是一行。然后，如果你对此有话要说，请说明。	之后，如果你有话要说，请说出来。	其後，如有意見請發表。	然后对此你如有什么要说的，可以提出来。	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama', 'D': 'target'}
handbook-019	被疑者は、平成○○年10月10日午後6時50分ころ、○○市丸山町1番1号所在の株式会社甲百貨店(代表取締役甲野太郎)本店3階貴金属売場において、同社所有のダイヤモンド指輪1個(時価300万円相当)を自己の背広の内側ポケットに入れて窃取したものである。	“嫌疑人于O0年10月10日下午6时50分左右，在位于○○市丸山町1番1号的股份有限公司甲百货公司(甲野太郎总经理)总店3层贵金属柜台，将该公司所有的钻石戒指1个(时价相当于300万日元)装进自己的西装内侧口袋里，从而将之窃取。”	2010 年 10 月 10 日下午 6 点 50 分左右，嫌疑人在位于 XX 市丸山町 1-1 的 Ko Department Store Co.， Ltd.（代表董事河野太郎）总公司总部 3 楼贵金属区的夹克内袋中偷走了一枚公司拥有的钻戒（价值 300 万日元）。	被告于平成○○年10月10日下午6点50分左右，在○○市丸山町1番1号所在的株式会社甲百货店（代表董事甲野太郎）总店3楼贵金属卖场，将该公司所有的一个价值约300万日元的钻石戒指放入自己西装内侧口袋窃取。	被疑者於平成○○年10月10日下午6時50分左右，在位于○○市丸山町1番1号的株式会社甲百货店（代表董事长甲野太郎）总店3楼贵金属卖场中，将同社所有的钻石婚戒1个（价值约300万日元）放入其西装的里面口袋中窃取。	{'A': 'target', 'B': 'translation_azure', 'C': 'translation_gpt', 'D': 'translation_llama'}
handbook-021	身に覚えがありません。	我不记得了。	我不记得有这样的事。	我没有印象。	这不是事实。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama', 'D': 'target'}
handbook-022	検察庁で述べたとおりです。	与检察院陈述相同。	正如我在检察院所述。	正如检察官办公室所说。	和在检察院陈述的一样。	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure', 'D': 'target'}
handbook-023	あなたが勾留されることになった場合には、裁判所から弁護人あてにその旨を通知します。	如果您被拘留，法院会通知您的律师。	如果你被拘留的话，法院将会通知你的辩护律师相关情况。	你如果被拘留的话，法院将把该事实通知你的辩护人。	如果您被拘留，法院会将此事通知辩护人。	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'target', 'D': 'translation_gpt'}
handbook-024	弁護人がない場合には、国内にいるあなたの配偶者、親兄弟等のうち、あなたが指定する1人に通知します。	如果您没有法律顾问，我们将通知您在日本指定的配偶、父母、兄弟姐妹等之一。	如果没有辩护人，将通知您指定的在国内的配偶者、父母兄弟等中的一人。	如果没有辩护人，则通知你在日本的配偶，父母兄弟姐妹等当中你所指定的一个人。	如果没有辩护律师的话，国内的你的配偶者、父母兄弟姐妹等中，你指定的1人会被通知。	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'target', 'D': 'translation_llama'}
