ID	target	gpt	llama	azure
handbook-001	0.99	0.99	0.99	0.98
handbook-002	0.89	0.97	0.93	0.97
handbook-003	0.91	0.99	1.0	0.99
handbook-004	0.94	0.94	0.98	0.93
handbook-005	1.0	1.0	1.0	1.0
handbook-006	1.0	0.99	0.98	0.99
handbook-007	0.94	0.99	0.95	0.97
handbook-008	0.98	0.98	0.99	0.99
handbook-009	0.88	0.92	0.94	0.95
handbook-010	0.8	0.98	0.96	0.96
handbook-011	0.98	0.99	0.99	0.96
handbook-012	0.98	1.0	0.89	0.99
handbook-013	0.67	0.88	0.83	0.93
handbook-014	0.91	0.97	0.96	0.87
handbook-015	1.0	1.0	1.0	1.0
handbook-016	0.94	0.98	0.95	0.98
handbook-017	0.79	0.97	0.97	0.88
handbook-018	0.98	0.89	0.98	1.0
handbook-019	0.35	0.52	0.31	0.55
handbook-021	0.89	0.99	1.0	0.99
handbook-022	0.75	0.9	0.92	0.92
handbook-023	1.0	0.99	1.0	1.0
handbook-024	0.98	0.94	0.96	0.99
handbook-025	0.94	0.93	0.91	0.94
handbook-026	0.72	0.99	0.99	0.99
handbook-027	0.99	0.99	1.0	1.0
handbook-030	1.0	0.97	0.98	1.0
handbook-031	0.83	0.93	0.83	0.82
handbook-032	0.3	0.37	0.59	0.68
handbook-033	0.94	0.99	0.73	0.89
handbook-034	0.97	0.93	0.92	0.95
handbook-035	0.79	0.93	0.97	0.95
handbook-037	0.93	0.9	0.97	0.96
handbook-038	0.95	0.97	0.97	0.98
handbook-039	0.97	0.98	0.95	0.99
handbook-045	0.89	0.95	0.84	0.76
handbook-046	0.92	0.99	0.99	0.99
handbook-047	0.93	0.98	0.96	1.0
handbook-048	0.98	0.97	0.97	0.98
handbook-049	0.87	0.95	0.95	0.92
handbook-051	0.93	0.98	0.99	1.0
handbook-052	0.9	0.97	0.97	0.96
handbook-053	0.97	0.99	0.99	0.95
handbook-054	1.0	1.0	0.97	1.0
handbook-055	0.89	0.97	1.0	0.97
handbook-056	0.97	0.97	0.95	0.97
handbook-057	0.94	0.98	0.97	0.9
handbook-058	0.95	1.0	0.88	0.93
handbook-060	0.95	0.87	1.0	0.83
handbook-061	0.89	0.87	1.0	0.81
handbook-062	0.92	0.89	0.92	0.88
handbook-064	0.89	0.99	0.96	0.99
handbook-068	0.87	0.95	0.9	0.91
handbook-069	1.0	1.0	1.0	1.0
handbook-071	0.75	0.8	0.92	0.82
handbook-072	0.93	0.95	0.91	0.96
handbook-074	0.8	0.92	0.82	0.92
handbook-075	0.96	0.95	0.94	0.97
handbook-076	0.78	0.95	0.95	0.99
handbook-077	0.3	0.82	0.85	0.67
handbook-078	0.72	0.93	0.72	0.84
handbook-079	0.27	1.0	0.88	1.0
handbook-080	0.39	0.8	0.9	0.61
handbook-081	0.23	0.84	0.79	0.66
handbook-082	0.47	0.92	0.71	0.87
handbook-083	0.88	0.95	0.86	0.97
handbook-084	0.84	0.95	0.93	0.84
handbook-085	0.91	0.99	0.96	0.97
handbook-086	0.56	0.81	0.62	0.36
handbook-087	0.79	0.8	0.84	0.8
handbook-088	0.91	0.93	0.93	0.77
handbook-089	0.89	0.93	0.92	0.81
handbook-090	0.88	0.72	0.91	0.82
handbook-091	0.54	0.86	0.82	0.96
handbook-092	0.69	0.9	0.91	0.82
handbook-093	0.92	0.85	0.85	0.88
handbook-094	0.92	0.88	0.83	0.86
handbook-095	0.94	0.98	0.97	0.94
handbook-096	0.74	0.84	0.83	0.73
handbook-098	0.54	0.36	0.4	0.48
handbook-099	0.91	0.96	0.95	0.97
handbook-100	0.97	0.99	0.98	0.98
handbook-101	0.97	0.98	0.98	0.97
handbook-102	0.84	0.97	0.84	0.92
handbook-104	0.98	0.9	0.97	0.89
handbook-105	0.85	0.98	0.94	0.97
