id	omission_target	addition_target	word_meaning_target	fluency_target	omission_gpt	addition_gpt	word_meaning_gpt	fluency_gpt	omission_llama	addition_llama	word_meaning_llama	fluency_llama	omission_azure	addition_azure	word_meaning_azure	fluency_azure
handbook-001	1	1	0	5	1	1	0	5	1	1	0	5	1	1	1	5
handbook-002	1	0	0	4	1	0	0	2	1	0	0	3	1	1	1	5
handbook-003	1	0	0	4	1	0	0	4	1	0	0	4	1	0	0	5
handbook-004	1	1	1	4	1	0	0	1	1	1	1	5	0	1	0	1
handbook-005	1	1	1	4	1	1	1	5	0	1	0	3	1	1	1	5
handbook-006	1	1	1	4	1	1	1	5	1	1	1	3	1	1	1	3
handbook-007	0	1	0	4	0	1	0	2	0	1	0	2	0	1	0	5
handbook-008	1	1	1	3	1	1	1	5	0	1	0	5	1	1	1	5
handbook-009	0	1	0	4	0	1	0	5	0	0	0	2	0	1	0	3
handbook-010	1	1	1	4	0	0	1	5	0	0	1	4	0	0	0	5
handbook-011	0	1	0	4	0	1	0	5	0	1	0	5	1	1	1	4
handbook-012	0	1	0	3	0	1	0	5	0	0	0	5	0	1	0	5
handbook-013	0	0	0	3	0	0	0	4	0	0	0	5	1	0	0	2
handbook-014	1	1	0	1	1	1	1	3	1	1	0	1	1	1	0	1
handbook-015	1	1	1	5	1	1	1	5	1	1	1	5	1	1	1	5
handbook-016	1	1	1	3	1	1	1	3	1	1	0	3	1	1	0	2
handbook-017	1	0	0	3	1	0	0	3	0	0	0	3	1	0	0	1
handbook-018	0	0	0	4	0	0	0	3	0	0	0	5	0	0	0	4
handbook-019	1	0	0	5	1	0	0	5	1	0	0	5	1	0	0	5
handbook-021	0	0	0	5	0	0	0	5	0	0	0	5	0	0	0	4
handbook-022	0	1	0	5	0	1	0	5	0	1	0	5	0	1	0	4
handbook-023	1	1	1	4	1	1	1	5	1	1	1	5	1	1	1	5
handbook-024	0	1	0	4	0	0	1	5	0	1	0	3	0	0	0	5
handbook-025	0	0	0	4	0	1	0	3	0	1	0	4	0	0	1	3
handbook-026	0	0	0	5	0	0	0	5	0	0	0	5	0	0	0	4
handbook-027	1	1	1	5	1	1	1	5	1	0	0	5	0	0	0	5
handbook-030	0	1	0	5	0	0	0	5	0	0	0	5	1	1	0	5
handbook-031	1	1	0	3	1	1	1	5	0	1	0	1	1	0	0	3
handbook-032	1	1	1	5	1	1	1	5	0	0	0	5	0	0	0	1
handbook-033	1	1	1	5	0	0	0	4	0	0	0	1	1	0	0	4
handbook-034	0	0	0	4	1	0	0	4	1	0	0	5	1	0	0	3
handbook-035	1	1	1	5	0	1	0	5	0	1	0	5	0	1	0	5
handbook-037	1	1	1	4	0	1	0	3	0	1	0	3	0	0	0	3
handbook-038	1	1	1	5	1	1	1	5	1	0	0	5	0	0	0	1
handbook-039	1	1	1	5	1	1	1	5	1	1	0	5	1	1	0	5
handbook-045	0	0	0	5	1	0	0	4	1	0	0	3	1	0	0	2
handbook-046	1	1	0	5	1	1	1	5	1	1	0	5	1	1	0	5
handbook-047	1	0	0	5	0	0	0	2	0	0	0	3	0	0	0	4
handbook-048	1	1	0	5	1	1	1	5	1	1	0	3	0	1	0	5
handbook-049	1	0	0	4	0	0	0	2	0	0	0	2	0	0	0	2
handbook-051	0	0	0	5	0	0	0	3	0	0	0	3	0	0	0	3
handbook-052	0	0	1	4	0	0	1	5	0	0	0	3	0	0	0	2
