id,omission_target,addition_target,word_meaning_target,fluency_target,omission_gpt,addition_gpt,word_meaning_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,fluency_azure
handbook-001,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-002,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-003,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-004,1,1,0,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-005,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-006,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,4
handbook-007,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-008,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-009,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-010,1,1,0,4,1,1,1,4,1,1,1,5,1,1,1,5
handbook-011,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-012,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-013,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-014,0,0,0,3,1,1,1,5,1,1,1,5,1,1,1,4
handbook-015,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-016,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-017,1,0,0,4,1,1,1,5,1,1,1,5,1,1,0,4
handbook-018,1,1,0,4,0,0,0,5,1,1,1,5,1,1,1,5
handbook-019,1,0,0,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-021,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-022,0,1,0,4,1,1,1,5,1,1,1,5,1,1,0,4
handbook-023,1,1,1,5,1,1,1,5,1,0,1,4,1,1,0,5
handbook-024,0,0,0,4,1,1,1,5,1,1,1,4,1,0,0,3
handbook-025,1,1,0,5,1,1,1,4,1,1,1,4,1,1,1,5
handbook-026,1,0,0,3,1,0,0,4,1,0,1,4,1,0,0,4
handbook-027,0,1,0,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-030,1,1,1,5,1,1,1,5,1,1,1,3,1,1,1,5
handbook-031,1,1,1,5,1,1,1,5,1,1,0,4,1,1,1,4
handbook-032,1,0,1,5,1,0,1,4,1,0,1,5,1,0,0,3
handbook-033,1,0,0,4,1,0,1,5,1,0,1,5,1,0,1,5
handbook-034,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-035,1,1,0,5,1,1,0,4,1,1,1,5,1,1,1,5
handbook-037,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-038,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-039,0,0,0,3,1,0,0,5,1,0,0,5,1,0,0,4
handbook-045,0,0,0,5,1,0,0,5,1,0,1,4,1,0,0,4
handbook-046,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-047,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-048,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-049,0,0,0,4,1,1,1,5,1,0,1,4,1,1,1,5
handbook-051,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-052,1,1,1,5,1,0,1,5,1,1,1,5,1,1,1,5
handbook-053,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-054,1,1,1,5,1,1,0,3,1,1,0,4,1,1,1,5
handbook-055,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-056,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-057,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-058,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-060,1,1,1,5,1,1,1,4,1,1,1,4,1,1,1,5
handbook-061,1,1,1,5,1,1,0,5,1,1,0,4,1,1,0,5
handbook-062,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-064,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-068,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-069,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-071,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-072,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-074,0,1,0,4,1,1,1,5,1,1,1,5,1,1,1,4
handbook-075,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-076,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-077,0,0,0,2,1,1,1,5,1,1,1,4,1,0,0,3
handbook-078,0,0,0,4,1,1,1,5,1,0,0,3,1,1,1,5
handbook-079,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-080,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-081,0,1,0,5,1,1,1,5,1,1,1,4,1,1,1,4
handbook-082,0,1,0,4,1,1,1,4,1,1,1,5,1,1,1,4
handbook-083,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-084,0,0,0,4,1,1,1,5,1,1,1,4,0,0,0,3
handbook-085,1,1,1,4,1,1,1,5,1,1,1,5,1,0,0,4
handbook-086,1,1,1,5,1,1,1,4,1,1,1,4,0,1,0,3
handbook-087,1,1,1,5,1,1,1,5,1,1,1,3,1,1,1,4
handbook-088,0,1,0,3,1,1,1,4,0,0,0,3,1,1,0,4
handbook-089,1,1,1,4,0,1,0,4,1,0,1,5,0,1,0,5
handbook-090,1,0,0,3,1,1,1,5,1,0,1,5,1,0,0,4
handbook-091,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-092,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-093,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-094,1,0,0,5,1,0,0,4,1,1,1,5,1,1,0,5
handbook-095,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,3
handbook-096,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-098,0,0,0,2,1,1,1,5,1,1,1,5,1,1,1,5
handbook-099,1,1,1,5,1,1,1,4,1,1,0,4,1,1,1,5
handbook-100,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-101,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-102,1,1,1,5,1,1,1,5,1,0,0,5,1,1,1,4
handbook-104,1,1,1,5,1,1,1,4,1,1,1,4,1,1,0,4
handbook-105,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-106,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-107,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-108,1,1,1,5,1,1,1,4,1,1,1,4,1,0,0,3
handbook-109,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,3
handbook-110,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,3
handbook-112,1,0,1,5,1,0,1,4,1,0,1,5,1,0,0,2
handbook-113,1,1,1,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-114,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-115,1,1,0,4,1,0,1,5,1,1,1,5,1,1,0,3
handbook-116,1,1,1,4,1,0,1,4,1,1,1,5,1,1,1,5
handbook-117,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,5
handbook-118,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-121,1,1,1,5,1,0,0,4,1,0,1,5,1,0,0,4
handbook-122,1,0,1,5,1,0,1,5,1,0,1,5,1,0,0,4
handbook-123,1,1,1,5,1,1,1,5,0,1,0,4,0,1,0,4
handbook-124,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-125,1,1,0,4,1,1,1,5,1,1,0,4,1,1,1,4
handbook-126,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-129,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,4
handbook-132,1,1,0,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-133,1,1,1,5,1,0,0,3,1,1,1,5,1,1,1,5
handbook-134,1,1,1,5,1,1,1,4,1,1,1,4,0,1,0,3
handbook-135,1,1,1,4,1,1,1,5,1,1,1,5,1,1,0,3
handbook-136,1,1,1,5,1,1,1,5,1,1,0,5,1,1,1,5
handbook-137,1,0,1,5,1,0,1,4,1,0,1,4,1,0,1,4
handbook-139,0,1,0,3,1,1,1,5,1,1,1,5,1,1,1,5
handbook-140,0,0,0,5,1,0,1,5,1,0,0,5,1,0,1,5
handbook-141,1,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-142,1,0,0,5,1,1,1,5,1,1,0,5,1,1,0,4
handbook-143,1,1,1,5,1,1,1,5,1,1,1,5,1,0,0,3
handbook-144,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-145,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-146,1,1,0,5,1,1,1,4,1,1,0,4,1,1,1,5
handbook-147,1,1,1,5,1,1,1,5,1,1,0,5,1,1,1,5
handbook-148,1,1,1,5,1,0,0,3,1,1,1,5,1,0,0,3
handbook-149,1,1,0,5,1,1,1,5,1,0,1,3,1,1,1,5
handbook-150,1,1,0,4,1,1,1,5,1,1,0,3,1,1,1,5
handbook-151,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-152,1,1,0,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-153,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-155,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-156,1,1,1,5,1,1,1,4,1,1,1,4,1,1,0,4
handbook-157,0,0,0,4,1,1,1,5,1,1,0,3,1,1,1,5
handbook-158,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-159,1,0,0,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-160,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-161,1,0,1,4,1,1,1,5,1,0,1,4,1,1,1,5
handbook-162,1,1,1,5,1,1,1,4,1,1,1,4,1,1,0,3
handbook-163,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-164,1,1,1,5,1,1,1,4,1,1,1,5,1,1,1,4
handbook-165,1,1,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-166,1,1,1,5,1,1,0,5,1,1,0,4,1,1,1,5
handbook-167,1,0,1,5,1,0,1,5,1,0,1,5,1,0,1,5
handbook-168,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-169,1,1,1,4,1,0,1,5,1,0,1,5,1,0,0,5
handbook-170,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,5
handbook-171,1,1,1,4,1,1,1,5,1,1,1,4,1,1,0,3
handbook-172,1,0,1,4,1,1,1,5,1,1,1,5,1,1,0,3
handbook-173,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,4
handbook-174,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-175,1,1,1,5,1,1,1,4,1,0,0,4,1,1,1,5
handbook-176,1,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-177,1,0,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-178,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-179,1,0,0,4,1,1,1,5,1,0,0,4,1,1,1,5
handbook-180,1,1,0,4,1,1,1,4,1,1,1,5,0,1,0,5
handbook-181,0,1,0,3,1,1,1,5,1,1,1,4,1,1,1,5
handbook-182,1,1,1,5,1,1,1,5,1,1,1,5,0,1,0,4
handbook-183,0,0,0,2,1,1,1,5,1,1,1,5,1,1,1,5
handbook-184,1,1,1,5,1,1,1,5,1,1,1,5,1,0,1,5
handbook-185,1,1,0,4,1,1,1,5,1,0,0,3,1,1,1,5
handbook-186,1,1,1,5,0,0,0,4,0,0,0,2,1,1,1,5
handbook-187,0,0,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-188,1,1,0,4,1,1,1,5,1,1,1,4,1,1,1,5
handbook-189,0,0,0,4,1,1,1,5,1,1,1,5,1,1,0,3
handbook-190,0,0,0,4,1,1,1,5,1,1,0,3,1,1,1,5
handbook-191,1,0,1,5,1,0,1,5,1,0,0,3,1,1,0,3
handbook-192,1,0,1,4,1,1,1,5,1,1,1,5,0,1,0,3
handbook-194,1,0,0,3,1,1,1,5,1,1,1,5,1,1,1,5
handbook-195,1,1,0,5,1,1,1,5,1,1,1,5,1,1,1,4
handbook-196,1,0,0,4,1,0,1,5,1,0,1,5,1,0,1,5
handbook-197,1,0,0,4,1,1,1,4,1,0,0,3,1,1,1,4
handbook-200,1,1,0,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-201,1,0,0,4,1,0,0,3,1,1,1,5,1,0,1,4
handbook-202,1,0,0,4,1,0,1,4,1,0,1,4,1,0,1,4
handbook-203,1,0,1,5,1,0,1,5,1,0,1,5,1,0,0,3
handbook-205,1,1,1,5,1,1,1,4,1,1,1,5,1,1,0,4
handbook-206,1,1,1,5,1,1,1,4,1,1,1,5,1,0,0,3
handbook-208,1,1,0,4,1,1,1,5,1,1,1,5,0,0,0,2
handbook-209,1,1,1,4,1,1,1,5,1,1,0,5,1,1,0,5
handbook-210,1,1,0,4,1,1,1,5,1,1,1,5,1,1,0,4
handbook-211,1,1,0,4,1,1,1,4,1,1,1,5,0,1,0,4
handbook-212,0,1,0,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-216,1,1,1,5,1,1,1,4,1,1,1,5,0,1,0,4
handbook-217,1,1,1,5,1,1,1,4,1,1,0,5,1,1,0,5
handbook-219,1,1,1,5,1,1,0,4,1,1,1,5,1,1,1,5
handbook-220,0,1,0,5,0,1,0,4,0,1,0,4,0,1,0,3
handbook-223,0,0,0,3,1,1,1,5,1,1,1,5,0,1,1,4
handbook-224,1,0,0,3,1,0,1,4,1,1,1,5,1,1,1,5
handbook-225,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-227,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,4
handbook-228,1,0,0,4,1,1,1,5,1,1,0,5,1,1,1,5
handbook-229,1,1,1,5,0,1,0,4,1,1,0,5,1,1,1,5
handbook-231,1,1,1,5,0,0,0,3,1,1,1,5,1,1,1,5
handbook-233,1,0,0,4,0,0,0,3,1,1,1,5,1,1,1,5
handbook-236,1,1,1,4,1,1,1,5,1,1,1,5,1,1,1,5
handbook-237,1,0,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-238,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-239,1,0,0,5,1,0,1,4,1,0,1,4,1,0,1,4
handbook-241,0,0,0,4,1,1,1,5,1,1,1,5,1,1,1,5
