id,omission_A,addition_A,word_meaning_A,fluency_A,omission_B,addition_B,word_meaning_B,fluency_B,omission_C,addition_C,word_meaning_C,fluency_C,omission_D,addition_D,word_meaning_D,fluency_D
handbook-001,0,0,0,5,0,0,0,5,1,1,1,5,0,0,0,5
handbook-002,0,0,0,3,1,1,1,4,0,0,0,3,1,1,1,4
handbook-003,0,0,0,3,0,0,0,3,0,0,0,4,1,1,1,5
handbook-004,0,0,0,3,1,1,1,5,0,0,0,2,0,0,0,3
handbook-005,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-006,1,1,1,5,1,1,1,5,1,1,1,4,1,1,1,5
handbook-007,0,0,0,3,0,0,0,3,0,1,0,5,1,1,1,5
handbook-008,1,1,1,5,1,1,1,5,1,1,1,5,1,1,0,5
handbook-009,0,0,0,3,1,1,1,3,0,1,0,4,1,1,1,4
handbook-010,0,0,0,4,0,1,0,4,0,1,1,4,1,1,1,4
handbook-011,1,0,0,4,1,1,1,5,1,1,1,4,1,1,0,4
handbook-012,0,1,0,4,0,0,0,2,0,1,0,3,0,1,0,4
handbook-013,0,0,0,3,0,0,0,3,0,0,0,4,0,1,1,5
handbook-014,0,0,0,2,1,1,1,3,1,1,0,3,1,1,1,4
handbook-015,1,1,1,5,1,1,1,5,0,1,0,4,1,1,1,5
handbook-016,0,1,0,4,1,1,1,5,1,0,0,4,1,1,1,5
handbook-017,0,0,0,3,0,0,1,3,0,0,0,3,0,0,1,3
handbook-018,0,0,0,1,1,1,0,4,1,1,1,5,0,0,0,3
handbook-019,0,0,0,3,0,0,0,4,1,1,1,5,0,0,0,3
handbook-021,0,0,0,2,0,0,0,2,0,1,0,3,0,0,0,1
handbook-022,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4
handbook-023,1,1,1,5,1,1,1,5,1,1,1,5,0,0,0,4
handbook-024,0,1,0,4,1,1,1,5,0,0,0,4,0,1,0,4
handbook-025,1,1,1,4,0,0,0,3,1,1,1,4,1,0,0,4
handbook-026,0,0,0,4,0,0,0,4,0,0,0,4,0,0,0,4
handbook-027,0,0,0,4,1,1,1,5,1,1,1,4,1,1,1,4
handbook-030,0,1,0,3,1,1,0,4,1,0,0,3,1,1,0,4
handbook-031,1,1,1,5,0,0,0,4,1,1,0,3,1,1,1,5
handbook-032,0,0,0,1,0,0,0,3,0,1,0,3,0,0,0,4
handbook-033,1,1,1,4,0,0,0,3,0,0,0,3,0,0,0,3
handbook-034,0,0,0,3,1,1,1,4,1,1,1,4,1,1,1,5
handbook-035,0,1,0,4,1,1,1,5,0,1,0,4,0,1,0,5
handbook-037,1,1,1,5,1,1,1,5,0,1,0,5,1,1,1,5
handbook-038,1,1,1,4,0,0,0,5,1,1,1,5,1,0,0,4
handbook-039,0,1,1,3,1,1,1,5,1,1,0,5,1,1,1,5
handbook-045,0,1,0,3,0,0,0,3,0,1,0,4,0,1,0,4
handbook-046,1,0,0,4,1,0,0,2,0,1,0,4,0,0,0,3
handbook-047,0,0,0,4,0,1,0,4,1,1,0,5,0,1,1,5
handbook-048,1,1,1,4,1,1,1,5,1,0,0,5,1,0,0,4
handbook-049,0,0,0,2,0,0,0,2,1,1,1,5,0,0,0,3
handbook-051,1,1,1,4,1,0,1,4,1,0,1,4,1,1,1,5
handbook-052,1,1,1,5,1,0,0,4,1,1,1,5,1,1,1,5
handbook-053,0,0,0,3,1,1,1,5,0,1,0,4,1,1,1,5
handbook-054,1,1,1,5,1,0,1,5,0,1,0,5,0,0,0,5
handbook-055,0,0,0,3,0,0,0,4,0,1,0,4,0,1,0,4
handbook-056,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,5
handbook-057,0,0,0,4,1,1,1,4,1,0,0,4,1,0,1,4
handbook-058,0,1,1,5,1,1,1,5,0,1,0,4,1,1,1,5
