ID	gpt	llama	azure
handbook-001	0.94	0.95	0.86
handbook-002	0.74	0.74	0.74
handbook-003	0.75	0.82	0.88
handbook-004	0.89	0.82	0.76
handbook-005	0.98	0.98	0.98
handbook-006	0.96	0.83	0.93
handbook-007	0.98	0.97	0.98
handbook-008	0.97	0.96	0.95
handbook-009	0.85	0.68	0.59
handbook-010	0.93	0.88	0.87
handbook-011	0.94	0.79	0.89
handbook-012	0.84	0.78	0.8
handbook-013	0.45	0.63	0.53
handbook-014	0.95	0.93	0.61
handbook-015	1.0	1.0	1.0
handbook-016	0.97	0.98	0.94
handbook-017	0.78	0.91	0.68
handbook-018	0.93	0.95	0.93
handbook-019	0.51	0.41	0.36
handbook-021	0.97	0.95	0.88
handbook-022	0.59	0.91	0.5
handbook-023	0.97	0.93	1.0
handbook-024	0.89	0.91	0.89
handbook-025	0.65	0.65	0.7
handbook-026	0.96	0.86	0.91
handbook-027	0.98	0.99	0.99
handbook-030	0.99	1.0	1.0
handbook-031	0.78	0.89	0.6
handbook-032	0.46	0.48	0.36
handbook-033	0.79	0.59	0.87
handbook-034	0.94	0.95	0.69
handbook-035	0.73	0.72	0.79
handbook-037	0.96	0.73	0.91
handbook-038	0.97	0.97	0.84
handbook-039	0.99	0.99	0.99
handbook-045	0.91	0.93	0.53
handbook-046	0.94	0.79	0.85
handbook-047	0.99	0.84	0.99
handbook-048	0.92	0.77	0.82
handbook-049	0.87	0.87	0.7
handbook-051	0.99	0.97	0.99
handbook-052	0.97	0.86	0.93
handbook-053	0.76	0.68	0.91
handbook-054	0.97	0.85	0.96
handbook-055	0.94	0.88	0.7
handbook-056	0.92	0.92	0.97
handbook-057	0.89	0.86	0.84
handbook-058	0.99	0.73	0.87
handbook-060	0.88	1.0	0.91
handbook-061	0.91	0.75	0.74
handbook-062	1.0	1.0	0.76
handbook-064	0.91	0.97	0.98
handbook-068	0.98	0.98	0.95
handbook-069	1.0	0.98	0.83
handbook-071	0.83	0.97	0.74
handbook-072	0.87	0.84	0.62
handbook-074	0.6	0.71	0.77
handbook-075	0.85	0.95	0.87
handbook-076	0.9	0.9	0.9
handbook-077	0.74	0.9	0.76
handbook-078	0.76	0.51	0.46
handbook-079	0.32	0.34	0.33
handbook-080	0.41	0.47	0.28
handbook-081	0.43	0.21	0.1
handbook-082	0.46	0.42	0.57
handbook-083	0.65	0.67	0.71
handbook-084	0.79	0.66	0.65
handbook-085	0.91	0.96	0.8
handbook-086	0.53	0.79	0.41
handbook-087	0.67	0.5	0.67
handbook-088	0.65	0.73	0.76
handbook-089	0.88	0.9	0.89
handbook-090	0.77	0.71	0.65
handbook-091	0.74	0.65	0.87
handbook-092	0.83	0.59	0.87
handbook-093	0.78	0.79	0.77
handbook-094	0.75	0.71	0.81
handbook-095	0.8	0.7	0.76
handbook-096	0.79	0.68	0.68
handbook-098	0.4	0.81	0.32
handbook-099	0.48	0.83	0.88
handbook-100	0.95	0.99	0.97
handbook-101	0.96	0.96	0.88
handbook-102	0.83	0.96	0.86
handbook-104	0.89	0.85	0.79
handbook-105	0.26	0.32	0.33
handbook-106	0.87	0.7	0.93
handbook-107	0.72	0.51	0.53
handbook-108	0.71	0.71	0.49
handbook-109	0.85	0.97	0.9
handbook-110	0.94	0.79	0.94
handbook-112	0.38	0.37	0.25
handbook-113	0.45	0.47	0.71
handbook-114	0.99	0.98	1.0
handbook-115	0.8	0.52	0.51
handbook-116	0.68	0.67	0.8
handbook-117	0.96	0.92	0.94
handbook-118	0.99	0.87	0.95
handbook-121	0.44	0.73	0.51
handbook-122	0.68	0.76	0.79
handbook-123	0.89	0.8	0.93
handbook-124	0.87	0.99	0.98
handbook-125	0.9	0.95	0.85
handbook-126	0.99	0.99	0.99
handbook-129	0.64	0.32	0.57
handbook-132	0.96	0.99	0.99
handbook-133	0.87	0.89	0.82
handbook-134	0.93	0.94	0.87
handbook-135	0.98	0.93	0.86
handbook-136	0.84	0.81	0.84
handbook-137	0.46	0.7	0.45
handbook-139	0.85	0.76	0.68
handbook-140	0.77	0.74	0.74
handbook-141	0.99	0.95	0.97
handbook-142	0.7	0.78	0.83
handbook-143	0.48	0.84	0.34
handbook-144	0.7	0.85	0.77
handbook-145	0.86	0.92	0.73
handbook-146	0.75	0.71	0.73
handbook-147	0.88	0.83	1.0
handbook-148	0.8	0.77	0.7
handbook-149	1.0	1.0	1.0
