ID	target	gpt	llama	azure
handbook-001	1.0	0.99	0.99	0.98
handbook-002	0.84	0.95	0.94	0.93
handbook-003	0.88	0.99	0.99	0.98
handbook-004	0.99	0.98	0.95	0.95
handbook-005	1.0	1.0	1.0	1.0
handbook-006	0.98	0.96	0.95	0.98
handbook-007	0.85	0.97	0.99	0.97
handbook-008	0.99	1.0	1.0	1.0
handbook-009	0.87	0.93	0.94	0.95
handbook-010	0.85	0.97	0.95	0.98
handbook-011	0.99	1.0	0.99	0.98
handbook-012	0.96	0.99	0.97	0.99
handbook-013	0.72	0.93	0.77	0.9
handbook-014	0.85	0.96	0.96	0.92
handbook-015	1.0	1.0	1.0	1.0
handbook-016	0.91	0.94	0.95	0.98
handbook-017	0.69	0.98	0.98	0.96
handbook-018	0.98	0.6	1.0	1.0
handbook-019	0.35	0.53	0.26	0.66
handbook-021	0.78	1.0	1.0	1.0
handbook-022	0.75	0.9	0.95	0.97
handbook-023	1.0	0.99	1.0	1.0
handbook-024	0.95	0.96	0.99	0.98
handbook-025	0.94	0.92	0.91	0.9
handbook-026	0.67	1.0	1.0	1.0
handbook-027	0.99	1.0	1.0	1.0
handbook-030	0.99	1.0	0.98	1.0
handbook-031	0.9	0.91	0.86	0.81
handbook-032	0.6	0.74	0.7	0.83
handbook-033	0.82	0.98	0.9	0.91
handbook-034	0.95	0.96	0.94	0.95
handbook-035	0.78	0.9	0.92	0.93
handbook-037	0.96	0.97	0.97	0.97
handbook-038	0.94	0.97	0.98	0.97
handbook-039	0.94	0.97	0.9	0.93
handbook-045	0.83	0.9	0.82	0.75
handbook-046	0.97	0.98	0.99	1.0
handbook-047	0.94	1.0	1.0	1.0
handbook-048	0.99	0.99	1.0	0.96
handbook-049	0.82	0.97	0.94	0.96
handbook-051	0.78	0.99	0.99	0.99
handbook-052	0.91	0.95	0.97	0.96
handbook-053	0.97	0.99	0.99	0.99
handbook-054	0.97	0.86	0.93	1.0
handbook-055	0.87	0.99	0.99	0.96
handbook-056	0.99	0.98	1.0	0.99
handbook-057	0.87	0.96	0.92	1.0
handbook-058	0.94	0.99	0.99	1.0
handbook-060	0.84	1.0	1.0	1.0
handbook-061	0.76	0.85	0.83	0.95
handbook-062	0.83	0.97	0.97	0.99
handbook-064	0.93	1.0	1.0	1.0
handbook-068	0.97	1.0	1.0	0.93
handbook-069	1.0	1.0	1.0	1.0
handbook-071	0.85	0.96	0.96	0.96
handbook-072	0.91	0.94	0.95	0.95
handbook-074	0.84	0.92	0.94	0.93
handbook-075	0.96	0.97	0.95	0.99
handbook-076	0.75	1.0	0.98	1.0
handbook-077	0.32	0.83	0.87	0.83
handbook-078	0.81	1.0	0.96	1.0
handbook-079	0.33	1.0	1.0	1.0
handbook-080	0.25	0.85	0.91	0.75
handbook-081	0.21	0.81	0.64	0.75
