id	source_japanese	gpt_english	gpt_chinese	gpt_vietnamese
question-01	あなたがその場にいなかったのは事実ですよね？	It is a fact that you were not at the scene, isn't it?	你不在场是事实吧？	Đúng là bạn đã không có mặt ở đó, phải không?
question-02	あなたの証言は矛盾していないのですか？	Isn't your testimony inconsistent?	你的证词不是前后矛盾吗？	Lời khai của bạn không phải là mâu thuẫn sao?
question-03	この行動が事前に計画されたものではないですか？	Wasn't this action premeditated?	这个行为不是事先计划好的吧？	Hành động này chẳng phải đã được lên kế hoạch từ trước sao?
question-04	この裁判の手続きを知っていますよね？	You know the procedures of this trial, don't you?	您了解这个审判的程序吧？	Bạn biết các thủ tục của phiên toà này phải không?
question-05	この事件の重要性は理解されていますよね？	The importance of this case is understood, isn't it?	你理解这个事件的重要性，对吗？	Tầm quan trọng của vụ này đã được hiểu rõ, phải không?
question-06	この事実は重要であるということに異論はないですよね？	There is no disagreement that this fact is important, is there?	这个事实很重要，你没有异议吧？	Không có ý kiến phản đối rằng sự thật này quan trọng, đúng không?
question-07	この事実を無視することはできませんよね？	You can't ignore this fact, can you?	这个事实是不能忽视的，对吧？	Chúng ta không thể phớt lờ sự thật này, phải không?
question-08	この書類には無効な部分が含まれていないのでしょうか？	Doesn't this document contain any invalid parts?	这份文件中不包含无效的部分吗？	Tài liệu này không bao gồm phần nào không hợp lệ phải không?
question-09	この証拠は確実ではないんですよね？	This evidence is not certain, is it?	这个证据不确凿，对吧？	Bằng chứng này không chắc chắn, phải không?
question-10	この証拠は本件と関係がないのではないですか？	Isn't this evidence unrelated to this case?	这个证据与本案没有关系吗？	Bằng chứng này không phải là không liên quan đến vụ án này sao?
question-11	この調査は十分に行われていなかったのではありませんか？	Wasn't this investigation conducted thoroughly enough?	这个调查不是没有充分进行吗？	Cuộc điều tra này đã không được tiến hành đủ sao?
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	With all this evidence, can it be said that reasonable doubt remains?	在有这么多证据的情况下，还能说留下合理的怀疑吗？	Mặc dù có nhiều bằng chứng như vậy, liệu có thể nói rằng vẫn còn nghi ngờ hợp lý không?
question-13	その点については異論の余地がないですよね？	There is no room for disagreement on that point, is there?	关于那一点没有异议，对吧？	Về điểm đó thì không có ý kiến phản đối nào, đúng không?
question-14	その日に誰も彼を見かけなかったのではありませんか？	Didn't anyone see him on that day?	那天没有人见到他，不是吗？	Vào ngày đó, không phải là không ai nhìn thấy anh ấy sao?
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Isn't the detail about that day's events too unclear?	关于那天的事情的详细情况不是太不清楚了吗？	Chi tiết về sự kiện của ngày hôm đó chẳng phải là quá mơ hồ sao?
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	Why wasn't sufficient investigation conducted, and can that be reasonably explained?	为什么没有进行充分的调查，可以合理地解释吗？	Tại sao cuộc điều tra đầy đủ lại không được thực hiện, điều đó có thể giải thích một cách hợp lý không?
question-17	もし被告人が本当に有罪なら、なぜこれほど多くの疑問点が残るのでしょうか？	If the defendant is truly guilty, why do so many questions remain?	如果被告人真的有罪，为什么会留下这么多疑问呢？	Nếu thật sự bị cáo có tội, vậy tại sao lại có nhiều điểm nghi vấn như vậy?
question-18	もし無実であるならば、なぜここまで証拠を隠そうとするのでしょう？	If you are innocent, why would you try to hide the evidence so much?	如果您是无辜的，为什么要隐瞒这么多证据呢？	Nếu vô tội thì tại sao lại cố gắng giấu chứng cứ đến mức này?
question-19	共犯者の存在を否定する根拠が他にあるでしょうか？	Is there any other basis to deny the existence of an accomplice?	否认共犯者存在的依据还有其他的吗？	Có lý do nào khác để phủ nhận sự tồn tại của đồng phạm không?
question-20	証拠が正当に収集されたことを確認していますか？	Are you confirming that the evidence was collected lawfully?	您是否确认证据是合法收集的？	Bạn có xác nhận rằng bằng chứng đã được thu thập hợp pháp không?
question-21	証拠を見れば、明らかに一致しますよね？	If you look at the evidence, it obviously matches, doesn't it?	看了证据后，显然是一致的，对吧？	Nếu nhìn vào bằng chứng, rõ ràng là phù hợp, đúng không?
question-22	証拠資料は全て揃っているのですよね？	All the evidence is gathered, isn't it?	证据资料都全齐了吗？	Tất cả các tài liệu chứng cứ đã đầy đủ phải không?
question-23	証拠品があなたのものであると確認したのではないですか？	Didn't you confirm that the evidence belongs to you?	不是已经确认证物是你的吗？	Có phải bạn đã xác nhận rằng tang vật là của bạn không?
question-24	証人の供述には矛盾がありますよね？	There are contradictions in the witness’s testimony, aren't there?	证人的供述有矛盾，对吧？	Có mâu thuẫn trong lời khai của nhân chứng, phải không?
question-25	証人は以前にも同様の証言をしましたよね？	The witness gave similar testimony before, didn't they?	证人以前也作过类似的证词，对吧？	Nhân chứng đã làm chứng tương tự trước đây rồi, phải không?
question-26	証人は当日の出来事を全て覚えているのですね？	The witness remembers all the events of that day, doesn't he?	证人记得当天的所有事情，对吧？	Nhân chứng nhớ hết tất cả các sự kiện của ngày hôm đó phải không?
question-27	真実を隠す理由が他にあるわけではないですよね？	There's no other reason to hide the truth, is there?	没有其他理由来隐瞒真相，对吧？	Không có lý do nào khác để che giấu sự thật, phải không?
question-28	真実を知っているのに、どうしてそれを隠すのでしょう？	Even though you know the truth, why do you hide it?	明明知道真相，为什么要隐瞒呢？	Biết sự thật rồi tại sao lại giấu nó?
question-29	誠実な人が、これほど多くの矛盾した証言をするでしょうか？	Would an honest person give this many contradictory testimonies?	诚实的人会做出这么多矛盾的证词吗？	Một người chân thành có thể đưa ra nhiều lời khai mâu thuẫn như thế này sao?
question-30	他にも疑問を持つべき点があるのではないですか？	Shouldn't there be other points that should be questioned?	难道不还有其他应该质疑的地方吗？	Chẳng phải còn điểm nào khác mà cần phải đặt câu hỏi sao?
question-31	誰が見ても不自然な流れですよね？	Isn't it an unnatural flow to anyone who sees it?	这流程任谁看了都会觉得不自然，对吧？	Đúng là dòng chảy bất thường mà ai nhìn vào cũng thấy phải không nhỉ?
question-32	誰しも誤解や誤認をすることがありますよね？	Everyone makes misunderstandings or misidentifications, don't they?	任何人都有可能产生误解或误认，对吧？	Ai cũng có lúc hiểu lầm hay nhận định sai, phải không?
question-33	適正な手続きを踏まなければならないのは当然ですよね？	Isn't it obvious that due process must be followed?	当然应该遵循适当的程序，不是吗？	Việc tuân thủ đúng quy trình là điều đương nhiên, phải không?
question-34	犯行現場にいたことを否定するには、これ以上の証拠が本当に必要でしょうか？	Is more evidence truly necessary to deny being at the crime scene?	要否定在犯罪现场的事实，真的需要更多证据吗？	Để phủ nhận việc có mặt ở hiện trường vụ án, có thực sự cần thêm bằng chứng nào nữa không?
question-35	被害者と被告人が口論していた事実は否定できないのではないですか？	Isn't it undeniable that the victim and the defendant were having an argument?	你无法否认受害者与被告人在争吵这一事实，对吧？	Có phải không thể phủ nhận sự thật là nạn nhân và bị cáo đã có cãi vã với nhau không?
question-36	被告人がその場にいなかったという主張は、これほどの証拠を前にして信じられるでしょうか？	Can the claim that the defendant was not present be believed in the face of such evidence?	被告人不在现场的主张，在如此多的证据面前能被相信吗？	Liệu có thể tin được tuyên bố bị cáo không có mặt ở hiện trường trước nhiều bằng chứng đến vậy không?
question-37	被告人が現場にいたことは間違いないのですか？	Is there no doubt that the defendant was at the scene?	被告确定在现场吗？	Có phải là không có nghi ngờ gì rằng bị cáo đã có mặt tại hiện trường không?
