id	source	translation_A	translation_B	translation_C	mapping
question-01	あなたがその場にいなかったのは事実ですよね？	您不在现场是事实，对吗？	你确实不在那儿，对吧？	您当时不在现场是事实，对吧？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-02	あなたの証言は矛盾していないのですか？	你的见证不是自相矛盾吗？	你的证词没有相互矛盾吗？	你的证词没有矛盾吗？	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-03	この行動が事前に計画されたものではないですか？	这不是预谋的行动吗？	这个行动不是预先计划好的吗？	这个行为不是事先计划好的吗？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-04	この裁判の手続きを知っていますよね？	你知道这次审判的程序，对吧？	你知道这个审判的程序吧？	你应该了解这一审判的程序吧？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-05	この事件の重要性は理解されていますよね？	你明白这个案件的重要性吗？	这个案子的重要性是可以理解的，对吧？	您是否了解本案的重要性？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-06	この事実は重要であるということに異論はないですよね？	这个事实很重要，这一点大家应该都有共识吧？	这个事实很重要，这是无可争议的，对吧？	对此事实的重要性没有异议，对吧？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-07	この事実を無視することはできませんよね？	你不能忽视这个事实，对吧？	我们不能忽视这个事实，对吧？	这个事实是不能被忽略的吧？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-08	この書類には無効な部分が含まれていないのでしょうか？	本文档是否包含任何无效部分？	这份文件中是否包含无效的部分？	这个文件中是不是没有无效的部分？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-09	この証拠は確実ではないんですよね？	这个证据并不确定，对吗？	这方面的证据并不确定，不是吗？	这份证据不够确凿，对吧？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-10	この証拠は本件と関係がないのではないですか？	这个证据和本案没有关系，是吗？	这一证据与本案无关，不是吗？	这些证据不是与本案无关吗？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-11	この調査は十分に行われていなかったのではありませんか？	調查是否充分进行了没有？	这项研究还不够吗？	这个调查是否没有充分进行？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	在有这么多证据的情况下，还能说存在合理的怀疑吗？	有了所有这些证据，我们能说仍然存在合理的怀疑吗？	这许多证据的情况下，还能说有合理的疑虑吗？	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-13	その点については異論の余地がないですよね？	在这一点上没有争议，对吧？	这一点上恐怕没有异议吧？	这一点没有争议，对吧？	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-14	その日に誰も彼を見かけなかったのではありませんか？	那天没有人看到他吗？	那天没人看到他吗？	那天没有人看到他，不是吗？	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	当天事件的细节是不是太不清楚了？	那天发生的事情的细节不太模糊吗？	當天的事情的詳情不是過於模糊不清了嗎？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-16	なぜ十分な調査が行われなかったのか、それが合理的に説明できるのでしょうか？	这是否可以合理地解释为什么没有进行足够的研究？	为什么没有进行充分的调查，那能够合理地解释吗？	难道沒有進行過充分的調查嗎？難道對於沒有進行調查的原因不能做出合理的解釋嗎？	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
