id,omission_gpt,addition_gpt,word_meaning_gpt,question_gpt,fluency_gpt,omission_llama,addition_llama,word_meaning_llama,question_llama,fluency_llama,omission_azure,addition_azure,word_meaning_azure,question_azure,fluency_azure
question-01,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-03,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,0.75,0.5,0.75
question-05,1,0,1.0,0.5,1.0,1,0,1.0,0.5,1.0,1,0,1.0,0.5,1.0
question-07,1,0,1.0,0.5,1.0,1,0,1.0,0.5,1.0,1,0,1.0,0.5,1.0
question-09,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,0.75,0.5,1.0
question-11,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,1,0.75,0.5,0.75
question-13,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-15,1,0,1.0,1.0,1.0,1,0,1.0,1.0,1.0,1,0,1.0,1.0,1.0
question-17,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-19,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-21,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-23,1,1,0.75,0.5,1.0,1,1,0.75,0.5,1.0,1,1,0.75,0.5,1.0
question-25,1,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,0,1,1.0,0.5,1.0
question-27,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-29,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.0,1.0
question-31,1,1,1.0,2.0,1.0,1,1,0.75,0.5,1.0,1,0,1.0,2.0,1.0
question-33,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-35,1,1,1.0,0.5,1.0,1,0,0.75,0.0,0.75,1,1,1.0,0.5,1.0
question-37,1,1,1.0,0.5,1.0,1,1,0.75,0.5,0.75,1,1,1.0,0.5,1.0
question-39,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-41,1,1,1.0,0.5,1.0,1,1,0.75,0.0,0.75,1,1,1.0,0.5,1.0
question-43,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75,1,0,0.25,0.5,0.75
question-45,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
question-47,1,1,1.0,0.5,1.0,1,1,0.75,0.5,0.75,1,1,0.5,0.0,0.5
question-49,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0,1,1,1.0,0.5,1.0
