ID	target	gpt	llama	azure
handbook-001	0.95	0.98	0.99	0.95
handbook-002	0.99	0.72	0.84	1.0
handbook-003	0.41	0.71	0.51	0.61
handbook-004	0.73	0.94	0.95	0.92
handbook-005	0.99	1.0	1.0	1.0
handbook-006	0.94	0.98	0.92	0.96
handbook-007	0.97	0.81	0.41	0.86
handbook-008	0.94	0.97	0.94	0.96
handbook-009	0.37	0.56	0.4	0.57
handbook-010	0.83	0.91	0.78	0.73
handbook-011	0.86	0.99	0.86	0.79
handbook-012	0.97	0.9	0.76	0.96
handbook-013	0.66	0.76	0.63	0.68
handbook-014	0.83	0.96	0.38	0.39
handbook-015	0.99	1.0	0.99	1.0
handbook-016	0.91	0.9	0.89	0.96
handbook-017	0.45	0.49	0.48	0.44
handbook-018	0.79	0.2	0.96	0.92
handbook-019	0.45	0.27	0.41	0.33
handbook-021	0.87	0.86	0.86	0.85
handbook-022	0.86	0.73	0.72	0.66
handbook-023	0.98	1.0	1.0	1.0
handbook-024	0.95	0.92	0.81	0.94
handbook-025	0.84	0.63	0.51	0.82
handbook-026	0.43	0.77	0.33	0.6
handbook-027	1.0	0.99	0.98	1.0
handbook-030	0.83	0.94	0.96	0.98
handbook-031	0.86	0.84	0.77	0.66
handbook-032	0.4	0.46	0.41	0.24
handbook-033	0.97	0.91	0.25	0.78
handbook-034	0.93	0.97	0.95	0.7
handbook-035	0.63	0.72	0.64	0.73
handbook-037	0.97	0.94	0.89	0.92
handbook-038	0.92	0.92	0.73	1.0
handbook-039	0.83	1.0	0.9	0.98
handbook-045	0.61	0.7	0.66	0.43
handbook-046	0.77	0.96	0.79	0.84
handbook-047	0.97	0.56	0.83	0.95
handbook-048	0.87	0.96	0.92	0.87
handbook-049	0.94	0.61	0.72	0.56
handbook-051	0.84	0.97	0.96	0.97
handbook-052	0.92	0.85	0.72	0.97
handbook-053	0.92	0.94	0.77	0.98
handbook-054	1.0	0.91	0.77	0.86
handbook-055	0.87	0.87	0.86	0.84
handbook-056	0.95	0.83	0.76	0.82
handbook-057	0.87	0.84	0.8	0.75
handbook-058	0.85	0.86	0.84	0.62
handbook-060	0.88	0.84	0.82	1.0
handbook-061	0.77	0.83	0.66	0.9
handbook-062	0.85	0.84	0.74	0.7
handbook-064	0.74	0.95	0.97	0.95
handbook-068	0.88	0.91	0.81	0.77
handbook-069	0.86	0.97	0.9	0.85
handbook-071	0.9	0.72	0.98	0.59
handbook-072	0.56	0.88	0.57	0.58
handbook-074	0.86	0.6	0.74	0.81
handbook-075	0.93	0.89	0.57	0.9
handbook-076	0.58	0.62	0.74	0.62
handbook-077	0.76	0.77	0.23	0.49
handbook-078	0.69	0.79	0.28	0.26
handbook-079	0.95	0.2	0.2	0.2
handbook-080	0.83	0.43	0.39	0.28
handbook-081	1.0	0.26	0.24	0.24
handbook-082	0.81	0.21	0.22	0.26
handbook-083	0.88	0.82	0.64	0.64
handbook-084	0.91	0.68	0.63	0.43
handbook-085	0.93	0.87	0.98	0.6
handbook-086	0.51	0.79	0.57	0.32
handbook-087	0.89	0.79	0.39	0.82
handbook-088	0.97	0.98	0.65	0.81
handbook-089	0.98	0.96	0.95	0.97
handbook-090	0.91	0.17	0.46	0.49
handbook-091	0.64	0.57	0.4	0.6
handbook-092	1.0	0.91	0.89	0.85
handbook-093	0.93	0.72	0.81	0.67
handbook-094	1.0	0.79	0.46	0.99
handbook-095	0.94	0.83	0.87	0.8
handbook-096	0.94	0.78	0.92	0.43
handbook-098	0.94	0.5	0.76	0.62
handbook-099	0.96	0.85	0.68	0.69
handbook-100	0.97	0.98	0.81	0.98
handbook-101	0.88	0.89	0.88	0.88
handbook-102	0.85	0.96	0.98	0.93
handbook-104	0.85	0.87	0.8	0.81
handbook-105	0.27	0.75	0.57	0.81
handbook-106	0.62	0.45	0.96	0.9
handbook-107	0.66	0.57	0.7	0.6
handbook-108	0.47	0.81	0.8	0.68
handbook-109	0.97	0.82	0.82	0.81
handbook-110	0.89	0.97	0.89	0.97
handbook-112	0.63	0.11	0.3	0.21
handbook-113	0.23	0.47	0.42	0.18
handbook-114	0.84	0.82	0.82	0.9
handbook-115	0.67	0.29	0.43	0.37
handbook-116	0.69	0.51	0.74	0.79
handbook-117	0.75	0.98	0.97	0.86
handbook-118	0.41	0.69	0.71	0.74
handbook-121	0.79	0.61	0.53	0.8
handbook-122	0.55	0.36	0.76	0.27
handbook-123	0.82	0.88	0.79	0.83
handbook-124	0.98	1.0	1.0	1.0
handbook-125	0.77	0.71	0.94	0.8
handbook-126	0.86	0.9	0.97	1.0
handbook-129	0.58	0.57	0.31	0.6
handbook-132	0.79	0.81	0.83	0.87
handbook-133	0.73	0.76	0.99	1.0
handbook-134	0.55	0.96	0.94	0.93
handbook-135	0.8	0.91	0.75	0.83
