ID	target	gpt	llama	azure
handbook-001	0.87	0.99	0.99	0.9
handbook-002	0.52	0.7	0.66	0.66
handbook-003	0.89	0.88	0.92	0.92
handbook-004	0.67	0.93	0.87	0.93
handbook-005	0.87	0.95	0.95	0.95
handbook-006	0.88	0.97	0.8	0.96
handbook-007	0.69	0.99	0.99	1.0
handbook-008	0.76	0.96	0.9	0.95
handbook-009	0.69	0.82	0.63	0.56
handbook-010	0.82	0.97	0.96	0.86
handbook-011	0.87	0.95	0.77	0.91
handbook-012	0.92	0.75	0.75	0.79
handbook-013	0.45	0.54	0.41	0.47
handbook-014	0.56	0.89	0.72	0.52
handbook-015	0.99	0.99	0.97	0.99
handbook-016	0.68	0.96	0.97	0.94
handbook-017	0.56	0.88	0.85	0.75
handbook-018	0.84	0.95	0.97	0.93
handbook-019	0.28	0.41	0.52	0.29
handbook-021	0.96	1.0	0.93	1.0
handbook-022	0.85	0.78	0.79	0.83
handbook-023	0.84	0.84	0.86	1.0
handbook-024	0.86	0.96	0.91	0.85
handbook-025	0.83	0.65	0.68	0.79
handbook-026	0.74	0.95	0.89	0.92
handbook-027	0.95	0.97	0.97	0.98
handbook-030	0.9	0.99	1.0	1.0
handbook-031	0.62	0.64	0.87	0.55
handbook-032	0.28	0.7	0.67	0.71
handbook-033	0.32	0.81	0.65	0.82
handbook-034	0.7	0.93	0.9	0.79
handbook-035	0.56	0.67	0.58	0.61
handbook-037	0.77	0.98	0.72	0.92
handbook-038	0.86	0.83	0.96	0.91
handbook-039	0.77	0.98	0.93	0.92
handbook-045	0.74	0.94	0.92	0.66
handbook-046	0.78	0.99	0.99	0.95
handbook-047	0.8	1.0	0.85	0.99
handbook-048	0.77	0.97	0.78	0.85
handbook-049	0.92	0.79	0.77	0.72
handbook-051	0.92	0.99	0.96	1.0
handbook-052	0.84	0.89	0.63	0.9
handbook-053	0.88	0.67	0.8	0.93
handbook-054	1.0	0.97	0.82	1.0
handbook-055	0.82	0.93	0.93	0.9
handbook-056	0.86	0.94	0.87	0.95
handbook-057	0.74	0.73	0.82	0.94
handbook-058	0.9	0.93	0.75	0.88
handbook-060	0.83	0.99	0.96	0.97
handbook-061	0.7	0.71	0.58	0.74
handbook-062	0.92	0.98	0.97	0.77
handbook-064	0.7	0.95	0.99	0.99
handbook-068	0.99	0.97	0.99	0.9
handbook-069	0.94	1.0	0.99	0.9
handbook-071	0.58	0.73	0.9	0.68
handbook-072	0.57	0.89	0.87	0.7
handbook-074	0.63	0.58	0.73	0.67
handbook-075	0.99	0.95	1.0	0.86
handbook-076	1.0	0.91	0.91	0.91
handbook-077	0.55	0.79	0.71	0.77
handbook-078	0.5	0.88	0.83	0.65
handbook-079	0.29	0.89	0.87	0.9
handbook-080	0.35	0.5	0.5	0.4
handbook-081	0.2	0.52	0.3	0.35
handbook-082	0.26	0.52	0.52	0.72
handbook-083	0.71	0.73	0.79	0.75
handbook-084	0.69	0.8	0.81	0.71
handbook-085	0.72	0.91	0.86	0.83
handbook-086	0.58	0.41	0.61	0.42
handbook-087	0.55	0.61	0.42	0.53
handbook-088	0.57	0.7	0.54	0.62
handbook-089	0.86	0.85	0.8	0.74
handbook-090	0.75	0.71	0.72	0.55
handbook-091	0.36	0.74	0.65	0.85
handbook-092	0.5	0.78	0.54	0.78
handbook-093	0.88	0.74	0.83	0.76
handbook-094	0.69	0.76	0.74	0.82
handbook-095	0.64	0.93	0.9	0.81
handbook-096	0.65	0.72	0.74	0.75
handbook-098	0.78	0.88	0.91	0.78
handbook-099	0.59	0.82	0.95	0.96
handbook-100	0.92	0.95	1.0	0.99
handbook-101	0.78	0.91	0.91	0.84
handbook-102	0.87	0.92	0.95	0.93
handbook-104	0.87	0.97	0.95	0.8
handbook-105	0.22	0.78	0.93	0.79
handbook-106	0.21	0.86	0.75	0.95
handbook-107	0.61	0.57	0.6	0.6
handbook-108	0.37	0.53	0.66	0.45
handbook-109	0.7	0.89	0.95	0.9
handbook-110	0.78	0.98	0.87	0.97
handbook-112	0.5	0.46	0.48	0.41
handbook-113	0.27	0.48	0.5	0.52
handbook-114	0.59	0.95	0.98	0.99
handbook-115	0.44	0.94	0.92	0.77
handbook-116	0.58	0.55	0.71	0.78
handbook-117	0.71	0.85	0.81	0.78
handbook-118	0.8	0.97	0.86	0.94
handbook-121	0.56	0.78	0.95	0.9
handbook-122	0.85	0.79	0.92	0.83
handbook-123	0.66	0.89	0.88	0.92
handbook-124	0.99	0.88	0.98	0.99
handbook-125	0.9	0.87	0.98	0.9
handbook-126	1.0	1.0	0.94	1.0
handbook-129	0.56	0.85	0.46	0.56
handbook-132	0.84	1.0	0.99	0.99
handbook-133	0.66	0.9	0.73	0.84
handbook-134	0.5	0.93	0.85	0.85
handbook-135	0.81	0.92	0.95	0.86
handbook-136	0.75	0.8	0.82	0.83
handbook-137	0.45	0.42	0.67	0.36
handbook-139	0.73	0.94	0.85	0.68
handbook-140	0.61	0.87	0.91	0.94
handbook-141	0.72	1.0	0.99	1.0
handbook-142	0.73	0.94	0.95	0.94
handbook-143	0.59	0.64	0.9	0.5
handbook-144	0.61	0.74	0.81	0.82
handbook-145	0.5	0.86	0.92	0.58
handbook-146	0.68	0.94	0.83	0.75
handbook-147	0.67	0.91	0.86	0.98
handbook-148	0.68	0.89	0.74	0.7
handbook-149	0.97	0.99	0.99	1.0
handbook-150	0.97	0.94	0.82	0.78
handbook-151	0.24	0.9	0.84	0.6
handbook-152	0.22	0.97	1.0	0.99
handbook-153	0.71	0.9	0.94	0.83
handbook-155	0.72	0.93	0.86	0.92
handbook-156	0.68	0.58	0.61	0.58
handbook-157	0.57	0.62	0.64	0.84
handbook-158	0.92	0.98	0.98	0.98
handbook-159	0.79	0.97	0.97	0.92
handbook-160	0.9	0.64	0.72	0.93
