id	source	translation_A	translation_B	translation_C	mapping
question-01	あなたがその場にいなかったのは事実ですよね？	It's true that you weren't there, right?	It is a fact that you were not at the scene, isn't it?	It is a fact that you were not at the scene, isn't it?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-02	あなたの証言は矛盾していないのですか？	Isn't your testimony inconsistent?	Doesn't your testimony contradict itself?	Are your testimonies not contradictory?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-03	この行動が事前に計画されたものではないですか？	Wasn't this action premeditated?	Isn't this action pre-planned?	Was this action not planned in advance?	{'A': 'translation_gpt', 'B': 'translation_azure', 'C': 'translation_llama'}
question-04	この裁判の手続きを知っていますよね？	Don't you know the procedure of this trial?	You know the proceedings of this trial, right?	You know the procedures of this trial, don't you?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-05	この事件の重要性は理解されていますよね？	The importance of this case is understood, isn't it?	Don't you understand the importance of this case?	The importance of this case is understood, right?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-06	この事実は重要であるということに異論はないですよね？	There is no disagreement that this fact is important, is there?	There is no disagreement that this fact is important, is there?	There's no disputing that this fact is important, right?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-07	この事実を無視することはできませんよね？	You can't ignore this fact, can you?	We can't ignore this fact, can we?	You can't ignore this fact, right?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-08	この書類には無効な部分が含まれていないのでしょうか？	Doesn't this document contain any invalid parts?	Does this document not contain any invalid parts?	Does this document contain any invalid parts?	{'A': 'translation_gpt', 'B': 'translation_llama', 'C': 'translation_azure'}
question-09	この証拠は確実ではないんですよね？	This piece of evidence isn't certain, is it?	This evidence is not certain, is it?	The evidence for this is not certain, is it?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-10	この証拠は本件と関係がないのではないですか？	Isn't this evidence irrelevant to the present case?	Isn't this evidence unrelated to this case?	Isn't this evidence irrelevant to this case?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-11	この調査は十分に行われていなかったのではありませんか？	Wasn't this research done enough?	Haven't the investigations been conducted sufficiently?	Wasn't this investigation conducted thoroughly enough?	{'A': 'translation_azure', 'B': 'translation_llama', 'C': 'translation_gpt'}
question-12	これだけの証拠がありながら、合理的な疑いが残ると言えるでしょうか？	With this much evidence, can it be said that a reasonable doubt remains?	With all this evidence, can we say that there is still a reasonable doubt?	With all this evidence, can it be said that reasonable doubt remains?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
question-13	その点については異論の余地がないですよね？	There is no room for argument on that point, is there?	There is no room for disagreement on that point, is there?	There's no disputing that, right?	{'A': 'translation_llama', 'B': 'translation_gpt', 'C': 'translation_azure'}
question-14	その日に誰も彼を見かけなかったのではありませんか？	Didn't anyone see him that day?	Didn't anyone see him on that day?	Wasn't it the case that nobody saw him on that day?	{'A': 'translation_azure', 'B': 'translation_gpt', 'C': 'translation_llama'}
question-15	その日の出来事についての詳細はあまりにも不明確ではないですか？	Isn't that day's incident's details not unclear at all?	Aren't the details about the events of the day too unclear?	Isn't the detail about that day's events too unclear?	{'A': 'translation_llama', 'B': 'translation_azure', 'C': 'translation_gpt'}
