ID	gpt	llama	azure	sys_len	ref_len
handbook-001	70.16	70.16	17.47	13	12
handbook-002	33.3	50.05	9.77	22	19
handbook-003	42.12	34.35	33.54	30	37
handbook-004	11.9	10.66	12.4	19	25
handbook-005	18.2	18.2	12.61	11	13
handbook-006	46.45	30.16	46.42	35	32
handbook-007	10.31	12.68	13.47	23	15
handbook-008	13.95	6.44	5.42	20	14
handbook-009	41.74	22.19	17.89	34	30
handbook-010	17.28	4.22	29.33	36	39
handbook-011	27.32	13.22	25.17	36	33
handbook-012	23.83	25.54	56.83	19	18
handbook-013	27.19	6.83	21.76	43	43
handbook-014	22.54	17.22	25.54	57	46
handbook-015	47.09	13.26	33.93	11	12
handbook-016	46.91	19.32	13.35	37	36
handbook-017	30.69	25.95	11.12	23	27
handbook-018	4.24	10.41	11.27	19	28
handbook-019	42.0	45.6	21.81	109	106
handbook-021	6.96	5.85	9.65	6	9
handbook-022	15.31	8.91	8.3	11	13
handbook-023	33.38	13.31	12.96	24	19
handbook-024	33.52	17.91	22.46	37	33
handbook-025	29.38	29.13	24.82	38	29
handbook-026	26.68	22.37	24.94	21	18
handbook-027	59.0	59.0	25.97	11	10
handbook-030	20.61	10.38	24.12	8	9
handbook-031	55.72	18.73	21.57	55	56
handbook-032	15.83	9.6	10.55	10	13
handbook-033	40.9	2.08	24.31	27	27
handbook-034	11.42	11.12	4.93	20	24
handbook-035	54.15	14.65	27.13	23	25
handbook-037	6.48	6.32	7.46	14	16
handbook-038	21.11	20.16	13.49	9	7
handbook-039	35.49	21.11	10.55	9	6
handbook-045	44.36	19.21	24.79	18	23
handbook-046	69.13	16.9	22.46	9	11
handbook-047	18.42	23.69	10.91	15	18
handbook-048	48.33	36.79	64.07	11	10
handbook-049	35.76	50.33	16.17	33	40
handbook-051	53.08	56.73	65.44	35	33
handbook-052	38.03	19.74	18.96	67	76
handbook-053	23.55	17.77	19.46	22	20
handbook-054	15.21	14.63	15.21	6	7
handbook-055	9.91	4.31	13.83	6	10
handbook-056	44.7	24.93	19.45	12	14
handbook-057	41.15	20.71	37.42	18	14
handbook-058	11.99	10.91	8.08	20	19
handbook-060	57.28	34.54	6.0	23	18
handbook-061	32.59	17.41	6.39	26	20
handbook-062	53.19	53.19	9.62	25	20
handbook-064	37.17	21.75	25.48	25	27
handbook-068	14.14	6.63	3.19	12	16
handbook-069	8.23	43.76	6.99	18	13
handbook-071	4.89	16.94	10.68	16	21
handbook-072	38.6	20.18	18.46	47	53
handbook-074	29.87	26.71	18.91	34	33
handbook-075	41.72	35.32	7.5	12	11
handbook-076	34.98	34.98	8.7	5	6
handbook-077	32.21	40.63	9.61	37	39
handbook-078	15.75	11.74	13.54	7	12
handbook-079	53.08	18.7	48.55	9	9
handbook-080	30.21	33.0	11.25	54	48
handbook-081	29.07	16.18	7.01	59	55
