id	source_japanese	llama_english	llama_chinese	llama_vietnamese
handbook-001	私は、○○地方裁判所の裁判官です。	I am a judge of the ○○ District Court.	我是○○地方法院的法官。	Tôi là Thẩm phán của Tòa án nhân dân tỉnh ○○.
handbook-002	検察官から勾留請求といって、引き続いてあなたを留置してほしいという請求がありました。	The prosecutor has made a request for continued detention, stating that they wish to continue holding you in custody.	检察官提出了审理拘留申请，请求继续拘留你。	Viện kiểm sát đã có đơn yêu cầu tạm giam, yêu cầu tiếp tục tạm giữ ông.
handbook-003	そこで、これからあなたを勾留するかどうかを決めるために、あなたに対して被疑事実を告げ、それに関するあなたの陳述を聴くことにします。	The court will now inform you of the alleged facts and hear your statement regarding them in order to decide whether you will be detained.	为了决定是否将你拘留，我将向你指出涉嫌事实并听取你对此事的陈述。	Tôi sẽ thông báo cho anh về những tình tiết bị tình nghi và nghe lời khai của anh để quyết định việc tạm giam anh không
handbook-004	その前にいくつかの注意及び説明をします。	Prior to proceeding, I would like to provide some explanations and cautions.	在我们开始之前，我将做一些说明和提示。	Trước đó, tôi muốn giải thích và lưu ý một số điểm như sau.
handbook-005	まず第一に、あなたには黙秘権があります。	First and foremost, you have the right to remain silent.	首先，你有保持沉默的权利。	Trước hết, bạn có quyền im lặng.
handbook-006	私の質問に対し、始めから終わりまで黙っていてもいいし、個々の質問に対して答えを拒むこともできます。	You have the right to remain silent throughout my questioning, or to refuse to answer any specific question.	您可以对我的问题保持沉默，或拒绝回答个别问题。	Bạn có quyền im lặng từ đầu đến cuối khi trả lời câu hỏi của tôi hoặc từ chối trả lời từng câu hỏi cụ thể.
handbook-007	答えないからといって、それだけで不利益な扱いを受けることはありません。	Not answering is not necessarily a disadvantage.	不回答并不会因此导致您受到不利的对待。	Bạn không phải trả lời, và việc đó sẽ không bị xử không công bằng vì lý do đó.
handbook-008	第二に、あなたは自分の費用で弁護人を選任する権利があります。	Secondly, you have the right to engage a lawyer of your own choice at your own expense.	 第二、你有权自費委託辯護人。	Thứ hai, bạn có quyền thuê luật sư bằng chi phí của bạn.
handbook-009	弁護人を選任したいけれども、弁護人の心当たりがないという場合には、弁護士会を通じて選任する方法があります。	If you wish to appoint a defence counsel but do not know of any suitable one, you may request the bar association to make the appointment.	如果想要任命律师，但又没有想法的话，可以通过律师协会来任命律师。	Trong trường hợp người dân không biết tìm kiếm luật sư, họ có thể thông qua các tổ chức luật sư để được cử cán bộ hỗ trợ.
handbook-010	そのような申出があれば、裁判所から弁護士会に通知しますから、希望する場合は遠慮なく言ってください。	If you have such a request, the court will notify the bar association, so please don't hesitate to let us know if you wish.	若有需要，请放心告知，我们会向律师协会发出通知。	Nếu có yêu cầu như vậy, tòa án sẽ thông báo cho hội luật sư, vì vậy nếu bạn muốn thì đừng ngần ngại hãy nói.
handbook-011	あなたが経済的な理由などで自分の費用で弁護人を選任することができないときは、裁判官に弁護人の選任を請求することができます。	If you are unable to appoint a lawyer at your own expense for economic or other reasons, you may request the court to appoint a lawyer.	如果您因经济原因等无法自费聘请律师，可以要求法官指定律师。	Khi bạn không thể tự mình lựa chọn luật sư vì lý do kinh tế hoặc các lý do khác mà phải tự chi trả chi phí thì bạn có thể yêu cầu thẩm phán chỉ định luật sư cho mình.
handbook-012	この請求をする場合には、資力申告書を提出しなければなりません。	When filing this claim, an oath of assets must be submitted.	提出这项申请时，必须提交收入证明书。	 Trường hợp nộp đơn khởi kiện thì phải nộp tờ khai tài sản
